pfam,Wilcoxon,Random Forest,PLR,n_method
OG0001186,TRUE,TRUE,TRUE,3
OG0000569,TRUE,TRUE,TRUE,3
OG0003367,TRUE,TRUE,TRUE,3
OG0001514,TRUE,TRUE,TRUE,3
OG0000385,TRUE,TRUE,TRUE,3
OG0000910,TRUE,TRUE,FALSE,2
OG0007755,TRUE,TRUE,FALSE,2
OG0000265,TRUE,TRUE,FALSE,2
OG0000173,TRUE,TRUE,FALSE,2
OG0000784,TRUE,TRUE,FALSE,2
OG0001538,FALSE,TRUE,TRUE,2
OG0008903,FALSE,TRUE,TRUE,2
OG0000066,TRUE,FALSE,FALSE,1
OG0000419,TRUE,FALSE,FALSE,1
OG0000053,FALSE,TRUE,FALSE,1
OG0000084,FALSE,TRUE,FALSE,1
OG0000138,FALSE,TRUE,FALSE,1
OG0000190,FALSE,TRUE,FALSE,1
OG0000227,FALSE,TRUE,FALSE,1
OG0000304,FALSE,TRUE,FALSE,1
OG0000700,FALSE,TRUE,FALSE,1
OG0001064,FALSE,TRUE,FALSE,1
OG0001139,FALSE,TRUE,FALSE,1
OG0001686,FALSE,TRUE,FALSE,1
OG0004583,FALSE,TRUE,FALSE,1
OG0005057,FALSE,TRUE,FALSE,1
OG0005500,FALSE,TRUE,FALSE,1
OG0006151,FALSE,TRUE,FALSE,1
OG0006490,FALSE,TRUE,FALSE,1
OG0007157,FALSE,TRUE,FALSE,1
OG0007188,FALSE,TRUE,FALSE,1
OG0007228,FALSE,TRUE,FALSE,1
OG0007269,FALSE,TRUE,FALSE,1
OG0007315,FALSE,TRUE,FALSE,1
OG0008554,FALSE,TRUE,FALSE,1
OG0008562,FALSE,TRUE,FALSE,1
OG0008841,FALSE,TRUE,FALSE,1
OG0008951,FALSE,TRUE,FALSE,1
OG0009718,FALSE,TRUE,FALSE,1
OG0000049,FALSE,TRUE,FALSE,1
OG0000592,FALSE,TRUE,FALSE,1
OG0005805,FALSE,TRUE,FALSE,1
OG0000032,FALSE,TRUE,FALSE,1
OG0000589,FALSE,TRUE,FALSE,1
OG0000637,FALSE,TRUE,FALSE,1
OG0000799,FALSE,TRUE,FALSE,1
OG0001305,FALSE,TRUE,FALSE,1
OG0001934,FALSE,TRUE,FALSE,1
OG0007459,FALSE,TRUE,FALSE,1
OG0007696,FALSE,TRUE,FALSE,1
OG0007959,FALSE,TRUE,FALSE,1
OG0008306,FALSE,TRUE,FALSE,1
OG0001188,FALSE,FALSE,TRUE,1
