var,t.value,p.value
PF00012,-4.90598,5e-5
PF00350,-5.04732,3e-5
PF00596,-4.78546,6e-5
PF00743,-6.25379,0
PF00931,-4.79832,6e-5
PF01031,-4.66723,9e-5
PF01494,-5.90454,0
PF02205,4.91777,5e-5
PF02541,-5.54335,1e-5
PF03446,-4.71501,8e-5
PF04082,-4.63271,1e-4
PF04828,-5.0556,3e-5
PF05729,-4.62089,1e-4
PF05730,-4.67657,9e-5
PF06314,-4.90547,5e-5
PF07110,-4.74806,7e-5
PF07470,-5.28261,2e-5
PF07859,-5.16732,2e-5
PF07998,-5.4856,1e-5
PF11951,-4.65756,9e-5
PF12051,-4.78389,7e-5
PF12454,-4.65469,9e-5
PF12695,-4.69342,8e-5
PF12796,-4.71557,8e-5
PF13207,-4.84412,6e-5
PF13278,-4.75042,7e-5
PF13520,-4.63831,1e-4
PF13738,-4.6387,1e-4
