# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Apimo1|88127|estExt_fgenesh1_pm.C_1520017	3245.1	3120	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Apimo1|125686|estExt_Genemark1.C_1350014	3130.3	2497	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Apimo1|102455|gm1.143_g	3282.4	1802	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Apimo1|113680|gm1.11368_g	1794.6	1350	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Apimo1|48219|fgenesh1_kg.10_#_91_#_Locus8391v1rpkm4.17	1563.7	1639	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Apimo1|105788|gm1.3476_g	2718.4	2157	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Apimo1|47738|fgenesh1_kg.8_#_2_#_Locus4388v1rpkm21.08	3194.0	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Apimo1|190882|estExt_Genewise1.C_90311	747.6	933	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Apimo1|113835|gm1.11523_g	804.8	1102	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Apimo1|47317|fgenesh1_kg.6_#_34_#_Locus4706v1rpkm18.40	1002.9	781	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Apimo1|54734|fgenesh1_kg.69_#_21_#_Locus3899v1rpkm25.48	1201.4	884	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Apimo1|47253|fgenesh1_kg.5_#_229_#_Locus5798v1rpkm12.48	816.0	883	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Apimo1|103952|gm1.1640_g	2137.2	1516	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Apimo1|108948|gm1.6636_g	1182.7	1303	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Apimo1|48020|fgenesh1_kg.9_#_93_#_Locus6186v1rpkm10.71	921.1	894	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Apimo1|494360|CE256314_27625	689.4	667	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Apimo1|105573|gm1.3261_g	2318.7	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Apimo1|53868|fgenesh1_kg.57_#_41_#_Locus1772v1rpkm69.15	1634.6	1058	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Apimo1|165741|e_gw1.22.56.1	859.5	840	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Apimo1|652795|CE414749_27307	1345.6	1204	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Apimo1|61963|fgenesh1_kg.411_#_1_#_Locus5785v1rpkm12.54	701.1	888	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Apimo1|171688|e_gw1.53.46.1	1267.2	1109	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Apimo1|171437|e_gw1.51.75.1	1460.8	1003	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Apimo1|167536|e_gw1.30.149.1	417.7	519	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Apimo1|113436|gm1.11124_g	1700.5	1258	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Apimo1|489692|CE251646_19415	660.3	837	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Apimo1|107820|gm1.5508_g	1491.1	1399	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Apimo1|214043|estExt_Genewise1Plus.C_40082	1419.4	810	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Apimo1|182469|e_gw1.162.25.1	1712.0	1317	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Apimo1|161575|e_gw1.7.316.1	1206.3	878	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Apimo1|177684|e_gw1.101.111.1	602.6	771	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Apimo1|58595|fgenesh1_kg.141_#_24_#_Locus6121v1rpkm10.96	867.9	680	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Apimo1|51069|fgenesh1_kg.31_#_3_#_Locus6074v1rpkm11.18	875.4	609	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Apimo1|49709|fgenesh1_kg.20_#_72_#_Locus3598v1rpkm28.66	566.5	627	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Apimo1|111276|gm1.8964_g	1266.6	766	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Apimo1|169080|e_gw1.38.144.1	1247.0	933	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Apimo1|189490|estExt_Genewise1.C_50239	886.5	668	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Apimo1|115249|gm1.12937_g	757.5	664	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Apimo1|45972|fgenesh1_kg.1_#_122_#_Locus1760v1rpkm69.76	1278.9	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Apimo1|162255|e_gw1.9.288.1	292.5	477	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Apimo1|57672|fgenesh1_kg.120_#_4_#_Locus10661v2rpkm0.45	1748.5	1171	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Apimo1|398521|CE160475_46390	990.4	1034	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Apimo1|43042|fgenesh1_pg.151_#_1	797.8	857	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Apimo1|59288|fgenesh1_kg.160_#_7_#_Locus5060v1rpkm16.38	982.9	748	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Apimo1|115405|gm1.13093_g	314.6	611	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Apimo1|160118|e_gw1.4.423.1	1494.0	954	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Apimo1|83497|estExt_fgenesh1_pm.C_530064	466.0	512	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Apimo1|176773|e_gw1.93.102.1	665.5	611	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Apimo1|101601|estExt_fgenesh1_pg.C_2300004	405.7	613	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Apimo1|203130|estExt_Genewise1.C_880093	683.7	787	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Apimo1|37687|fgenesh1_pg.49_#_49	829.9	671	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Apimo1|75785|fgenesh1_pm.206_#_4	873.4	688	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Apimo1|163489|e_gw1.13.162.1	392.6	657	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Apimo1|47064|fgenesh1_kg.5_#_40_#_Locus3562v2rpkm19.21	806.5	754	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Apimo1|77367|estExt_fgenesh1_pm.C_10274	1055.9	872	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Apimo1|452213|CE214167_8827	471.8	651	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	jgi|Apimo1|168534|e_gw1.36.187.1	932.9	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	jgi|Apimo1|58796|fgenesh1_kg.146_#_13_#_Locus4176v1rpkm22.81	858.5	501	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Apimo1|61655|fgenesh1_kg.312_#_4_#_Locus7901v3rpkm0.50_PRE	287.8	480	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	jgi|Apimo1|113889|gm1.11577_g	530.2	551	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	jgi|Apimo1|73039|fgenesh1_pm.119_#_25	737.7	626	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	jgi|Apimo1|505030|CE266984_75749	412.9	499	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	jgi|Apimo1|39142|fgenesh1_pg.68_#_28	197.0	465	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	jgi|Apimo1|575328|CE337282_36246	593.7	628	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	jgi|Apimo1|63941|fgenesh1_pm.8_#_93	1057.9	746	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	jgi|Apimo1|167957|e_gw1.33.96.1	1177.7	1076	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	jgi|Apimo1|36531|fgenesh1_pg.37_#_97	848.5	854	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	jgi|Apimo1|51140|fgenesh1_kg.31_#_74_#_Locus5774v1rpkm12.60	954.3	761	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Complete	jgi|Apimo1|53857|fgenesh1_kg.57_#_30_#_Locus6665v1rpkm8.87	329.5	484	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	jgi|Apimo1|59192|fgenesh1_kg.156_#_30_#_Locus1493v1rpkm82.48	815.4	669	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	jgi|Apimo1|170513|e_gw1.46.205.1	1151.1	857	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	jgi|Apimo1|277057|CE39011_122988	673.5	483	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	jgi|Apimo1|297292|CE59246_19287	864.6	591	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	jgi|Apimo1|61261|fgenesh1_kg.251_#_1_#_Locus6749v1rpkm8.55	591.1	496	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	jgi|Apimo1|108821|gm1.6509_g	953.7	644	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	jgi|Apimo1|46402|fgenesh1_kg.2_#_164_#_Locus5738v1rpkm12.74	563.3	440	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	jgi|Apimo1|168233|e_gw1.34.205.1	855.5	663	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	jgi|Apimo1|120018|estExt_Genemark1.C_260101	1001.4	877	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	jgi|Apimo1|113728|gm1.11416_g	899.9	717	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	jgi|Apimo1|56763|fgenesh1_kg.102_#_16_#_Locus5118v3rpkm0.99_PRE	458.1	424	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	jgi|Apimo1|70634|fgenesh1_pm.73_#_13	411.1	441	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Complete	jgi|Apimo1|78918|estExt_fgenesh1_pm.C_90116	438.8	564	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	jgi|Apimo1|49460|fgenesh1_kg.18_#_122_#_Locus2640v1rpkm43.60	1081.7	785	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	jgi|Apimo1|230884|estExt_Genewise1Plus.C_1200032	1043.9	686	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	jgi|Apimo1|177623|e_gw1.101.120.1	357.3	636	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	jgi|Apimo1|53046|fgenesh1_kg.49_#_24_#_Locus1223v1rpkm99.98	877.0	694	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	jgi|Apimo1|73196|fgenesh1_pm.123_#_1	328.8	383	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	jgi|Apimo1|117611|estExt_Genemark1.C_60002	675.2	639	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Complete	jgi|Apimo1|63409|fgenesh1_pm.5_#_192	327.0	442	https://www.orthodb.org/v10?query=61857at4751	Exocyst complex protein EXO70
62846at4751	Complete	jgi|Apimo1|190105|estExt_Genewise1.C_70066	400.7	439	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	jgi|Apimo1|159532|e_gw1.2.393.1	942.2	710	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Complete	jgi|Apimo1|48378|fgenesh1_kg.11_#_31_#_Locus3428v1rpkm30.84	361.2	438	https://www.orthodb.org/v10?query=63838at4751	AP complex subunit beta
64002at4751	Complete	jgi|Apimo1|41724|fgenesh1_pg.116_#_11	553.7	687	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
