# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Conlig1|610510|estExt_Genewise1Plus.C_2_t30159	3230.4	2983	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Conlig1|632706|fgenesh1_kg.5_#_1041_#_Locus4373v1rpkm25.37	3110.9	2531	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Conlig1|682748|gm1.7256_g	3294.1	1818	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Conlig1|678012|gm1.2520_g	1820.2	1369	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Conlig1|626864|fgenesh1_kg.1_#_314_#_Locus6339v1rpkm9.63	1588.3	1727	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Conlig1|633677|fgenesh1_kg.6_#_956_#_Locus5148v1rpkm18.09	2767.8	2095	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Conlig1|652739|fgenesh1_pm.2_#_808	3193.4	1881	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Conlig1|576643|e_gw1.5.1441.1	844.9	968	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Conlig1|641303|fgenesh1_pg.2_#_1055	840.2	1050	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Conlig1|700690|MIX12517_1376_12	989.7	768	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Duplicated	jgi|Conlig1|665337|estExt_fgenesh1_pg.C_1_t10027	1147.1	870	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6377at4751	Duplicated	jgi|Conlig1|328392|CE328128_22529	1113.8	884	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Conlig1|630471|fgenesh1_kg.3_#_1048_#_Locus5244v1rpkm17.14	823.2	876	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Conlig1|684217|gm1.8725_g	2157.2	1498	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Conlig1|584312|e_gw1.11.380.1	1193.1	1288	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Conlig1|482877|CE482613_7122	968.7	930	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Conlig1|648111|fgenesh1_pg.9_#_599	605.9	698	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Conlig1|626881|fgenesh1_kg.1_#_331_#_Locus2089v1rpkm74.62	2288.4	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Conlig1|678743|gm1.3251_g	1629.6	1057	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Conlig1|678093|gm1.2601_g	840.5	859	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Conlig1|676348|gm1.856_g	1359.6	1257	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Conlig1|581707|e_gw1.8.1026.1	705.8	862	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Conlig1|603778|estExt_Genewise1.C_10_t20182	1239.6	1051	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Conlig1|626559|fgenesh1_kg.1_#_9_#_Locus2210v1rpkm69.58	1455.8	989	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Conlig1|582118|e_gw1.9.629.1	419.8	526	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Conlig1|264976|CE264712_13191	1691.2	1292	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Conlig1|617814|estExt_Genewise1Plus.C_6_t20212	683.7	809	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Conlig1|628485|fgenesh1_kg.2_#_461_#_Locus2871v2rpkm9.75	1481.7	1422	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Conlig1|628296|fgenesh1_kg.2_#_272_#_Locus1482v1rpkm112.23	1358.1	799	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Conlig1|622119|estExt_Genewise1Plus.C_9_t20113	1748.1	1299	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Conlig1|646033|fgenesh1_pg.7_#_336	1231.0	878	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Conlig1|620463|estExt_Genewise1Plus.C_8_t10277	623.8	797	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Conlig1|578837|e_gw1.6.1132.1	859.3	732	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Conlig1|205495|CE205231_17626	882.5	603	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Conlig1|627268|fgenesh1_kg.1_#_718_#_Locus4550v1rpkm23.49	563.8	624	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Conlig1|310547|CE310283_49902	1304.1	802	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Conlig1|718362|estExt_Genemark1.C_10_t10367	1288.7	935	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
