# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Chagl_1|15555|CHGT_05731	3188.8	3006	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Chagl_1|12272|CHGT_02448	3090.4	2471	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Chagl_1|20198|CHGT_10374	2984.6	1646	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Chagl_1|12988|CHGT_03164	1644.5	1354	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Chagl_1|10962|CHGT_01138	1522.9	1727	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Chagl_1|18253|CHGT_08429	2733.2	2085	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Chagl_1|15359|CHGT_05535	3196.2	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Chagl_1|17545|CHGT_07721	726.5	904	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Chagl_1|12752|CHGT_02928	726.9	1073	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Chagl_1|16081|CHGT_06257	876.9	715	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Chagl_1|11114|CHGT_01290	1218.0	890	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Chagl_1|14401|CHGT_04577	816.0	856	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Chagl_1|19789|CHGT_09965	2128.2	1476	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Chagl_1|18795|CHGT_08971	1213.1	1334	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
