# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	jgi|Pucst1|502168|maker-PST130_8334-snap-gene-0.4-mRNA-1	1793.5	1464	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Pucst1|496367|maker-PST130_28331-snap-gene-0.2-mRNA-1	1875.3	2215	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Pucst1|500217|snap-PST130_7550-abinit-gene-0.4-mRNA-1	3146.2	1773	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Pucst1|500242|maker-PST130_7561-snap-gene-0.13-mRNA-1	1551.1	1368	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Pucst1|493795|maker-PST130_20808-snap-gene-0.4-mRNA-1	1061.7	1649	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Pucst1|501451|maker-PST130_8031-snap-gene-0.2-mRNA-1	1782.0	1713	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Pucst1|499408|maker-PST130_7273-snap-gene-0.5-mRNA-1	2971.6	1885	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Fragmented	jgi|Pucst1|489308|maker-PST130_12245-snap-gene-0.5-mRNA-1	212.1	408	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Pucst1|499542|maker-PST130_7319-snap-gene-0.5-mRNA-1	530.3	597	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Pucst1|500874|maker-PST130_7806-snap-gene-0.16-mRNA-1	1157.3	919	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
