# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|CodFL1790_1|719287|estExt_Genewise1Plus.C_5_t10352	3207.5	2937	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|CodFL1790_1|757969|MIX10986_417_4	3076.2	2460	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|CodFL1790_1|443224|CE443025_94114	3285.6	1807	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|CodFL1790_1|97387|CE97188_16574	1807.3	1354	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|CodFL1790_1|204602|CE204403_6336	1548.0	1702	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|CodFL1790_1|639737|e_gw1.22.178.1	2727.6	2087	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|CodFL1790_1|41138|CE40939_16380	3187.6	1881	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|CodFL1790_1|237518|CE237319_13207	797.1	991	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|CodFL1790_1|822768|estExt_Genemark1.C_11_t10358	791.3	1059	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|CodFL1790_1|123592|CE123393_16684	995.4	780	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|CodFL1790_1|154711|CE154512_9169	1173.6	878	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|CodFL1790_1|667220|fgenesh1_kg.3_#_2899_#_TRINITY_DN8365_c0_g1_i2	794.9	908	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|CodFL1790_1|250151|CE249952_1926	2137.5	1484	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|CodFL1790_1|473525|CE473326_16723	1271.5	1406	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|CodFL1790_1|685173|fgenesh1_kg.10_#_624_#_TRINITY_DN8182_c0_g2_i1	941.7	929	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|CodFL1790_1|624689|e_gw1.4.846.1	652.6	660	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|CodFL1790_1|73853|CE73654_32068	2335.5	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|CodFL1790_1|56632|CE56433_32657	1626.3	1062	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|CodFL1790_1|39747|CE39548_13020	834.2	833	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|CodFL1790_1|742290|gm1.9360_g	1343.9	1263	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|CodFL1790_1|256149|CE255950_8068	725.5	896	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|CodFL1790_1|682165|fgenesh1_kg.8_#_2152_#_TRINITY_DN3759_c0_g1_i2	1250.3	1060	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Duplicated	jgi|CodFL1790_1|657855|fgenesh1_kg.1_#_1708_#_TRINITY_DN6562_c0_g1_i1	1457.3	992	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12258at4751	Duplicated	jgi|CodFL1790_1|636660|e_gw1.16.533.1	1447.9	991	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|CodFL1790_1|705661|fgenesh1_pm.4_#_242	417.5	528	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|CodFL1790_1|628937|e_gw1.7.716.1	1725.8	1276	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|CodFL1790_1|265103|CE264904_6668	653.1	799	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|CodFL1790_1|396717|CE396518_8992	1492.4	1377	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|CodFL1790_1|706377|fgenesh1_pm.5_#_353	1400.0	839	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|CodFL1790_1|121750|CE121551_7965	1700.9	1303	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|CodFL1790_1|371100|CE370901_27046	1231.6	881	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|CodFL1790_1|650288|fgenesh1_pg.10_#_55	623.6	774	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|CodFL1790_1|698505|fgenesh1_kg.19_#_503_#_TRINITY_DN17_c0_g1_i1	847.2	702	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|CodFL1790_1|102881|CE102682_9158	883.2	618	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|CodFL1790_1|675224|fgenesh1_kg.5_#_3330_#_TRINITY_DN8186_c0_g1_i1	554.1	628	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
