# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	jgi|XylPMI703_1|680298|e_gw1.5.2188.1	2293.0	1475	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|XylPMI703_1|710167|estExt_Genewise1.C_5_t70458	3211.2	2517	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|XylPMI703_1|764368|fgenesh1_kg.1_#_4983_#_TRINITY_DN4626_c0_g2_i1	3289.2	1791	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|XylPMI703_1|195208|CE194961_18042	1860.0	1381	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|XylPMI703_1|156726|CE156479_8342	1639.9	1758	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|XylPMI703_1|766762|fgenesh1_kg.1_#_7377_#_TRINITY_DN10836_c1_g6_i1	2785.8	2138	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|XylPMI703_1|523535|CE523288_25772	3217.3	1893	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|XylPMI703_1|768837|fgenesh1_kg.1_#_9452_#_TRINITY_DN6227_c0_g1_i1	882.5	976	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|XylPMI703_1|829390|estExt_fgenesh1_pg.C_2_t30007	876.3	1068	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|XylPMI703_1|489142|CE488895_16984	983.6	761	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|XylPMI703_1|701736|estExt_Genewise1.C_3_t60406	1131.8	879	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|XylPMI703_1|794055|fgenesh1_kg.4_#_5448_#_TRINITY_DN5402_c0_g1_i2	866.0	851	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|XylPMI703_1|718025|estExt_Genewise1Plus.C_1_t20362	2170.9	1521	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
