# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Colfi1|282425|mRNA6932	3270.7	3127	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Colfi1|288494|mRNA13001	3164.2	2517	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Colfi1|277909|mRNA2416	3286.9	1800	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Colfi1|284645|mRNA9152	1800.4	1355	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Colfi1|280913|mRNA5420	1605.2	1802	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Colfi1|288530|mRNA13037	2801.7	2160	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Colfi1|279710|mRNA4217	3199.1	1881	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Colfi1|276906|mRNA1413	865.4	975	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Colfi1|282430|mRNA6937	878.5	1099	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Colfi1|280664|mRNA5171	996.0	775	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Colfi1|288340|mRNA12847	1188.8	899	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Colfi1|286271|mRNA10778	817.9	855	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Colfi1|285627|mRNA10134	2170.8	1528	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
