# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Umbra1|260885|fgenesh1_kg.83_#_6_#_combest_scaffold_83_141133	3093.5	3405	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Umbra1|255747|fgenesh1_kg.60_#_37_#_combest_scaffold_60_118726	2815.0	2544	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Umbra1|263675|fgenesh1_kg.114_#_11_#_combest_scaffold_114_12588	3154.6	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Umbra1|259898|fgenesh1_kg.77_#_50_#_combest_scaffold_77_135147	1698.3	1390	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Umbra1|261894|fgenesh1_kg.90_#_73_#_combest_scaffold_90_147406	1483.7	1889	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Umbra1|265329|fgenesh1_pm.14_#_27	2374.1	1987	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Umbra1|222231|fgenesh1_kg.4_#_709_#_combest_scaffold_4_86035	3182.3	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Umbra1|226143|fgenesh1_kg.8_#_31_#_combest_scaffold_8_136366	717.5	908	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Umbra1|239235|fgenesh1_kg.24_#_284_#_combest_scaffold_24_51074	627.4	1519	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Missing
6377at4751	Complete	jgi|Umbra1|284541|estExt_Genemark1.C_940004	1181.4	913	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Umbra1|234783|fgenesh1_kg.17_#_686_#_combest_scaffold_17_30988	702.4	815	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Umbra1|254584|fgenesh1_kg.56_#_292_#_combest_scaffold_56_112114	2016.2	1469	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Umbra1|293355|estExt_fgenesh1_pm.C_10069	1169.2	1278	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Umbra1|230204|fgenesh1_kg.12_#_586_#_combest_scaffold_12_15016	707.2	931	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Umbra1|238500|fgenesh1_kg.23_#_150_#_combest_scaffold_23_48645	617.2	687	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Umbra1|229709|fgenesh1_kg.12_#_91_#_combest_scaffold_12_13534	2286.1	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Umbra1|224434|fgenesh1_kg.6_#_414_#_combest_scaffold_6_117074	1417.9	1191	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Umbra1|227865|fgenesh1_kg.9_#_801_#_combest_scaffold_9_146889	732.9	919	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
