# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Neodi1|8907|AK830_g3779T0	3300.4	3103	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Neodi1|5686|AK830_g2549T0	3167.5	2509	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Neodi1|11945|AK830_g6166T0	3267.9	1810	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Neodi1|7456|AK830_g3081T0	1819.7	1352	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Neodi1|1165|AK830_g7577T0	1635.0	1732	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Neodi1|3283|AK830_g1949T0	2752.7	2148	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Neodi1|432|AK830_g6924T0	3163.8	1886	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Neodi1|10870|AK830_g5327T0	854.9	978	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Neodi1|8910|AK830_g3782T0	887.5	1081	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Neodi1|11935|AK830_g6156T0	1001.3	767	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Neodi1|4776|AK830_g2260T0	1195.1	863	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Neodi1|12304|AK830_g6464T0	803.5	873	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Neodi1|4799|AK830_g2284T0	2164.0	1553	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Neodi1|8767|AK830_g3700T0	1300.7	1326	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Neodi1|4817|AK830_g2302T0	981.1	921	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Neodi1|8537|AK830_g661T0	706.6	719	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Neodi1|7001|AK830_g497T0	2321.6	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Neodi1|12019|AK830_g6241T0	1630.7	1061	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Neodi1|6820|AK830_g11680T0	834.3	852	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Neodi1|10191|AK830_g4800T0	1319.4	1161	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
