# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Umbelo1|424090|e_gw1.7.115.1	2445.0	1682	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Umbelo1|131592|CE131369_7947	2814.1	2546	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Umbelo1|417685|e_gw1.1.56.1	3133.8	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Umbelo1|505537|fgenesh1_kg.21_#_519_#_TRINITY_DN5840_c0_g3_i5	1696.3	1373	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Umbelo1|208672|CE208449_4587	1395.7	1668	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Umbelo1|558725|estExt_Genemark1.C_150014	2463.6	2162	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Umbelo1|483680|fgenesh1_kg.4_#_1144_#_TRINITY_DN3791_c0_g1_i1	3183.6	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Umbelo1|514066|fgenesh1_pm.14_#_104	690.5	833	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Umbelo1|505202|fgenesh1_kg.21_#_184_#_TRINITY_DN5164_c0_g1_i1	625.9	1230	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Umbelo1|41560|CE41337_10097	949.2	783	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Umbelo1|430189|e_gw1.20.187.1	1182.0	899	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Umbelo1|427953|e_gw1.14.152.1	655.9	667	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Umbelo1|507542|fgenesh1_kg.25_#_160_#_TRINITY_DN2563_c0_g1_i1	2022.1	1580	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Umbelo1|465898|fgenesh1_pg.5_#_332	1173.6	1281	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Umbelo1|472410|fgenesh1_kg.1_#_1180_#_TRINITY_DN5768_c0_g1_i1	680.2	891	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Umbelo1|304684|CE304461_5023	617.7	688	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Umbelo1|472892|fgenesh1_kg.1_#_1662_#_TRINITY_DN46_c0_g1_i1	2293.5	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Umbelo1|473687|fgenesh1_kg.1_#_2457_#_TRINITY_DN6017_c2_g1_i1	1417.6	1120	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Umbelo1|440166|estExt_Genewise1.C_7_t20044	727.1	904	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Umbelo1|483120|fgenesh1_kg.4_#_584_#_TRINITY_DN5589_c0_g1_i2	886.7	1090	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Umbelo1|485824|fgenesh1_kg.5_#_778_#_TRINITY_DN3865_c0_g2_i1	483.4	838	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Umbelo1|504359|fgenesh1_kg.20_#_69_#_TRINITY_DN2723_c0_g1_i1	1073.2	1009	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Umbelo1|504336|fgenesh1_kg.20_#_46_#_TRINITY_DN2497_c0_g1_i1	1507.5	988	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Umbelo1|472791|fgenesh1_kg.1_#_1561_#_TRINITY_DN4299_c0_g1_i3	309.7	466	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Umbelo1|500158|fgenesh1_kg.15_#_475_#_TRINITY_DN5785_c2_g4_i1	1584.1	1257	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Umbelo1|478284|fgenesh1_kg.2_#_2466_#_TRINITY_DN3317_c0_g1_i2	528.9	751	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Umbelo1|510489|fgenesh1_kg.32_#_226_#_TRINITY_DN5528_c0_g1_i7	1051.6	1428	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Umbelo1|508254|fgenesh1_kg.27_#_98_#_TRINITY_DN5604_c0_g1_i1	1357.0	800	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Umbelo1|486589|fgenesh1_kg.5_#_1543_#_TRINITY_DN1800_c0_g1_i1	1726.5	1286	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Umbelo1|499256|fgenesh1_kg.14_#_771_#_TRINITY_DN4039_c1_g1_i1	1196.7	889	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Umbelo1|474730|fgenesh1_kg.1_#_3500_#_TRINITY_DN5053_c0_g2_i1	456.0	822	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Umbelo1|474641|fgenesh1_kg.1_#_3411_#_TRINITY_DN3684_c0_g3_i1	871.2	696	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Umbelo1|508852|fgenesh1_kg.28_#_254_#_TRINITY_DN4766_c0_g1_i1	788.6	581	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Umbelo1|164456|CE164233_5245	362.3	604	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Umbelo1|489331|fgenesh1_kg.7_#_313_#_TRINITY_DN2026_c0_g1_i1	1298.0	784	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Umbelo1|493946|fgenesh1_kg.10_#_542_#_TRINITY_DN4179_c0_g4_i3	1042.1	888	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Umbelo1|288260|CE288037_1822	814.1	653	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Umbelo1|495142|fgenesh1_kg.11_#_476_#_TRINITY_DN1608_c0_g1_i1	745.3	660	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Umbelo1|538263|MIX2146_3338_21	1234.4	831	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Umbelo1|514934|fgenesh1_pm.26_#_16	289.1	443	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Umbelo1|190732|CE190509_17133	1567.7	1128	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Umbelo1|267979|CE267756_7866	820.3	1012	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Umbelo1|518635|gm1.3406_g	491.4	759	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Umbelo1|484829|fgenesh1_kg.4_#_2293_#_TRINITY_DN3452_c0_g1_i3	839.8	726	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Umbelo1|475895|fgenesh1_kg.2_#_77_#_TRINITY_DN5531_c0_g2_i4	177.1	662	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Umbelo1|496562|fgenesh1_kg.12_#_690_#_TRINITY_DN2997_c0_g1_i1	1505.7	953	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Umbelo1|431532|e_gw1.26.121.1	419.2	406	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Umbelo1|548031|MIX11914_3667_21	634.0	658	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Umbelo1|506148|fgenesh1_kg.22_#_466_#_TRINITY_DN2948_c0_g1_i1	203.8	529	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Umbelo1|499718|fgenesh1_kg.15_#_35_#_TRINITY_DN5374_c0_g2_i5	650.0	858	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Duplicated	jgi|Umbelo1|488558|fgenesh1_kg.6_#_1203_#_TRINITY_DN5211_c0_g1_i1	804.1	667	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
32164at4751	Duplicated	jgi|Umbelo1|505257|fgenesh1_kg.21_#_239_#_TRINITY_DN3337_c0_g3_i1	783.9	655	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Duplicated	jgi|Umbelo1|491578|fgenesh1_kg.8_#_1140_#_TRINITY_DN5256_c1_g1_i4	824.4	664	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
