# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Acrchr1|167|ACRE_001700T0	3300.7	3053	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Acrchr1|2604|ACRE_025600T0	3102.0	2497	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Acrchr1|5716|ACRE_045140T0	3250.8	1799	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Acrchr1|270|ACRE_002750T0	1820.3	1360	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Acrchr1|810|ACRE_019150T0	1559.7	1596	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Acrchr1|2096|ACRE_023270T0	2725.7	2125	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Acrchr1|8700|ACRE_068150T0	3166.2	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Acrchr1|1846|ACRE_022600T0	837.6	982	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Acrchr1|182|ACRE_001850T0	869.2	1054	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Acrchr1|7183|ACRE_056870T0	993.7	769	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Acrchr1|1008|ACRE_075110T0	1112.2	875	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Acrchr1|8828|ACRE_069440T0	796.6	835	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Acrchr1|5345|ACRE_008530T0	2132.1	1449	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Acrchr1|1621|ACRE_079040T0	1250.4	1279	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Acrchr1|5318|ACRE_008240T0	970.0	892	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Acrchr1|6000|ACRE_048010T0	699.6	724	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Acrchr1|4884|ACRE_038700T0	2351.3	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Acrchr1|591|ACRE_072000T0	1632.3	1076	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Acrchr1|6653|ACRE_052910T0	837.0	851	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Acrchr1|752|ACRE_018570T0	1303.4	1155	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Acrchr1|4263|ACRE_034720T0	728.5	885	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Acrchr1|3820|ACRE_031090T0	1266.1	1041	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Acrchr1|4655|ACRE_091030T0	1449.1	977	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Acrchr1|7843|ACRE_061980T0	357.7	530	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Acrchr1|2490|ACRE_084970T0	1722.8	1277	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Acrchr1|4888|ACRE_038740T0	685.5	860	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Acrchr1|6848|ACRE_012670T0	1488.2	1403	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Acrchr1|5894|ACRE_046940T0	1434.3	803	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Acrchr1|2073|ACRE_023040T0	1794.9	1343	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Acrchr1|8773|ACRE_068890T0	1236.6	879	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Acrchr1|6974|ACRE_054750T0	633.0	809	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Acrchr1|4876|ACRE_038610T0	850.3	711	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Acrchr1|7662|ACRE_060120T0	878.3	605	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Acrchr1|4166|ACRE_033880T0	541.2	633	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Acrchr1|3121|ACRE_003050T0	1223.9	759	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Acrchr1|3472|ACRE_089030T0	1254.4	933	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Acrchr1|7361|ACRE_013350T0	884.4	671	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Acrchr1|2460|ACRE_084660T0	744.8	686	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
