# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Atrpi1|621008|estExt_Genemark1.C_10_t10500	3380.0	3050	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Atrpi1|616520|estExt_Genemark1.C_3_t20298	3184.8	2536	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Atrpi1|563396|fgenesh1_kg.19_#_811_#_TRINITY_DN3191_c0_g1_i4	3291.0	1793	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Atrpi1|531095|fgenesh1_pg.17_#_221	1851.3	1395	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Atrpi1|536055|fgenesh1_kg.1_#_1531_#_TRINITY_DN3326_c0_g1_i1	1676.0	1776	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Atrpi1|486108|estExt_Genewise1.C_14_t10105	2806.1	2171	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Atrpi1|616910|estExt_Genemark1.C_4_t10354	3219.1	1885	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Atrpi1|580796|estExt_fgenesh1_pm.C_60286	892.4	995	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Atrpi1|489156|estExt_Genewise1.C_17_t20278	857.8	1093	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Atrpi1|510103|estExt_Genewise1Plus.C_12_t10494	993.2	769	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Atrpi1|626562|estExt_Genemark1.C_250037	1209.6	878	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Atrpi1|538427|fgenesh1_kg.2_#_652_#_TRINITY_DN3255_c0_g1_i2	857.4	885	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
