# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Veral1|2969|VDBG_08690T0	2551.4	2119	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Veral1|7146|VDBG_04122T0	3059.5	2459	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Fragmented	jgi|Veral1|10166|VDBG_07143T0	960.3	471	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Veral1|3177|VDBG_08898T0	1798.5	1367	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Veral1|8057|VDBG_05033T0	1411.1	1593	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Veral1|10074|VDBG_07051T0	2751.0	2185	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Fragmented	jgi|Veral1|9936|VDBG_06913T0	1237.5	766	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Veral1|425|VDBG_00202T0	866.3	959	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Fragmented	jgi|Veral1|2964|VDBG_08685T0	170.8	393	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Veral1|4706|VDBG_01748T0	885.2	703	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Veral1|8487|VDBG_05463T0	1155.1	886	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Veral1|2509|VDBG_08230T0	776.9	818	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Veral1|6111|VDBG_03087T0	1976.0	1419	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Veral1|3598|VDBG_09319T0	1191.3	1127	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Veral1|6455|VDBG_03431T0	716.4	801	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Veral1|6856|VDBG_03832T0	700.4	660	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Veral1|8072|VDBG_05048T0	2274.2	1387	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Fragmented	jgi|Veral1|2626|VDBG_08347T0	874.3	495	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Veral1|9660|VDBG_06637T0	786.8	852	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Veral1|8906|VDBG_05882T0	1354.2	1229	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Veral1|6671|VDBG_03647T0	736.1	899	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Veral1|2189|VDBG_07910T0	1130.8	973	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Veral1|343|VDBG_00120T0	1181.9	861	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Veral1|4132|VDBG_09853T0	332.5	516	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Fragmented	jgi|Veral1|1355|VDBG_01133T0	69.4	201	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Veral1|9736|VDBG_06713T0	1498.0	1420	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Veral1|1088|VDBG_00866T0	1125.1	810	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Veral1|6448|VDBG_03424T0	1758.4	1324	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Veral1|6416|VDBG_03392T0	1159.8	829	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Fragmented	jgi|Veral1|4016|VDBG_09737T0	254.9	253	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Veral1|1524|VDBG_01302T0	776.7	688	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Fragmented	jgi|Veral1|9859|VDBG_06836T0	580.7	440	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Fragmented	jgi|Veral1|8136|VDBG_05112T0	162.8	289	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Fragmented	jgi|Veral1|5215|VDBG_02257T0	792.9	496	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Fragmented	jgi|Veral1|2158|VDBG_07879T0	531.9	423	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Veral1|1214|VDBG_00992T0	742.1	609	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Veral1|2526|VDBG_08247T0	612.3	559	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Veral1|601|VDBG_00378T0	1114.1	795	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Veral1|6454|VDBG_03430T0	286.8	426	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Fragmented	jgi|Veral1|8079|VDBG_05055T0	950.7	595	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Veral1|557|VDBG_00334T0	991.2	1024	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Veral1|9777|VDBG_06754T0	626.2	772	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Veral1|4091|VDBG_09812T0	789.7	614	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Veral1|9918|VDBG_06895T0	303.3	412	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Veral1|8897|VDBG_05873T0	1386.0	912	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Veral1|3550|VDBG_09271T0	499.0	567	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Veral1|6399|VDBG_03375T0	547.6	573	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Fragmented	jgi|Veral1|10041|VDBG_07018T0	166.2	305	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Veral1|4017|VDBG_09738T0	542.2	619	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Veral1|9480|VDBG_06457T0	849.6	669	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Veral1|2525|VDBG_08246T0	836.3	675	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Veral1|481|VDBG_00258T0	415.7	711	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Fragmented	jgi|Veral1|987|VDBG_00765T0	582.2	549	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Veral1|8291|VDBG_05267T0	820.5	735	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Veral1|1302|VDBG_01080T0	367.9	552	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Missing
37573at4751	Fragmented	jgi|Veral1|5856|VDBG_02832T0	446.7	302	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Veral1|8961|VDBG_05937T0	261.2	388	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
