OGID,Pfam,IPR
OG0000032,PF13637;PF12796,IPR036770;IPR002110
OG0000049,PF07690,IPR029069;IPR036259;IPR020846;IPR011701
OG0000053,PF01425,IPR036928;IPR023631;IPR020556
OG0000066,PF00171,IPR016163;IPR029510;IPR016162;IPR016161;IPR015590;IPR016160
OG0000084,PF00012,IPR013126;IPR043129
OG0000138,PF00135,IPR029058;IPR019826;IPR002018
OG0000173,PF00704,IPR001223;IPR011583;IPR029070;IPR017853;IPR001579
OG0000190,PF00400,IPR015943;IPR001680;IPR019775;IPR020472;IPR036322
OG0000227,PF13561,IPR002347;IPR036291
OG0000265,PF13602,IPR020843;IPR036291;IPR011032
OG0000304,PF00701,IPR002220;IPR013785
OG0000385,PF07992,IPR036188;IPR023753
OG0000419,PF07690,IPR036259;IPR020846;IPR011701;IPR005829
OG0000569,PF00903,IPR037523;IPR029068;IPR004360
OG0000589,PF04082;PF00172,IPR001138;IPR036864;IPR007219
OG0000592,PF17390;PF08531;PF05592;PF17389,IPR012341;IPR035398;IPR016007;IPR008979;IPR008928;IPR013737;IPR013783;IPR008902;IPR035396
OG0000637,PF02265,IPR008947;IPR003154
OG0000700,PF08530;PF02129,IPR008979;IPR029058;IPR013736;IPR005674;IPR000383
OG0000784,PF07470,IPR012341;IPR008928;IPR010905
OG0000799,PF01116,IPR000771;IPR013785
OG0000910,PF07859,IPR029058;IPR013094
OG0001064,PF00171,IPR005931;IPR029510;IPR016161;IPR015590;IPR016162;IPR016160;IPR016163
OG0001139,PF03446;PF14833,IPR008927;IPR006115;IPR029154;IPR036291;IPR011548;IPR002204;IPR015815;IPR013328
OG0001186,PF05426,IPR008929;IPR008397
OG0001188,PF01284,IPR008253
OG0001305,PF01613,IPR012349;IPR002563
OG0001514,PF08530;PF02129,IPR029058;IPR008979;IPR005674;IPR013736;IPR000383
OG0001538,PF02541,IPR043129;IPR003695
OG0001686,PF02129,IPR029058;IPR000383
OG0001934,PF13561,IPR036291;IPR002347;IPR020904
OG0003367,PF00171;PF02900,IPR015590;IPR016162;IPR004183;IPR016163;IPR014436;IPR016161
OG0004583,PF04082,IPR007219
OG0005057,PF05721,IPR008775
OG0005500,PF04082,IPR007219;IPR036864;IPR001138
OG0005805,PF00172,IPR036864;IPR001138
OG0006151,PF14087,IPR025363
OG0006490,PF00172;PF04082,IPR036864;IPR001138;IPR007219
OG0007157,PF00023;PF12796;PF13637,IPR002110;IPR036770
OG0007188,PF09668;PF00627;PF00240,IPR000626;IPR015940;IPR009060;IPR019103;IPR029071;IPR001995;IPR001969;IPR021109;IPR033882
OG0007228,PF05988,IPR010296;IPR036249
OG0007269,PF11951;PF00815,IPR012131;IPR011333;IPR021858;IPR016161;IPR001692
OG0007315,PF00172;PF04082,IPR001138;IPR007219;IPR036864
OG0007459,PF01494,IPR002938;IPR036188
OG0007696,PF01565;PF04030,IPR006094;IPR016169;IPR016166;IPR036318;IPR007173;IPR016167
OG0007755,PF00295,IPR011050;IPR000743;IPR012334
OG0008306,PF00648,IPR001300;IPR038765
OG0008554,PF01565,IPR006094;IPR036318;IPR016169;IPR016166;IPR006093
OG0008562,PF08501,IPR013708;IPR036291;IPR046346;IPR022893
OG0008841,PF08925,IPR015021
OG0008903,PF02469,IPR036378;IPR000782
OG0008951,PF00098,IPR036875;IPR001878
OG0009718,PF01151,IPR002076
