# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|OphPMI507_1|413635|estExt_fgenesh1_pg.C_4_t10450	3107.0	3214	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|OphPMI507_1|437127|MIX1323_75_27	2774.8	2577	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|OphPMI507_1|134116|CE133769_23069	3270.9	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|OphPMI507_1|428885|gm1.3272_g	1800.0	1374	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|OphPMI507_1|346832|estExt_Genewise1Plus.C_3_t10273	1312.2	1631	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|OphPMI507_1|449009|MIX13205_9888_96	2697.7	2080	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|OphPMI507_1|379823|fgenesh1_kg.3_#_800_#_TRINITY_DN7043_c3_g35_i1	3122.1	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|OphPMI507_1|12438|CE12091_17775	794.0	1021	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|OphPMI507_1|115198|CE114851_9534	745.5	1113	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|OphPMI507_1|314402|e_gw1.4.513.1	973.1	763	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|OphPMI507_1|16987|CE16640_5291	1080.8	853	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|OphPMI507_1|321999|e_gw1.9.820.1	798.1	871	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|OphPMI507_1|442604|MIX6800_3412_96	2116.3	1448	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|OphPMI507_1|310218|e_gw1.1.236.1	1085.4	1279	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|OphPMI507_1|388375|fgenesh1_kg.5_#_2734_#_TRINITY_DN1105_c0_g1_i1	834.6	801	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|OphPMI507_1|13342|CE12995_6752	654.6	666	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|OphPMI507_1|105013|CE104666_26095	2281.0	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|OphPMI507_1|397319|fgenesh1_kg.9_#_1254_#_TRINITY_DN5507_c0_g1_i1	1627.8	1063	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|OphPMI507_1|350026|estExt_Genewise1Plus.C_5_t10386	839.2	816	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|OphPMI507_1|370246|fgenesh1_kg.1_#_294_#_TRINITY_DN5866_c1_g3_i1	1108.4	1113	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|OphPMI507_1|329779|estExt_Genewise1.C_2_t40067	565.2	860	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|OphPMI507_1|321658|e_gw1.8.254.1	1222.3	1071	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|OphPMI507_1|67371|CE67024_16870	1421.7	975	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|OphPMI507_1|394721|fgenesh1_kg.8_#_998_#_TRINITY_DN4520_c1_g1_i1	410.5	492	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|OphPMI507_1|155889|CE155542_14955	1689.8	1258	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|OphPMI507_1|324184|e_gw1.11.280.1	664.6	759	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|OphPMI507_1|385195|fgenesh1_kg.4_#_2527_#_TRINITY_DN5368_c0_g1_i1	1314.8	1265	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|OphPMI507_1|179751|CE179404_11151	1412.2	799	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|OphPMI507_1|424168|estExt_fgenesh1_pm.C_9_t10001	1515.9	1118	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|OphPMI507_1|37212|CE36865_10710	1228.2	879	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|OphPMI507_1|378342|fgenesh1_kg.2_#_3692_#_TRINITY_DN12049_c0_g1_i1	598.9	780	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|OphPMI507_1|320017|e_gw1.7.609.1	858.1	779	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
