Genome,portal_link,DMAT,HYBRID,NRPS,NRPS-Like,PKS,PKS-Like,TC,Total
Aaosphaeria arxii CBS 175.79 v1.0,https://mycocosm.jgi.doe.gov/Aaoar1,2,0,7,7,16,4,5,41
Abortiporus biennis CCBS 521 v1.0,https://mycocosm.jgi.doe.gov/Abobi1,0,0,1,5,3,0,9,18
Abortiporus biennis CIRM-BRFM1778 v1.0,https://mycocosm.jgi.doe.gov/Abobie1,0,0,1,4,3,0,9,17
Absidia caerulea NRRL1315 v1.0,https://mycocosm.jgi.doe.gov/Abscae1,0,0,1,1,1,1,0,4
Absidia padenii NRRL 2977 v1.0,https://mycocosm.jgi.doe.gov/Chlpad1,0,0,1,1,1,1,0,4
Absidia repens NRRL 1336 v1.0,https://mycocosm.jgi.doe.gov/Absrep1,0,0,1,1,1,1,0,4
Acaromyces ingoldii MCA 4198 v1.0,https://mycocosm.jgi.doe.gov/Acain1,0,1,2,9,1,4,0,17
Acarospora strigata CBS 132363,https://mycocosm.jgi.doe.gov/Acastr1,2,2,5,4,18,3,0,34
Acephala macrosclerotiorum EW76-UTF0540 v1.0,https://mycocosm.jgi.doe.gov/Acema1,1,3,4,11,16,5,1,41
Achaetomium strumarium CBS333.67 v1.0,https://mycocosm.jgi.doe.gov/Achstr1,0,2,5,1,14,2,6,30
Acidomyces richmondensis BFW,https://mycocosm.jgi.doe.gov/Aciri1_iso,0,0,1,5,2,2,0,10
Acidomyces richmondensis BFW,https://mycocosm.jgi.doe.gov/Aciri1_meta,0,0,1,5,1,3,0,10
Acidothrix acidophila CBS 136259 v1.0,https://mycocosm.jgi.doe.gov/Aciaci1,1,2,2,8,4,2,2,21
Acremonium alcalophilum v2.0,https://mycocosm.jgi.doe.gov/Acral2,1,3,6,6,11,2,0,29
Acremonium chrysogenum ATCC 11550,https://mycocosm.jgi.doe.gov/Acrchr1,3,2,7,4,18,2,2,38
Acremonium strictum DS1bioAY4a v1.0,https://mycocosm.jgi.doe.gov/Acrst1,1,2,3,12,11,3,3,35
Agaricostilbum hyphaenes ATCC MYA-4628 v1.0,https://mycocosm.jgi.doe.gov/Agahy1,0,0,0,2,1,0,0,3
Agaricus bisporus var bisporus (H97) v2.0,https://mycocosm.jgi.doe.gov/Agabi_varbisH97_2,2,0,0,7,2,0,6,17
Agaricus bisporus var. burnettii JB137-S8,https://mycocosm.jgi.doe.gov/Agabi_varbur_1,2,0,0,7,2,0,6,17
Agrocybe pediades AH 40210 v1.0,https://mycocosm.jgi.doe.gov/Agrped1,1,2,1,15,5,0,11,35
Agrocybe praecox OKM6292 v1.0,https://mycocosm.jgi.doe.gov/Agrpra2,2,1,1,12,3,0,10,29
Albatrellus peckianus DAOM 52321 v1.0,https://mycocosm.jgi.doe.gov/Albpec1,2,0,0,20,5,0,4,31
Aliquandostipite khaoyaiensis CBS 118232 v1.0,https://mycocosm.jgi.doe.gov/Alikh1,0,2,5,1,7,2,0,17
Allomyces macrogynus ATCC 38327,https://mycocosm.jgi.doe.gov/Allma1,0,0,0,2,2,2,0,6
Alternaria alternata ATCC11680,https://mycocosm.jgi.doe.gov/Alalt1,0,1,5,7,9,2,3,27
Alternaria alternata ATCC66891,https://mycocosm.jgi.doe.gov/Alalte1,0,1,4,7,8,3,3,26
