# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|PhaPMI808|764078|estExt_fgenesh1_pg.C_920018	3227.2	3241	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|PhaPMI808|642082|estExt_Genewise1.C_3_t20108	2984.1	2600	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|PhaPMI808|830160|estExt_Genemark1.C_590047	3278.1	1789	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|PhaPMI808|778006|gm1.12190_g	1749.1	1347	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|PhaPMI808|708773|fgenesh1_kg.30_#_68_#_Locus3875v1rpkm28.07	1359.3	1487	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|PhaPMI808|824729|estExt_Genemark1.C_130078	2731.6	2138	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|PhaPMI808|712177|fgenesh1_kg.47_#_82_#_Locus5947v1rpkm13.97	3114.3	1858	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|PhaPMI808|669088|estExt_Genewise1Plus.C_1_t30253	842.5	996	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|PhaPMI808|824527|estExt_Genemark1.C_120115	746.2	1126	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|PhaPMI808|659143|estExt_Genewise1.C_490050	967.1	787	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|PhaPMI808|673361|estExt_Genewise1Plus.C_7_t10230	1195.6	899	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|PhaPMI808|830882|estExt_Genemark1.C_740017	839.6	878	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|PhaPMI808|678354|estExt_Genewise1Plus.C_16_t10341	2100.7	1500	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|PhaPMI808|641296|estExt_Genewise1.C_2_t20376	1231.8	1304	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|PhaPMI808|678112|estExt_Genewise1Plus.C_16_t10085	946.3	891	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|PhaPMI808|766155|gm1.339_g	662.0	689	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|PhaPMI808|698630|fgenesh1_kg.4_#_20_#_Locus996v1rpkm123.11	2198.3	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|PhaPMI808|702096|fgenesh1_kg.10_#_380_#_Locus1887v1rpkm64.00	1621.8	1062	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|PhaPMI808|697536|fgenesh1_kg.2_#_279_#_Locus3275v1rpkm34.68	822.5	857	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|PhaPMI808|683239|estExt_Genewise1Plus.C_290331	1205.4	1206	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|PhaPMI808|825809|estExt_Genemark1.C_180154	590.4	713	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|PhaPMI808|345154|CE345153_10227	1218.2	1010	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|PhaPMI808|746142|estExt_fgenesh1_pm.C_30291	1532.1	993	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
