# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Bissp1|661950|estExt_fgenesh1_pm.C_240029	3186.3	3137	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Bissp1|551140|estExt_Genewise1.C_470050	3116.5	2550	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Bissp1|688890|gm1.9281_g	3287.3	1789	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Bissp1|622511|fgenesh1_kg.21_#_395_#_TRINITY_DN5773_c0_g1_i1	1804.2	1361	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Bissp1|560873|estExt_Genewise1Plus.C_1_t30020	1492.0	1690	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Bissp1|510676|e_gw1.18.176.1	2788.5	2185	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Duplicated	jgi|Bissp1|649309|fgenesh1_pm.6_#_100	2973.1	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
4523at4751	Duplicated	jgi|Bissp1|649769|fgenesh1_pm.8_#_126	2959.4	1855	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Bissp1|609757|fgenesh1_kg.5_#_582_#_TRINITY_DN8526_c0_g1_i1	829.7	865	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Bissp1|571975|estExt_Genewise1Plus.C_210303	863.6	1111	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Bissp1|521723|e_gw1.54.81.1	988.0	768	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Bissp1|502752|e_gw1.5.364.1	1231.2	870	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Bissp1|605742|fgenesh1_kg.2_#_248_#_TRINITY_DN7679_c0_g1_i3	793.5	869	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Bissp1|687229|gm1.7620_g	2145.2	1484	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Bissp1|614173|fgenesh1_kg.10_#_132_#_TRINITY_DN2354_c0_g1_i1	1231.3	1314	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Bissp1|623567|fgenesh1_kg.23_#_377_#_TRINITY_DN6725_c1_g1_i1	989.6	932	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Bissp1|597553|fgenesh1_pg.39_#_24	677.8	694	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Bissp1|697176|MIX235_8515_12	2357.0	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Bissp1|680380|gm1.771_g	1629.2	1078	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Bissp1|595303|fgenesh1_pg.25_#_110	841.7	868	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Bissp1|647565|fgenesh1_pm.1_#_47	1345.5	1207	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Bissp1|691279|gm1.11670_g	724.5	907	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Bissp1|681611|gm1.2002_g	1245.9	1080	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Bissp1|520259|e_gw1.47.52.1	1494.1	981	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Bissp1|619838|fgenesh1_kg.17_#_492_#_TRINITY_DN3873_c0_g2_i1	358.4	494	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Bissp1|510734|e_gw1.19.218.1	1730.8	1279	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Bissp1|508770|e_gw1.15.187.1	693.5	789	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Bissp1|681659|gm1.2050_g	1520.5	1479	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
