# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Missing
771at4751	Complete	jgi|Stasp1|378022|estExt_Genemark1.C_9_t10420	3035.2	2590	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Stasp1|346313|gm1.4945_g	3289.7	1792	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Stasp1|378460|estExt_Genemark1.C_10_t10432	1751.3	1370	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Stasp1|285764|estExt_Genewise1Plus.C_20_t10142	1596.8	1693	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Stasp1|381923|estExt_Genemark1.C_200092	2730.8	2202	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Stasp1|374113|estExt_Genemark1.C_3_t10398	3197.0	1884	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Stasp1|245315|estExt_Genewise1.C_5_t10479	844.5	987	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Stasp1|365341|MIX10836_1183_46	748.3	1156	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Stasp1|240096|estExt_Genewise1.C_2_t30163	966.1	779	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Stasp1|253333|estExt_Genewise1.C_12_t10224	1196.5	890	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Stasp1|244597|estExt_Genewise1.C_4_t40214	849.6	874	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Stasp1|381747|estExt_Genemark1.C_190232	2107.2	1471	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Stasp1|347961|gm1.6593_g	1268.1	1320	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Stasp1|381684|estExt_Genemark1.C_190164	937.3	859	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Stasp1|238954|estExt_Genewise1.C_1_t60060	659.0	677	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Stasp1|371849|estExt_Genemark1.C_1_t10143	2215.7	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Stasp1|375039|estExt_Genemark1.C_4_t20108	1630.8	1062	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Stasp1|147840|CE147745_5267	835.9	894	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Stasp1|377767|estExt_Genemark1.C_9_t10123	1224.8	1119	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Stasp1|259060|estExt_Genewise1.C_19_t10021	593.0	716	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Stasp1|328837|estExt_fgenesh1_pm.C_150260	1237.8	1032	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Stasp1|294459|fgenesh1_kg.9_#_280_#_Locus7463v1rpkm6.26	1522.1	995	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Stasp1|372741|estExt_Genemark1.C_1_t30148	401.3	560	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Stasp1|237714|estExt_Genewise1.C_1_t30209	1717.3	1293	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Stasp1|243575|estExt_Genewise1.C_4_t20059	665.7	871	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Stasp1|380238|estExt_Genemark1.C_150008	1434.1	1441	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Stasp1|289362|fgenesh1_kg.1_#_899_#_Locus4185v1rpkm17.53	1422.7	822	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Stasp1|335636|estExt_fgenesh1_pg.C_7_t10313	1731.7	1347	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Stasp1|381230|estExt_Genemark1.C_170372	1253.0	881	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Stasp1|377855|estExt_Genemark1.C_9_t10226	584.7	786	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Stasp1|299248|fgenesh1_kg.28_#_46_#_Locus8763v1rpkm3.92	806.0	707	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
