# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Lepor2|609537|fgenesh1_kg.11_#_1764_#_TRINITY_DN5663_c0_g1_i1	3371.7	3024	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Lepor2|254962|CE254737_13409	3179.6	2437	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Lepor2|294420|CE294195_37877	3289.0	1794	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Lepor2|232449|CE232224_11992	1851.3	1358	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Lepor2|648190|estExt_fgenesh1_pm.C_450070	1401.8	1700	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Lepor2|175818|CE175593_12860	2807.0	2217	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Lepor2|463199|e_gw1.1.3576.1	3226.0	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Lepor2|517410|estExt_Genewise1.C_8_t30319	861.6	968	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Lepor2|223020|CE222795_14480	903.8	1122	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Lepor2|492527|e_gw1.18.747.1	993.9	768	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Lepor2|164871|CE164646_5623	1217.6	890	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Lepor2|585699|fgenesh1_kg.1_#_224_#_TRINITY_DN19030_c0_g1_i1	854.2	850	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Lepor2|700504|MIX15519_371_31	2169.2	1546	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Lepor2|132518|CE132293_8138	1261.6	1312	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Lepor2|159231|CE159006_958	998.5	933	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Lepor2|90861|CE90636_4364	701.7	695	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Lepor2|614576|fgenesh1_kg.15_#_958_#_TRINITY_DN8195_c0_g1_i1	2380.0	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Lepor2|4657|CE4432_39317	1642.8	1066	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Lepor2|605042|fgenesh1_kg.8_#_1567_#_TRINITY_DN6223_c1_g1_i1	858.1	850	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Lepor2|659701|estExt_fgenesh1_pg.C_15_t20053	1379.5	1212	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Lepor2|590300|fgenesh1_kg.2_#_268_#_TRINITY_DN3563_c0_g1_i1	748.4	931	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Lepor2|53936|CE53711_19113	1270.2	1023	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Lepor2|589846|fgenesh1_kg.1_#_4371_#_TRINITY_DN1016_c0_g1_i1	1500.9	989	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Lepor2|611175|fgenesh1_kg.13_#_261_#_TRINITY_DN7452_c1_g1_i4	423.5	514	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Lepor2|642004|estExt_fgenesh1_pm.C_5_t10294	1772.4	1285	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Lepor2|546237|estExt_Genewise1Plus.C_6_t10233	685.9	800	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Lepor2|549162|estExt_Genewise1Plus.C_8_t20068	1527.1	1424	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Lepor2|126179|CE125954_104217	1438.0	843	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Lepor2|482449|e_gw1.10.500.1	1790.7	1358	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Lepor2|67135|CE66910_8604	1254.9	879	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Lepor2|700098|MIX15113_953_24	619.8	797	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Lepor2|464851|e_gw1.1.765.1	882.0	726	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Lepor2|502649|estExt_Genewise1.C_1_t40422	884.3	596	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Lepor2|272187|CE271962_3524	567.4	632	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Lepor2|303720|CE303495_4751	1311.4	964	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Lepor2|606516|fgenesh1_kg.10_#_422_#_TRINITY_DN9722_c2_g1_i1	1267.7	933	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Lepor2|733697|estExt_Genemark1.C_6_t20319	898.4	661	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Lepor2|333929|CE333704_16807	735.7	690	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Lepor2|632786|fgenesh1_pm.10_#_92	1301.0	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Lepor2|591283|fgenesh1_kg.2_#_1251_#_TRINITY_DN3490_c0_g1_i1	287.5	452	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Lepor2|114018|CE113793_25276	1759.1	1170	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Lepor2|484422|e_gw1.11.1377.1	1026.2	1033	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Lepor2|486641|e_gw1.12.312.1	828.9	861	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Lepor2|505029|estExt_Genewise1.C_2_t10188	998.9	776	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Duplicated	jgi|Lepor2|223903|CE223678_4772	333.0	578	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
25161at4751	Duplicated	jgi|Lepor2|541981|estExt_Genewise1Plus.C_3_t40289	305.2	626	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Lepor2|497719|e_gw1.31.131.1	1512.4	954	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Lepor2|606672|fgenesh1_kg.10_#_578_#_TRINITY_DN5255_c0_g1_i1	483.9	500	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Lepor2|517132|estExt_Genewise1.C_8_t30005	703.5	657	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Lepor2|657888|estExt_fgenesh1_pg.C_12_t10254	431.8	621	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Lepor2|505442|estExt_Genewise1.C_2_t20157	823.9	798	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Lepor2|488307|e_gw1.14.406.1	859.0	671	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Lepor2|573882|fgenesh1_pg.7_#_137	903.6	684	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Lepor2|177973|CE177748_9511	426.7	715	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Lepor2|718754|MIX33769_237_16	830.9	756	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Lepor2|667351|gm1.3607_g	1059.8	867	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Lepor2|515149|estExt_Genewise1.C_6_t40278	487.0	620	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	jgi|Lepor2|507642|estExt_Genewise1.C_2_t70191	941.5	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	jgi|Lepor2|619554|fgenesh1_kg.21_#_812_#_TRINITY_DN48_c0_g1_i1	869.7	512	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Lepor2|738637|estExt_Genemark1.C_15_t10389	277.5	438	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	jgi|Lepor2|632246|fgenesh1_pm.8_#_231	482.7	482	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	jgi|Lepor2|624085|fgenesh1_kg.37_#_22_#_TRINITY_DN727_c0_g1_i2	737.0	628	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	jgi|Lepor2|606564|fgenesh1_kg.10_#_470_#_TRINITY_DN7565_c0_g1_i1	416.7	479	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	jgi|Lepor2|501956|estExt_Genewise1.C_1_t30114	165.8	521	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	jgi|Lepor2|312881|CE312656_8489	613.9	618	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	jgi|Lepor2|587866|fgenesh1_kg.1_#_2391_#_TRINITY_DN5615_c0_g1_i1	1063.0	750	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
