# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Gloci1|1861446|estExt_Genewise1.C_4_t40078	3314.7	3262	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Gloci1|1757557|estExt_fgenesh1_pg.C_2_t20080	3174.7	2542	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Gloci1|1826440|e_gw1.3.265.1	3289.4	1784	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Gloci1|1770152|estExt_fgenesh1_pm.C_4_t10364	1807.9	1368	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Gloci1|1821164|e_gw1.1.787.1	1617.5	1722	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Gloci1|1845091|e_gw1.20.705.1	2795.7	2189	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Gloci1|46251|fgenesh1_kg.1_#_1676_#_Locus4792v1rpkm22.95	3202.8	1881	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Gloci1|634018|CE573855_5462	831.4	968	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Gloci1|1827052|e_gw1.4.480.1	894.9	1093	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Gloci1|1834509|e_gw1.8.15.1	1004.4	778	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Gloci1|53712|fgenesh1_kg.10_#_344_#_Locus4400v1rpkm27.09	1110.4	908	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Gloci1|51147|fgenesh1_kg.6_#_387_#_Locus3082v1rpkm46.92	819.3	849	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Gloci1|1730160|gm1.13752_g	2175.1	1552	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Gloci1|1729635|gm1.13227_g	1287.0	1279	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Gloci1|1732332|gm1.15924_g	975.4	950	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Gloci1|50553|fgenesh1_kg.5_#_544_#_Locus6211v1rpkm12.71	699.6	658	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Gloci1|1879971|estExt_Genewise1Plus.C_1_t20107	2347.2	1409	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Gloci1|54347|fgenesh1_kg.11_#_373_#_Locus3510v1rpkm39.28	1625.8	1067	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Gloci1|1843002|e_gw1.17.265.1	815.0	857	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Gloci1|1717174|gm1.766_g	1368.7	1246	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Gloci1|1730130|gm1.13722_g	767.5	902	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Gloci1|1746633|fgenesh1_pm.3_#_691	1281.5	1060	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Gloci1|1718587|gm1.2179_g	1478.5	993	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Gloci1|1843996|e_gw1.18.653.1	399.6	518	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Gloci1|1837770|e_gw1.11.905.1	1720.8	1273	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Gloci1|34029|fgenesh1_pg.6_#_17	713.0	808	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Gloci1|29329|fgenesh1_pg.1_#_1211	1505.1	1497	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Gloci1|1854295|estExt_Genewise1.C_1_t30203	1433.7	816	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Gloci1|1735180|estExt_Genemark1.C_3_t10383	1787.3	1301	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Gloci1|1719654|gm1.3246_g	1260.8	880	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Gloci1|1736380|estExt_Genemark1.C_4_t20389	641.3	778	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Gloci1|58898|fgenesh1_kg.32_#_69_#_Locus7096v1rpkm8.53	858.0	747	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Gloci1|1882046|estExt_Genewise1Plus.C_1_t60376	881.1	611	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Gloci1|51928|fgenesh1_kg.7_#_487_#_Locus4236v1rpkm28.91	561.2	632	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Gloci1|471340|CE411177_53887	1196.1	788	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Gloci1|48752|fgenesh1_kg.3_#_983_#_Locus1663v1rpkm101.71	1278.1	934	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Gloci1|1889783|estExt_Genewise1Plus.C_6_t20187	901.6	661	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Gloci1|729340|CE669177_2106	772.7	669	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
