# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Talpro1|311531|estExt_Genewise1.C_1_t40306	3306.8	3115	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Talpro1|290993|e_gw1.3.1457.1	3166.5	2487	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Talpro1|423854|gm1.2500_g	3280.8	1796	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Talpro1|430642|gm1.9288_g	1857.9	1351	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Talpro1|286402|e_gw1.1.1891.1	1646.2	1870	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Talpro1|461989|estExt_Genemark1.C_7_t10051	2716.2	2202	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Talpro1|291615|e_gw1.4.54.1	3221.2	1888	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Talpro1|373131|fgenesh1_kg.3_#_2004_#_TRINITY_DN5281_c0_g2_i1	858.7	965	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Talpro1|83573|CE83572_4536	815.3	1070	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Talpro1|347158|estExt_Genewise1Plus.C_10_t20314	1019.8	776	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Talpro1|429244|gm1.7890_g	1199.4	887	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Talpro1|310620|estExt_Genewise1.C_1_t20254	843.1	957	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Talpro1|430837|gm1.9483_g	2146.1	1520	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Talpro1|429318|gm1.7964_g	1374.2	1401	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Talpro1|309786|e_gw1.17.469.1	980.4	927	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Talpro1|291668|e_gw1.4.287.1	738.7	768	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Talpro1|383553|fgenesh1_kg.9_#_316_#_TRINITY_DN12292_c0_g1_i1	2381.5	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Talpro1|381293|fgenesh1_kg.7_#_1359_#_TRINITY_DN1175_c0_g2_i1	1628.5	1065	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Talpro1|304969|e_gw1.12.1321.1	827.8	887	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Talpro1|366252|fgenesh1_kg.1_#_173_#_TRINITY_DN5702_c0_g1_i4	1286.4	1228	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Talpro1|361877|fgenesh1_pg.9_#_429	737.5	855	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Talpro1|433621|gm1.12267_g	1237.5	1118	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Talpro1|356193|fgenesh1_pg.3_#_453	1536.4	991	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Talpro1|375748|fgenesh1_kg.4_#_2345_#_TRINITY_DN5241_c0_g3_i1	414.4	500	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Talpro1|422559|gm1.1205_g	1725.3	1281	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
