# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|ClaPMI390|2231248|estExt_Genemark1.C_760010	2895.4	2865	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|ClaPMI390|2085857|fgenesh1_kg.72_#_42_#_Locus8090v1rpkm20.95	2155.8	2356	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|ClaPMI390|2077267|fgenesh1_kg.18_#_289_#_Locus7847v1rpkm22.04	2559.0	1417	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|ClaPMI390|2209914|MIX35102_3660_12	1610.1	1329	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|ClaPMI390|356354|CE356266_11043	1323.3	1706	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|ClaPMI390|2125141|fgenesh1_pm.17_#_23	2206.9	1948	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|ClaPMI390|2229129|estExt_Genemark1.C_410087	3162.8	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Complete	jgi|ClaPMI390|2155070|estExt_fgenesh1_pg.C_240004	520.4	1088	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|ClaPMI390|2086997|fgenesh1_kg.86_#_25_#_Locus5283v2rpkm30.28	721.2	797	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|ClaPMI390|2165017|gm1.3117_g	1180.0	911	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|ClaPMI390|2232661|estExt_Genemark1.C_1130023	586.2	786	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|ClaPMI390|2117042|estExt_Genewise1.C_590014	2034.3	1413	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|ClaPMI390|2233621|estExt_Genemark1.C_1570002	1137.2	1327	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|ClaPMI390|2172513|gm1.10613_g	617.6	762	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Fragmented	jgi|ClaPMI390|2069815|fgenesh1_kg.1_#_132_#_Locus9839v1rpkm14.87	542.5	465	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|ClaPMI390|2166894|gm1.4994_g	2292.2	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|ClaPMI390|2164997|gm1.3097_g	1441.4	1047	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|ClaPMI390|2172568|gm1.10668_g	616.3	796	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|ClaPMI390|1101357|CE1101269_2488	1041.3	1191	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|ClaPMI390|2205918|MIX31106_1004_55	512.7	805	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|ClaPMI390|2169117|gm1.7217_g	1002.8	1031	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|ClaPMI390|2085794|fgenesh1_kg.71_#_64_#_Locus11907v1rpkm10.16	1459.9	948	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|ClaPMI390|2225694|estExt_Genemark1.C_130077	310.9	512	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|ClaPMI390|2124091|fgenesh1_pm.4_#_25	1654.0	1258	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|ClaPMI390|2062798|e_gw1.67.19.1	565.0	753	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|ClaPMI390|2195016|MIX20204_122_12	1082.1	1385	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|ClaPMI390|2074277|fgenesh1_kg.8_#_437_#_Locus4773v2rpkm23.26	1354.5	799	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|ClaPMI390|2181319|MIX6507_1456_13	1643.7	1351	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|ClaPMI390|2117616|estExt_Genewise1.C_660025	1146.0	889	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|ClaPMI390|2228246|estExt_Genemark1.C_320034	408.4	710	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|ClaPMI390|2055156|e_gw1.16.141.1	829.9	703	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|ClaPMI390|2232587|estExt_Genemark1.C_1110007	790.1	602	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|ClaPMI390|2051724|e_gw1.5.456.1	434.7	544	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|ClaPMI390|2092861|fgenesh1_pg.2_#_26	1264.9	758	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|ClaPMI390|355545|CE355457_5269	958.8	877	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|ClaPMI390|2053338|e_gw1.9.25.1	847.2	666	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|ClaPMI390|170232|CE170144_2962	649.4	648	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
