# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Missing
771at4751	Complete	jgi|Pestal1|629815|estExt_Genemark1.C_120089	3107.2	2481	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Pestal1|597538|gm1.12378_g	3275.4	1825	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Pestal1|586222|gm1.1062_g	1781.1	1370	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Pestal1|583158|estExt_fgenesh1_pg.C_110112	1553.1	1672	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Pestal1|95434|CE95433_7303	2753.9	2165	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Pestal1|50378|CE50377_16710	3196.9	1884	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Pestal1|624182|estExt_Genemark1.C_4_t20241	744.0	979	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Pestal1|484784|estExt_Genewise1Plus.C_7_t10437	884.1	1028	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Pestal1|459812|e_gw1.2.391.1	1006.7	767	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Pestal1|624554|estExt_Genemark1.C_4_t30171	1190.5	888	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Pestal1|546705|estExt_Genewise1.C_1_t40076	846.2	881	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Pestal1|627629|estExt_Genemark1.C_7_t20225	2150.8	1471	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
