# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	jgi|Cadsp1|506279|estExt_Genewise1.C_3670006	2050.6	1464	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Cadsp1|464127|estExt_Genewise1Plus.C_730077	3193.5	2467	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Cadsp1|591015|gm1.11608_g	3287.1	1799	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Cadsp1|71203|CE71094_26830	1850.7	1360	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Cadsp1|657402|estExt_Genemark1.C_800015	1542.7	1704	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Cadsp1|497330|estExt_Genewise1.C_850049	2789.1	2218	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Fragmented	jgi|Cadsp1|1516|CE1407_17350	817.1	553	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Cadsp1|656138|estExt_Genemark1.C_570076	864.1	963	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Cadsp1|649942|estExt_Genemark1.C_80210	909.0	1149	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Cadsp1|428055|e_gw1.100.51.1	991.1	803	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Cadsp1|513083|fgenesh1_kg.20_#_123_#_Locus2686v1rpkm49.49	1210.4	886	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Cadsp1|418811|e_gw1.40.54.1	852.4	849	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Cadsp1|599794|gm1.20387_g	2165.0	1524	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Cadsp1|413428|e_gw1.23.175.1	1265.6	1303	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Cadsp1|303335|CE303226_2311	997.8	961	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Cadsp1|513401|fgenesh1_kg.22_#_125_#_Locus8789v2rpkm2.61	654.2	615	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Cadsp1|198550|CE198441_20048	2381.8	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Cadsp1|496512|estExt_Genewise1.C_780050	1640.6	1080	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
