# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Missing
771at4751	Complete	jgi|Truan1|224381|CE224380_16371	3106.3	2504	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Truan1|655232|gm1.2884_g	3284.5	1794	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Truan1|654453|gm1.2105_g	1779.3	1371	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Truan1|687214|estExt_Genemark1.C_1_t40163	1521.0	1699	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Truan1|567028|fgenesh1_kg.5_#_175_#_TRINITY_DN6163_c1_g1_i1	2712.2	2165	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Truan1|663780|gm1.11432_g	3202.5	1884	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Truan1|576199|fgenesh1_kg.7_#_1919_#_TRINITY_DN3162_c1_g1_i1	756.1	970	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Truan1|535743|fgenesh1_pg.4_#_488	875.3	1072	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Truan1|421111|CE421110_3753	1005.4	779	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Truan1|605194|estExt_Genewise1.C_4_t30087	1192.7	890	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Truan1|549008|fgenesh1_kg.1_#_5998_#_TRINITY_DN7016_c0_g1_i2	850.7	910	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Truan1|518105|e_gw1.4.1528.1	2149.9	1476	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Truan1|523657|e_gw1.8.826.1	1129.5	1290	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Truan1|623924|estExt_Genewise1Plus.C_4_t30209	920.5	916	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Truan1|514892|e_gw1.2.201.1	674.3	687	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Truan1|653624|gm1.1276_g	2298.6	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Truan1|549267|fgenesh1_kg.1_#_6257_#_TRINITY_DN5441_c0_g1_i1	1636.0	1098	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Truan1|74593|CE74592_7837	844.6	864	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Truan1|653325|gm1.977_g	1358.4	1254	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Truan1|520681|e_gw1.6.533.1	720.6	877	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Truan1|662581|gm1.10233_g	1245.8	1029	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Truan1|518455|e_gw1.4.1754.1	1458.6	992	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Truan1|620018|estExt_Genewise1Plus.C_2_t40244	412.5	502	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Truan1|509852|e_gw1.1.1569.1	1692.8	1267	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Truan1|544486|fgenesh1_kg.1_#_1476_#_TRINITY_DN1865_c0_g1_i1	655.9	831	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Truan1|599693|estExt_Genewise1.C_1_t70258	1496.1	1418	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Truan1|584496|fgenesh1_kg.10_#_2021_#_TRINITY_DN6569_c1_g1_i3	1435.1	835	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Missing
14523at4751	Complete	jgi|Truan1|513878|e_gw1.2.2374.1	1214.0	882	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Truan1|517239|e_gw1.4.1762.1	605.9	772	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Truan1|511451|e_gw1.1.2940.1	854.1	700	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Truan1|566351|fgenesh1_kg.4_#_3359_#_TRINITY_DN7538_c3_g1_i1	889.1	605	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Truan1|532878|fgenesh1_pg.2_#_1200	555.7	639	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Truan1|587902|fgenesh1_kg.13_#_465_#_TRINITY_DN713_c0_g1_i1	1261.7	761	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Truan1|393364|CE393363_16754	1252.5	937	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Truan1|508923|e_gw1.1.2506.1	875.8	671	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Truan1|545124|fgenesh1_kg.1_#_2114_#_TRINITY_DN839_c0_g1_i1	763.9	662	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Truan1|531900|fgenesh1_pg.2_#_222	1262.0	835	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Truan1|281771|CE281770_5459	282.7	460	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Truan1|595804|fgenesh1_pm.10_#_281	1747.7	1180	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Truan1|657768|gm1.5420_g	978.1	1029	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Truan1|535485|fgenesh1_pg.4_#_230	798.3	870	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
