# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Ampqui1|513702|fgenesh1_kg.3_#_299_#_Locus6540v1rpkm8.70	3197.1	3096	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Ampqui1|490341|estExt_Genewise1Plus.C_2_t10403	3028.8	2534	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Ampqui1|181241|CE181240_54634	3290.1	1791	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Ampqui1|511979|fgenesh1_kg.2_#_633_#_Locus5732v1rpkm14.81	1749.8	1377	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Ampqui1|548091|estExt_Genemark1.C_4_t10480	1582.8	1750	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Ampqui1|496866|estExt_Genewise1Plus.C_4_t30316	2743.0	2147	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Ampqui1|548353|estExt_Genemark1.C_4_t20275	3192.9	1883	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Ampqui1|549195|estExt_Genemark1.C_5_t10425	832.4	991	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Ampqui1|540730|gm1.6849_g	750.6	1192	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Ampqui1|455122|e_gw1.7.641.1	964.4	778	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Ampqui1|475769|estExt_Genewise1.C_4_t60172	1187.2	889	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Ampqui1|513157|fgenesh1_kg.2_#_1811_#_Locus4700v1rpkm25.17	840.0	874	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Ampqui1|465044|estExt_Genewise1.C_1_t30218	2101.5	1481	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Ampqui1|31466|CE31465_13254	1269.1	1348	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Ampqui1|584061|estExt_fgenesh1_pm.C_1_t10488	954.3	859	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Ampqui1|483329|estExt_Genewise1.C_9_t20483	656.9	682	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Ampqui1|508275|fgenesh1_kg.1_#_164_#_Locus9023v2rpkm0.00_PRE	2203.3	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Ampqui1|441886|e_gw1.2.221.1	1626.7	1086	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Ampqui1|562752|MIX1943_1198_15	826.0	894	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Ampqui1|436451|e_gw1.1.2959.1	1225.8	1164	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Ampqui1|487781|estExt_Genewise1Plus.C_1_t40214	596.4	710	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Ampqui1|80502|CE80501_22422	1240.0	1022	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Ampqui1|117542|CE117541_12152	1503.9	1047	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Ampqui1|551428|estExt_Genemark1.C_90284	403.2	530	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Ampqui1|521378|fgenesh1_kg.8_#_43_#_Locus4986v1rpkm22.26	1714.1	1305	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Ampqui1|481776|estExt_Genewise1.C_8_t20383	658.9	815	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Ampqui1|514979|fgenesh1_kg.3_#_1576_#_Locus5862v1rpkm13.56	1420.3	1387	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Ampqui1|363081|CE363080_29430	1427.7	822	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Ampqui1|515873|fgenesh1_kg.4_#_348_#_Locus3336v1rpkm44.62	1721.6	1334	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Ampqui1|489696|estExt_Genewise1Plus.C_1_t90064	1248.2	881	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Ampqui1|464742|estExt_Genewise1.C_1_t20384	574.0	772	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
