# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	jgi|XylPMI506|471546|fgenesh1_kg.13_#_888_#_TRINITY_DN12884_c0_g1_i1	199.7	106	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|XylPMI506|386798|e_gw1.14.211.1	3131.7	2482	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|XylPMI506|506630|gm1.2190_g	3284.0	1792	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|XylPMI506|440669|fgenesh1_pg.13_#_116	1796.2	1359	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|XylPMI506|190038|CE190037_8027	1588.0	1682	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|XylPMI506|518894|gm1.14454_g	2747.7	2158	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|XylPMI506|510759|gm1.6319_g	3202.5	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|XylPMI506|550269|estExt_Genemark1.C_8_t10078	767.2	980	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|XylPMI506|410597|estExt_Genewise1Plus.C_4_t10342	901.1	1054	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|XylPMI506|382672|e_gw1.9.718.1	1015.3	779	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|XylPMI506|229462|CE229461_18026	1009.1	791	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|XylPMI506|376125|e_gw1.1.1808.1	850.0	883	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|XylPMI506|547260|estExt_Genemark1.C_4_t10065	2150.7	1506	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|XylPMI506|269137|CE269136_14210	1134.2	1312	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|XylPMI506|378378|e_gw1.4.919.1	919.8	909	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|XylPMI506|430509|fgenesh1_pg.1_#_1858	718.5	661	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|XylPMI506|519662|gm1.15222_g	2298.7	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|XylPMI506|447204|fgenesh1_kg.1_#_2488_#_TRINITY_DN4715_c0_g1_i1	1649.6	1108	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|XylPMI506|386271|e_gw1.13.314.1	861.1	854	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|XylPMI506|377832|e_gw1.3.572.1	1344.5	1241	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|XylPMI506|510669|gm1.6229_g	734.0	892	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|XylPMI506|271242|CE271241_11930	1264.8	1034	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|XylPMI506|396844|estExt_Genewise1.C_6_t10252	1491.5	982	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|XylPMI506|393346|estExt_Genewise1.C_1_t40270	407.6	527	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|XylPMI506|516752|gm1.12312_g	1692.8	1267	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|XylPMI506|375742|e_gw1.1.860.1	677.8	849	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|XylPMI506|379986|e_gw1.6.627.1	1484.7	1461	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|XylPMI506|508640|gm1.4200_g	1432.5	803	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|XylPMI506|408815|estExt_Genewise1Plus.C_2_t10010	1748.8	1341	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|XylPMI506|431560|fgenesh1_pg.2_#_778	1232.6	879	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|XylPMI506|421382|estExt_Genewise1Plus.C_230112	601.1	771	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|XylPMI506|25419|CE25418_16849	853.2	721	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|XylPMI506|457185|fgenesh1_kg.4_#_2078_#_TRINITY_DN1447_c0_g2_i1	894.9	604	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|XylPMI506|394497|estExt_Genewise1.C_3_t10073	563.9	645	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Duplicated	jgi|XylPMI506|382526|e_gw1.9.954.1	1255.8	784	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20600at4751	Duplicated	jgi|XylPMI506|468733|fgenesh1_kg.11_#_622_#_TRINITY_DN16789_c0_g1_i1	1234.8	772	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|XylPMI506|381167|e_gw1.7.232.1	1258.2	935	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|XylPMI506|392485|estExt_Genewise1.C_1_t20312	880.1	665	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|XylPMI506|26465|CE26464_20195	768.2	669	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|XylPMI506|506905|gm1.2465_g	1260.9	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|XylPMI506|378874|e_gw1.4.763.1	287.3	464	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|XylPMI506|508305|gm1.3865_g	1749.2	1183	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|XylPMI506|434456|fgenesh1_pg.5_#_366	1002.2	1020	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
