# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Gloac1|1297213|gw1.66.116.1	2782.9	2265	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Gloac1|1374835|estExt_Genewise1.C_650203	3166.6	2527	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Gloac1|1355964|gm1.10728_g	3286.9	1800	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Gloac1|1355416|gm1.10180_g	1800.7	1355	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Gloac1|1470993|fgenesh1_kg.21_#_1467_#_Locus6290v1rpkm18.78	1600.9	1795	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Gloac1|1576611|fgenesh1_kg.140_#_278_#_Locus4047v1rpkm40.93	2796.6	2192	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Gloac1|1314305|e_gw1.28.325.1	3199.3	1881	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Gloac1|1553541|fgenesh1_kg.97_#_12_#_Locus10486v7rpkm0.00_PRE	865.1	973	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Gloac1|826183|CE825837_11786	879.5	1096	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Gloac1|1466684|fgenesh1_kg.19_#_82_#_Locus5983v1rpkm21.12	996.0	775	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Gloac1|1500411|fgenesh1_kg.44_#_479_#_Locus3933v1rpkm42.49	1189.6	883	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Gloac1|1538990|fgenesh1_kg.80_#_131_#_Locus4696v1rpkm32.65	819.2	797	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Gloac1|1348993|gm1.3757_g	2168.7	1528	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Gloac1|1323344|e_gw1.69.19.1	1255.2	1260	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Gloac1|1515197|fgenesh1_kg.56_#_511_#_Locus7761v1rpkm10.09	989.2	883	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Gloac1|1507422|fgenesh1_kg.50_#_771_#_Locus6077v1rpkm20.31	731.0	661	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Gloac1|1380653|estExt_Genewise1.C_1100026	2339.7	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Gloac1|1311730|e_gw1.20.73.1	1632.3	1062	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Gloac1|1309628|e_gw1.13.110.1	804.7	861	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Gloac1|896662|CE896316_10263	1368.2	1230	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Gloac1|1349011|gm1.3775_g	763.4	899	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Gloac1|697895|CE697549_23132	1249.9	1068	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Gloac1|1358317|gm1.13081_g	1475.4	983	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Gloac1|1347495|gm1.2259_g	390.7	521	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Gloac1|1350120|gm1.4884_g	1724.8	1281	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Gloac1|1433991|fgenesh1_kg.4_#_849_#_Locus3870v1rpkm43.35	701.0	821	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Gloac1|1494366|fgenesh1_kg.39_#_1193_#_Locus5089v1rpkm28.75	1517.8	1473	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Gloac1|1508608|fgenesh1_kg.51_#_700_#_Locus1788v1rpkm97.65	1434.0	816	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Gloac1|1497059|fgenesh1_kg.42_#_198_#_Locus4399v1rpkm36.29	1783.8	1303	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Gloac1|1352184|gm1.6948_g	1244.1	880	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Gloac1|1531902|fgenesh1_kg.71_#_373_#_Locus5114v1rpkm28.49	640.2	783	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Gloac1|1305047|e_gw1.2.138.1	869.9	734	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Gloac1|1401042|estExt_Genewise1Plus.C_620135	885.2	601	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Gloac1|1525377|fgenesh1_kg.64_#_1302_#_Locus5363v1rpkm26.23	559.2	636	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Gloac1|649656|CE649310_36065	1258.4	778	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Gloac1|1436354|fgenesh1_kg.5_#_910_#_Locus2665v1rpkm65.80	1268.9	933	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Gloac1|1661470|estExt_fgenesh1_pg.C_680037	905.3	669	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Gloac1|1548472|fgenesh1_kg.90_#_431_#_Locus4415v1rpkm36.12	765.5	670	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Gloac1|1643779|MIX28377_10226_28	1284.6	835	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Gloac1|1515204|fgenesh1_kg.56_#_518_#_Locus4689v1rpkm32.72	294.5	435	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Gloac1|1307547|e_gw1.7.260.1	1752.6	1175	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Gloac1|740422|CE740076_15296	975.6	940	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Gloac1|1494808|fgenesh1_kg.39_#_1635_#_Locus4390v1rpkm36.38	813.2	877	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Gloac1|1449082|fgenesh1_kg.10_#_363_#_Locus5709v1rpkm23.22	998.1	744	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Gloac1|1545144|fgenesh1_kg.86_#_629_#_Locus3434v1rpkm49.71	327.3	686	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Gloac1|1355756|gm1.10520_g	1513.0	945	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Gloac1|1529909|fgenesh1_kg.69_#_259_#_Locus4669v1rpkm32.99	524.7	645	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Gloac1|1423481|fgenesh1_pg.119_#_2	663.8	616	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Gloac1|1351851|gm1.6615_g	446.6	591	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Gloac1|1531894|fgenesh1_kg.71_#_365_#_Locus5780v1rpkm22.72	732.4	794	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Gloac1|1329619|e_gw1.118.58.1	869.3	686	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Gloac1|1326550|e_gw1.90.108.1	900.8	683	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Gloac1|655242|CE654896_10017	431.5	660	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Gloac1|1321637|e_gw1.60.114.1	828.2	757	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Gloac1|1324811|e_gw1.78.96.1	1084.4	877	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Gloac1|551193|CE550847_4057	433.0	499	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	jgi|Gloac1|1580421|fgenesh1_kg.152_#_113_#_Locus1033v2rpkm78.28	922.3	606	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	jgi|Gloac1|1543227|fgenesh1_kg.84_#_414_#_Locus5109v1rpkm28.51	877.9	515	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Gloac1|195578|CE195232_3436	267.3	463	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	jgi|Gloac1|1006879|CE1006533_7360	523.8	563	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	jgi|Gloac1|1647177|estExt_fgenesh1_pm.C_160047	745.4	583	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	jgi|Gloac1|1315574|e_gw1.33.222.1	415.9	499	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	jgi|Gloac1|1474547|fgenesh1_kg.24_#_770_#_Locus4644v1rpkm33.33	232.8	471	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Fragmented	jgi|Gloac1|1539228|fgenesh1_kg.80_#_369_#_Locus3251v1rpkm52.78	431.6	458	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	jgi|Gloac1|1314298|e_gw1.28.274.1	1041.1	741	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	jgi|Gloac1|1446901|fgenesh1_kg.9_#_1971_#_Locus5224v1rpkm27.47	1191.5	1085	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	jgi|Gloac1|1434431|fgenesh1_kg.4_#_1289_#_Locus7509v1rpkm11.31	882.0	888	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	jgi|Gloac1|1517677|fgenesh1_kg.58_#_1135_#_Locus5297v1rpkm26.82	989.3	772	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
