# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Amore1|270690|MIX2152_457_100	2548.1	1686	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Amore1|97250|e_gw1.3.1694.1	3182.7	2554	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Amore1|17350|gm1.2760_g	3297.5	1791	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Amore1|122899|estExt_Genewise1.C_7_t20353	1855.3	1367	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Amore1|122996|estExt_Genewise1.C_7_t20450	1675.5	1761	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Amore1|112057|estExt_Genewise1.C_1_t10424	2816.3	2134	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Amore1|68556|estExt_fgenesh1_pm.C_9_t10357	3229.1	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Amore1|61356|estExt_fgenesh1_pg.C_110186	888.2	966	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Amore1|19507|gm1.4917_g	904.1	1080	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Amore1|53068|fgenesh1_pm.10_#_298	999.1	766	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Amore1|46240|estExt_Genemark1.C_140270	1221.3	893	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Amore1|108142|e_gw1.11.685.1	862.4	879	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Amore1|110860|e_gw1.14.679.1	2169.6	1496	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Amore1|20557|gm1.5967_g	1325.5	1286	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Amore1|110687|e_gw1.14.573.1	1012.5	926	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Amore1|23261|gm1.8671_g	716.7	720	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Amore1|63236|estExt_fgenesh1_pm.C_1_t20173	2387.9	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Amore1|53608|fgenesh1_pm.11_#_311	1657.6	1068	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Amore1|127464|estExt_Genewise1.C_11_t20129	850.1	840	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Amore1|117264|estExt_Genewise1.C_3_t20421	1377.5	1257	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Amore1|45440|estExt_Genemark1.C_120118	748.8	904	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Amore1|101718|e_gw1.6.93.1	1281.9	1030	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Amore1|117443|estExt_Genewise1.C_3_t30115	1507.3	998	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Amore1|37775|fgenesh1_kg.13_#_193_#_Locus37916v1rpkm3.56	437.4	526	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Amore1|122146|estExt_Genewise1.C_7_t10066	1760.2	1272	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Amore1|203511|CE54408_5128	715.4	858	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Amore1|145631|estExt_Genewise1Plus.C_11_t10084	1526.1	1450	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Amore1|38786|estExt_Genemark1.C_1_t20222	1440.6	804	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Amore1|98893|e_gw1.4.1619.1	1784.8	1341	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Amore1|100258|e_gw1.5.1530.1	1260.7	879	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Amore1|45569|estExt_Genemark1.C_120262	624.2	790	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Amore1|51285|fgenesh1_pm.7_#_164	886.6	681	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Amore1|143644|estExt_Genewise1Plus.C_9_t10352	885.5	598	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Amore1|66211|estExt_fgenesh1_pm.C_5_t10228	570.0	626	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Amore1|51754|fgenesh1_pm.8_#_57	1320.1	775	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Amore1|121159|estExt_Genewise1.C_6_t10194	1272.6	933	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Amore1|135003|estExt_Genewise1Plus.C_2_t40361	896.5	638	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Amore1|36727|fgenesh1_kg.10_#_69_#_Locus38562v1rpkm3.43	769.2	670	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Amore1|65589|estExt_fgenesh1_pm.C_4_t10244	1305.5	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Amore1|62229|estExt_fgenesh1_pg.C_140028	287.2	457	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Amore1|131674|estExt_Genewise1Plus.C_1_t30335	1776.9	1177	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Amore1|92744|e_gw1.1.2113.1	1048.2	1035	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Amore1|94188|e_gw1.1.2208.1	852.1	877	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Amore1|22737|gm1.8147_g	993.4	743	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Amore1|27226|fgenesh1_pg.4_#_583	337.9	595	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Amore1|142072|estExt_Genewise1Plus.C_7_t30315	1440.7	939	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Amore1|49793|fgenesh1_pm.4_#_500	526.6	668	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Amore1|145830|estExt_Genewise1Plus.C_11_t10287	690.4	621	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Amore1|145429|estExt_Genewise1Plus.C_10_t20488	439.5	1114	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Amore1|184822|CE35719_1651	823.4	776	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Amore1|57609|estExt_fgenesh1_pg.C_4_t10109	868.5	668	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Amore1|107687|e_gw1.10.961.1	898.8	689	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Amore1|38408|estExt_Genemark1.C_1_t10312	450.3	724	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
