# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Diaam1|727|rna735	2920.1	2886	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Diaam1|5995|rna6003	3057.3	2570	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Diaam1|9054|rna9084	3156.1	1780	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Diaam1|2934|rna2924	1736.2	1341	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Diaam1|3840|rna3848	1512.7	1797	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Diaam1|7448|rna7413	2740.2	2134	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Diaam1|7233|rna7241	3179.0	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Diaam1|3116|rna3124	749.7	999	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Diaam1|2941|rna2931	824.4	1014	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Diaam1|1441|rna1450	991.1	819	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Diaam1|3614|rna3622	1012.1	896	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Diaam1|5768|rna5776	790.1	832	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Diaam1|539|rna547	2145.1	1514	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Diaam1|9211|rna9187	1122.8	1238	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	jgi|Diaam1|10603|rna10611	760.8	530	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Diaam1|5622|rna5630	629.4	688	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Diaam1|3823|rna3831	2354.6	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Diaam1|1914|rna1922	1631.3	1064	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Diaam1|6237|rna6245	688.5	773	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Complete	jgi|Diaam1|6212|rna6220	722.1	863	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Diaam1|673|rna674	1146.7	982	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Diaam1|10206|rna10215	1469.4	995	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Fragmented	jgi|Diaam1|5509|rna5517	209.5	244	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Diaam1|3596|rna3604	1700.4	1280	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Diaam1|3572|rna3580	669.7	793	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Diaam1|716|rna724	1223.6	1250	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Diaam1|458|rna466	1415.1	838	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Diaam1|7664|rna7669	1655.7	1279	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Diaam1|9021|rna9051	1230.9	880	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Missing
14986at4751	Complete	jgi|Diaam1|9880|rna9891	832.8	710	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Diaam1|7986|rna7994	875.1	620	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Diaam1|5448|rna5456	503.8	633	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Diaam1|4372|rna4380	1279.5	761	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Diaam1|661|rna662	1256.1	932	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Diaam1|1376|rna1384	884.9	680	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Diaam1|3348|rna3356	739.6	656	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Diaam1|7146|rna7154	1274.2	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Diaam1|10601|rna10609	275.4	464	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Diaam1|7074|rna7082	1749.2	1194	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Diaam1|1575|rna1583	954.6	1051	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Diaam1|9506|rna9535	759.8	871	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Diaam1|3455|rna3463	990.4	749	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Diaam1|7226|rna7234	309.8	574	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Diaam1|8636|rna8743	1517.0	954	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Diaam1|1493|rna1501	399.0	442	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Diaam1|1860|rna1868	640.1	613	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
