# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Stano2|6906|SNOG_13890.3	3237.1	2940	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Stano2|4131|SNOG_10936.3	2995.4	2574	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Fragmented	jgi|Stano2|4948|SNOG_01477.3	1477.3	843	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Stano2|5377|SNOG_11855.3	1734.1	1358	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Stano2|9473|SNOG_15860.3	1593.5	1749	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Stano2|9144|SNOG_03050.3	2649.5	2095	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Stano2|370|SNOG_00450.3	3099.3	1884	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Stano2|2834|SNOG_09211.3	802.2	939	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Stano2|7337|SNOG_02203.3	583.7	1104	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Stano2|293|SNOG_00356.3	935.0	794	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Stano2|1737|SNOG_07784.3	1196.6	890	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Stano2|2320|SNOG_08515.3	846.5	865	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Stano2|5448|SNOG_11951.3	2115.8	1504	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Stano2|1938|SNOG_08035.3	1262.2	1335	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	jgi|Stano2|9403|SNOG_15760.3	805.0	533	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Stano2|10780|SNOG_04573.3	660.2	679	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Stano2|10035|SNOG_03507.3	1957.8	1319	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Stano2|2457|SNOG_08700.3	1626.3	1062	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Stano2|2170|SNOG_08330.3	827.3	869	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Stano2|5532|SNOG_12056.3	1224.0	1155	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Stano2|9438|SNOG_15803.3	588.8	704	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Stano2|5807|SNOG_12428.3	1214.9	1035	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Stano2|4078|SNOG_10851.3	1518.5	1048	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Stano2|10813|SNOG_04622.3	404.2	535	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Stano2|11891|SNOG_06061.3	1548.7	1234	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Stano2|5896|SNOG_12568.3	645.7	801	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Stano2|5100|SNOG_01680.3	1375.0	1349	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Stano2|10525|SNOG_04245.3	1335.9	798	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Stano2|8224|SNOG_14953.3	1660.4	1298	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Stano2|11181|SNOG_05103.3	1248.0	881	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Stano2|5568|SNOG_12102.3	584.5	788	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Stano2|6922|SNOG_13911.3	797.1	681	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Stano2|3818|SNOG_10490.3	826.5	567	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Stano2|1053|SNOG_06893.3	481.9	618	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Stano2|2075|SNOG_08221.3	1312.3	785	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Stano2|6374|SNOG_13186.3	1262.7	955	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Stano2|12111|SNOG_06355.3	867.8	696	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Stano2|2264|SNOG_08452.3	749.2	686	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Stano2|5367|SNOG_11841.3	1272.9	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Stano2|5487|SNOG_12006.3	275.8	436	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Stano2|10108|SNOG_03601.3	1733.6	1183	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Stano2|11572|SNOG_05653.3	894.6	1007	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Stano2|6088|SNOG_12802.3	798.5	873	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Stano2|9163|SNOG_03076.3	923.3	736	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Stano2|2764|SNOG_09115.3	297.5	705	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Stano2|9173|SNOG_03089.3	1457.2	968	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Stano2|12070|SNOG_06299.3	496.1	463	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Stano2|5094|SNOG_01674.3	649.5	603	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Stano2|6089|SNOG_12803.3	327.7	525	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Stano2|9394|SNOG_15750.3	748.4	807	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Stano2|7483|SNOG_02397.3	840.5	674	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Stano2|2265|SNOG_08454.3	796.0	632	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Stano2|11121|SNOG_05015.3	302.5	586	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Stano2|11787|SNOG_05928.3	797.7	761	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Stano2|11288|SNOG_05247.3	917.0	828	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Stano2|2659|SNOG_08977.3	411.6	651	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Fragmented	jgi|Stano2|10961|SNOG_04804.3	444.3	361	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	jgi|Stano2|4346|SNOG_11221.3	827.8	502	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Stano2|475|SNOG_00597.3	288.6	505	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	jgi|Stano2|2826|SNOG_09202.3	414.3	479	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	jgi|Stano2|10204|SNOG_03725.3	690.1	625	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	jgi|Stano2|5789|SNOG_12402.3	335.8	411	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	jgi|Stano2|10419|SNOG_04094.3	332.1	556	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	jgi|Stano2|6726|SNOG_13668.3	459.6	523	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	jgi|Stano2|3414|SNOG_09958.3	1031.7	782	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	jgi|Stano2|10783|SNOG_04576.3	1094.9	1009	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	jgi|Stano2|2449|SNOG_08690.3	658.8	800	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	jgi|Stano2|4973|SNOG_01512.3	956.5	785	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Complete	jgi|Stano2|11853|SNOG_06014.3	325.1	429	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	jgi|Stano2|7290|SNOG_02139.3	789.4	660	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	jgi|Stano2|1641|SNOG_07648.3	1148.9	828	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	jgi|Stano2|9614|SNOG_16055.3	641.2	490	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	jgi|Stano2|9137|SNOG_03043.3	829.8	606	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Missing
50835at4751	Complete	jgi|Stano2|10881|SNOG_04704.3	925.2	735	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Missing
52909at4751	Complete	jgi|Stano2|7000|SNOG_14016.3	841.5	661	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	jgi|Stano2|9130|SNOG_03036.3	951.8	820	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	jgi|Stano2|652|SNOG_00817.3	893.1	713	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	jgi|Stano2|4175|SNOG_10992.3	478.4	430	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	jgi|Stano2|11443|SNOG_05467.3	420.3	461	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Complete	jgi|Stano2|2765|SNOG_09116.3	328.5	414	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	jgi|Stano2|8331|SNOG_15084.3	951.7	766	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	jgi|Stano2|10649|SNOG_04397.3	1014.1	698	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	jgi|Stano2|5851|SNOG_12489.3	339.0	595	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	jgi|Stano2|218|SNOG_00271.3	799.5	670	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	jgi|Stano2|998|SNOG_06829.3	321.2	390	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	jgi|Stano2|2763|SNOG_09114.3	669.1	629	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Complete	jgi|Stano2|6575|SNOG_13465.3	316.3	445	https://www.orthodb.org/v10?query=61857at4751	Exocyst complex protein EXO70
62846at4751	Complete	jgi|Stano2|1761|SNOG_07811.3	415.1	461	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	jgi|Stano2|2009|SNOG_08132.3	947.3	710	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Complete	jgi|Stano2|2305|SNOG_08498.3	369.9	447	https://www.orthodb.org/v10?query=63838at4751	AP complex subunit beta
64002at4751	Complete	jgi|Stano2|5668|SNOG_12230.3	618.9	705	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Complete	jgi|Stano2|10260|SNOG_03801.3	839.6	522	https://www.orthodb.org/v10?query=64498at4751	glucosamine-fructose-6-phosphate aminotransferase
65334at4751	Complete	jgi|Stano2|9421|SNOG_15782.3	584.1	487	https://www.orthodb.org/v10?query=65334at4751	WD40-repeat-containing domain
65499at4751	Complete	jgi|Stano2|5297|SNOG_11749.3	722.5	533	https://www.orthodb.org/v10?query=65499at4751	AP-1 complex subunit gamma
66151at4751	Complete	jgi|Stano2|1148|SNOG_07014.3	589.6	574	https://www.orthodb.org/v10?query=66151at4751	Tetratricopeptide repeat
67284at4751	Complete	jgi|Stano2|5159|SNOG_01761.3	347.6	506	https://www.orthodb.org/v10?query=67284at4751	WD40-repeat-containing domain
67399at4751	Complete	jgi|Stano2|12054|SNOG_06281.3	555.4	459	https://www.orthodb.org/v10?query=67399at4751	Glutamine-dependent NAD(+) synthetase
67806at4751	Complete	jgi|Stano2|7255|SNOG_02098.3	414.3	447	https://www.orthodb.org/v10?query=67806at4751	actin-like ATPase domain-containing protein
68466at4751	Complete	jgi|Stano2|821|SNOG_01031.3	1037.8	829	https://www.orthodb.org/v10?query=68466at4751	FACT complex subunit SPT16
68881at4751	Complete	jgi|Stano2|2180|SNOG_08340.3	206.6	304	https://www.orthodb.org/v10?query=68881at4751	WD40-repeat-containing domain
71039at4751	Complete	jgi|Stano2|10629|SNOG_04376.3	1049.7	736	https://www.orthodb.org/v10?query=71039at4751	RNA cytidine acetyltransferase
