# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|ConPMI546|924839|fgenesh1_kg.3_#_314_#_Locus7665v1rpkm4.74	3231.0	2940	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|ConPMI546|477086|CE476859_8402	3117.3	2531	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|ConPMI546|879265|e_gw1.6.55.1	3290.3	1814	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|ConPMI546|470023|CE469796_18372	1819.4	1359	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|ConPMI546|772338|CE772111_5105	1597.7	1732	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|ConPMI546|904199|estExt_Genewise1.C_190090	2765.3	2094	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|ConPMI546|875074|e_gw1.3.166.1	3200.5	1881	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|ConPMI546|926317|fgenesh1_kg.4_#_682_#_Locus7086v1rpkm6.24	850.2	984	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|ConPMI546|463048|CE462821_5633	845.5	1054	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|ConPMI546|878353|e_gw1.5.585.1	993.2	767	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|ConPMI546|946212|fgenesh1_pm.8_#_124	1103.2	892	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|ConPMI546|923076|fgenesh1_kg.1_#_1251_#_Locus5425v1rpkm13.52	827.3	875	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|ConPMI546|980707|estExt_Genemark1.C_90248	2163.2	1499	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|ConPMI546|971800|gm1.8706_g	1185.2	1317	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|ConPMI546|902605|estExt_Genewise1.C_140372	970.3	917	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|ConPMI546|928892|fgenesh1_kg.7_#_418_#_Locus8550v1rpkm3.18	611.2	701	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|ConPMI546|773107|CE772880_34191	2287.9	1404	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|ConPMI546|922643|fgenesh1_kg.1_#_818_#_Locus7201v1rpkm5.88	1632.8	1061	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|ConPMI546|925599|fgenesh1_kg.3_#_1074_#_Locus8857v2rpkm2.36	839.2	869	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|ConPMI546|943356|fgenesh1_pm.2_#_297	1354.8	1251	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|ConPMI546|930182|fgenesh1_kg.9_#_19_#_Locus6606v2rpkm6.39	721.8	857	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|ConPMI546|987227|MIX4255_840_9	1254.3	1049	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|ConPMI546|929431|fgenesh1_kg.8_#_84_#_Locus4405v1rpkm21.07	1461.2	987	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|ConPMI546|734588|CE734361_2773	424.3	534	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|ConPMI546|922876|fgenesh1_kg.1_#_1051_#_Locus5746v1rpkm11.72	1693.1	1283	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|ConPMI546|908245|estExt_Genewise1Plus.C_2_t30194	680.0	814	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|ConPMI546|956923|estExt_fgenesh1_pg.C_3_t10267	1491.3	1416	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|ConPMI546|892617|estExt_Genewise1.C_3_t10167	1350.9	809	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|ConPMI546|879205|e_gw1.6.624.1	1748.0	1266	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|ConPMI546|879519|e_gw1.6.878.1	1235.0	878	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
