# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Talst1_2|3398|TSTA_049490	3149.5	2912	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Talst1_2|12056|TSTA_115550	3178.5	2496	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Talst1_2|2806|TSTA_043900	3290.1	1789	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Talst1_2|9257|TSTA_032850	1858.2	1344	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Talst1_2|7825|TSTA_093170	1657.1	1756	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Talst1_2|7579|TSTA_090640	2714.4	2157	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Talst1_2|10890|TSTA_016690	3232.3	1886	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Talst1_2|12498|TSTA_119620	860.0	924	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Talst1_2|6861|TSTA_083390	797.0	1080	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Talst1_2|9401|TSTA_034160	1025.9	771	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Talst1_2|8824|TSTA_028810	1140.3	813	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Talst1_2|5186|TSTA_067050	832.3	864	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Talst1_2|9527|TSTA_035290	2153.0	1557	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Talst1_2|8764|TSTA_028280	1362.4	1320	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Talst1_2|1944|TSTA_102850	972.3	909	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Talst1_2|10445|TSTA_012550	737.1	721	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Talst1_2|3127|TSTA_046930	2377.9	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Talst1_2|575|TSTA_055440	1638.5	1083	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Talst1_2|9749|TSTA_037440	841.2	890	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Talst1_2|5451|TSTA_069480	1256.6	1274	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Talst1_2|4107|TSTA_004410	743.1	847	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Talst1_2|7747|TSTA_092350	1240.3	1110	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Talst1_2|12050|TSTA_115500	1535.1	990	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Talst1_2|10313|TSTA_011240	411.6	493	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Talst1_2|3472|TSTA_050260	1751.4	1308	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
