# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Zalva1|674653|MIX11099_3020_100	3384.6	3025	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Zalva1|189181|CE188952_11332	3183.4	2524	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Zalva1|657084|gm1.11106_g	3293.5	1791	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Zalva1|577700|fgenesh1_kg.3_#_1390_#_TRINITY_DN4240_c0_g1_i1	1861.0	1364	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Zalva1|587427|fgenesh1_kg.9_#_774_#_TRINITY_DN9271_c0_g1_i1	1679.8	1743	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Zalva1|511488|estExt_Genewise1.C_11_t20237	2792.8	2177	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Zalva1|503380|estExt_Genewise1.C_4_t30167	3220.7	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Zalva1|573192|fgenesh1_kg.1_#_1430_#_TRINITY_DN6531_c0_g1_i2	867.2	976	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Zalva1|502112|estExt_Genewise1.C_3_t30420	899.3	1173	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Zalva1|475464|e_gw1.7.681.1	996.2	768	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Zalva1|623111|estExt_fgenesh1_pm.C_2_t10166	1207.0	881	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Zalva1|495377|e_gw1.42.22.1	852.3	847	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Zalva1|498953|estExt_Genewise1.C_2_t10061	2168.1	1515	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Zalva1|651110|gm1.5132_g	1301.4	1310	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Zalva1|498976|estExt_Genewise1.C_2_t10084	1005.5	939	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Zalva1|119394|CE119165_2851	697.1	721	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Zalva1|705350|estExt_Genemark1.C_260083	2380.0	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Zalva1|585955|fgenesh1_kg.8_#_661_#_TRINITY_DN9693_c0_g3_i2	1646.6	1061	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Zalva1|8453|CE8224_10264	859.1	840	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Zalva1|370833|CE370604_10184	1379.3	1239	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Zalva1|583881|fgenesh1_kg.7_#_231_#_TRINITY_DN7232_c0_g3_i1	702.7	881	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Zalva1|581021|fgenesh1_kg.5_#_1016_#_TRINITY_DN7160_c0_g1_i1	1275.3	1047	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Zalva1|490480|e_gw1.25.441.1	1474.4	947	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Zalva1|117071|CE116842_5919	422.4	521	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Zalva1|508358|estExt_Genewise1.C_8_t20179	1758.8	1303	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Zalva1|541468|estExt_Genewise1Plus.C_12_t20110	667.3	790	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Zalva1|693991|estExt_Genemark1.C_1_t20224	1514.2	1439	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Zalva1|596339|fgenesh1_kg.16_#_992_#_TRINITY_DN2615_c0_g1_i1	1442.0	826	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Zalva1|505205|estExt_Genewise1.C_5_t40059	1782.8	1334	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Zalva1|499142|estExt_Genewise1.C_2_t10256	1260.1	878	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Zalva1|698347|estExt_Genemark1.C_7_t10461	634.7	799	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Zalva1|356031|CE355802_9841	848.7	692	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Zalva1|579645|fgenesh1_kg.4_#_1488_#_TRINITY_DN6140_c1_g1_i1	887.5	604	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Zalva1|534947|estExt_Genewise1Plus.C_6_t20260	576.4	633	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Zalva1|29016|CE28787_12947	1314.2	763	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Zalva1|298213|CE297984_18254	1268.0	931	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Zalva1|705568|estExt_Genemark1.C_270119	899.7	670	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Zalva1|287528|CE287299_4817	767.9	679	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Zalva1|504751|estExt_Genewise1.C_5_t30082	1303.6	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Zalva1|123284|CE123055_8631	294.6	518	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Zalva1|87503|CE87274_14859	1775.7	1169	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Zalva1|638400|estExt_fgenesh1_pg.C_11_t10358	1009.1	1045	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Zalva1|237957|CE237728_6980	843.3	880	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Zalva1|536014|estExt_Genewise1Plus.C_7_t10454	1000.3	744	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Zalva1|229066|CE228837_7329	327.6	597	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Zalva1|605190|fgenesh1_kg.28_#_84_#_TRINITY_DN10230_c0_g13_i2	1506.7	944	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Zalva1|533759|estExt_Genewise1Plus.C_5_t30029	523.7	577	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Zalva1|572354|fgenesh1_kg.1_#_592_#_TRINITY_DN13202_c0_g1_i1	673.9	631	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Zalva1|619746|fgenesh1_pm.20_#_60	399.9	557	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Zalva1|344648|CE344419_3289	764.1	792	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Zalva1|180809|CE180580_11372	855.3	671	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Zalva1|496213|e_gw1.48.98.1	897.0	682	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Zalva1|539892|estExt_Genewise1Plus.C_11_t10108	426.6	728	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Zalva1|563442|fgenesh1_pg.12_#_447	831.9	760	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Zalva1|511675|estExt_Genewise1.C_11_t20434	1054.9	866	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Zalva1|591044|fgenesh1_kg.12_#_303_#_TRINITY_DN6339_c0_g1_i1	448.2	613	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	jgi|Zalva1|662348|gm1.16370_g	938.9	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	jgi|Zalva1|607881|fgenesh1_kg.34_#_74_#_TRINITY_DN10031_c0_g11_i1	878.8	499	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Zalva1|702497|estExt_Genemark1.C_160245	251.4	435	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	jgi|Zalva1|612482|fgenesh1_pm.1_#_194	495.6	502	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	jgi|Zalva1|59265|CE59036_16538	742.9	620	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	jgi|Zalva1|580246|fgenesh1_kg.5_#_241_#_TRINITY_DN8354_c0_g1_i1	414.0	483	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	jgi|Zalva1|656911|gm1.10933_g	155.0	452	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	jgi|Zalva1|52573|CE52344_12727	620.5	641	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	jgi|Zalva1|260474|CE260245_11112	1053.5	763	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	jgi|Zalva1|119997|CE119768_6097	1198.5	1068	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	jgi|Zalva1|585902|fgenesh1_kg.8_#_608_#_TRINITY_DN6361_c0_g1_i4	889.9	921	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	jgi|Zalva1|573256|fgenesh1_kg.1_#_1494_#_TRINITY_DN11299_c0_g2_i1	959.0	729	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Complete	jgi|Zalva1|585709|fgenesh1_kg.8_#_415_#_TRINITY_DN8457_c1_g1_i1	336.2	449	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	jgi|Zalva1|497909|estExt_Genewise1.C_1_t20317	827.6	649	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	jgi|Zalva1|499527|estExt_Genewise1.C_2_t20176	1245.5	852	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	jgi|Zalva1|684499|MIX20945_11776_31	577.8	438	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	jgi|Zalva1|615904|fgenesh1_pm.7_#_282	805.8	598	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	jgi|Zalva1|515469|estExt_Genewise1.C_16_t10251	586.7	495	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	jgi|Zalva1|487440|e_gw1.19.396.1	968.6	655	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	jgi|Zalva1|579617|fgenesh1_kg.4_#_1460_#_TRINITY_DN4855_c0_g2_i2	562.5	434	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	jgi|Zalva1|698964|estExt_Genemark1.C_8_t10487	857.0	655	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	jgi|Zalva1|536024|estExt_Genewise1Plus.C_7_t10464	981.2	910	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	jgi|Zalva1|701624|estExt_Genemark1.C_140187	911.3	677	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	jgi|Zalva1|492032|e_gw1.29.67.1	481.8	462	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	jgi|Zalva1|589750|fgenesh1_kg.11_#_356_#_TRINITY_DN18484_c0_g1_i1	444.3	454	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Complete	jgi|Zalva1|693937|estExt_Genemark1.C_1_t20161	446.4	630	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	jgi|Zalva1|474699|e_gw1.6.231.1	1086.5	766	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	jgi|Zalva1|561552|fgenesh1_pg.9_#_194	1039.4	679	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	jgi|Zalva1|303783|CE303554_23564	317.7	596	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	jgi|Zalva1|698462|estExt_Genemark1.C_7_t20097	885.3	721	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	jgi|Zalva1|581282|fgenesh1_kg.5_#_1277_#_TRINITY_DN6888_c0_g2_i2	329.7	409	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	jgi|Zalva1|465772|e_gw1.1.287.1	685.5	632	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Complete	jgi|Zalva1|481678|e_gw1.12.317.1	340.5	456	https://www.orthodb.org/v10?query=61857at4751	Exocyst complex protein EXO70
62846at4751	Complete	jgi|Zalva1|467182|e_gw1.2.2154.1	425.8	449	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	jgi|Zalva1|639407|estExt_fgenesh1_pg.C_130379	933.9	718	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Complete	jgi|Zalva1|652321|gm1.6343_g	393.5	424	https://www.orthodb.org/v10?query=63838at4751	AP complex subunit beta
64002at4751	Complete	jgi|Zalva1|278640|CE278411_4383	579.4	553	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Complete	jgi|Zalva1|363409|CE363180_35245	858.2	540	https://www.orthodb.org/v10?query=64498at4751	glucosamine-fructose-6-phosphate aminotransferase
65334at4751	Complete	jgi|Zalva1|601989|fgenesh1_kg.22_#_602_#_TRINITY_DN7922_c0_g2_i4	598.3	502	https://www.orthodb.org/v10?query=65334at4751	WD40-repeat-containing domain
65499at4751	Complete	jgi|Zalva1|704542|estExt_Genemark1.C_220186	712.6	527	https://www.orthodb.org/v10?query=65499at4751	AP-1 complex subunit gamma
66151at4751	Complete	jgi|Zalva1|447608|gw1.37.144.1	611.6	570	https://www.orthodb.org/v10?query=66151at4751	Tetratricopeptide repeat
67284at4751	Complete	jgi|Zalva1|598150|fgenesh1_kg.18_#_778_#_TRINITY_DN9507_c0_g2_i1	402.1	511	https://www.orthodb.org/v10?query=67284at4751	WD40-repeat-containing domain
67399at4751	Complete	jgi|Zalva1|590670|fgenesh1_kg.11_#_1276_#_TRINITY_DN6106_c0_g1_i2	615.9	491	https://www.orthodb.org/v10?query=67399at4751	Glutamine-dependent NAD(+) synthetase
67806at4751	Complete	jgi|Zalva1|702095|estExt_Genemark1.C_150243	425.7	428	https://www.orthodb.org/v10?query=67806at4751	actin-like ATPase domain-containing protein
68466at4751	Complete	jgi|Zalva1|630038|estExt_fgenesh1_pm.C_260125	1112.2	814	https://www.orthodb.org/v10?query=68466at4751	FACT complex subunit SPT16
68881at4751	Complete	jgi|Zalva1|707024|estExt_Genemark1.C_360099	246.5	392	https://www.orthodb.org/v10?query=68881at4751	WD40-repeat-containing domain
71039at4751	Complete	jgi|Zalva1|517774|estExt_Genewise1.C_19_t10325	1067.8	707	https://www.orthodb.org/v10?query=71039at4751	RNA cytidine acetyltransferase
71046at4751	Complete	jgi|Zalva1|635484|estExt_fgenesh1_pg.C_6_t10088	898.3	668	https://www.orthodb.org/v10?query=71046at4751	Vacuolar protein sorting-associated protein 35
73383at4751	Complete	jgi|Zalva1|509451|estExt_Genewise1.C_9_t20121	637.0	572	https://www.orthodb.org/v10?query=73383at4751	DNA topoisomerase I
73477at4751	Complete	jgi|Zalva1|683583|MIX20029_12160_80	621.8	399	https://www.orthodb.org/v10?query=73477at4751	Vacuolar protein 8
73771at4751	Complete	jgi|Zalva1|637335|estExt_fgenesh1_pg.C_9_t10195	810.5	596	https://www.orthodb.org/v10?query=73771at4751	WD40-repeat-containing domain
