# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Morel2|73962|Morel1.e_gw1.26.74.1	2416.4	1665	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Morel2|17675|Morel1.gm1.5374_g	2787.6	2532	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Morel2|132072|Morel1.fgenesh1_kg.1_#_238_#_Locus1613v1rpkm140.28	3079.9	1782	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Morel2|14547|Morel1.gm1.2246_g	1664.4	1323	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Morel2|92534|Morel1.estExt_Genewise1.C_200213	1485.3	1749	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Morel2|141704|Morel1.fgenesh1_kg.74_#_12_#_Locus4144v2rpkm13.32	2291.0	1905	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Morel2|15018|Morel1.gm1.2717_g	3090.8	1886	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Morel2|719971|Morel1.CE559718_8084	712.0	946	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Morel2|30719|Morel1.estExt_Genemark1.C_180021	652.4	1170	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Morel2|98090|Morel1.estExt_Genewise1.C_520025	948.1	812	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Morel2|152384|Morel1.estExt_fgenesh1_pg.C_70109	1143.2	916	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Morel2|65580|Morel1.e_gw1.2.441.1	678.2	735	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Morel2|99287|Morel1.estExt_Genewise1.C_620075	1967.6	1519	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Morel2|146717|Morel1.fgenesh1_pm.58_#_19	1187.4	1190	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	jgi|Morel2|79683|Morel1.e_gw1.58.60.1	620.5	574	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Morel2|714281|Morel1.CE554028_7414	643.6	694	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	jgi|Morel2|23899|Morel1.gm1.11598_g	2254.9	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	jgi|Morel2|78484|Morel1.e_gw1.50.66.1	2249.6	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Morel2|24508|Morel1.gm1.12207_g	1400.4	989	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Morel2|84993|Morel1.e_gw1.150.11.1	679.0	702	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Morel2|27060|Morel1.estExt_Genemark1.C_10155	952.4	1155	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Morel2|104657|Morel1.estExt_Genewise1Plus.C_40242	444.1	862	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Morel2|136248|Morel1.fgenesh1_kg.19_#_44_#_Locus4063v1rpkm48.35	1069.0	1097	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Morel2|21473|Morel1.gm1.9172_g	1476.8	991	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Morel2|1058157|CE57902_4037	339.0	501	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Complete	jgi|Morel2|25387|Morel1.gm1.13086_g	534.3	751	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
