# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Ilysp1|1830563|estExt_Genewise1Plus.C_1_t50470	3329.5	3168	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Ilysp1|1655652|fgenesh1_kg.9_#_4676_#_Locus5574v1rpkm23.98	3157.8	2492	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Ilysp1|1083335|CE1083128_27782	3240.8	1780	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Ilysp1|1518539|fgenesh1_pg.1_#_1105	1819.2	1354	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Ilysp1|1800347|estExt_Genewise1.C_1_t30484	1633.7	1696	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Ilysp1|1571814|fgenesh1_kg.2_#_9809_#_Locus3595v1rpkm46.60	2753.0	2112	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Ilysp1|1614770|fgenesh1_kg.5_#_4479_#_Locus2767v1rpkm64.35	3186.6	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Ilysp1|1654711|fgenesh1_kg.9_#_3735_#_Locus4302v1rpkm36.20	856.1	959	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Ilysp1|1556753|fgenesh1_kg.1_#_21939_#_Locus3006v1rpkm57.94	882.0	1068	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Ilysp1|1676896|fgenesh1_kg.13_#_2881_#_Locus4559v1rpkm33.59	1007.3	772	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Ilysp1|1559051|fgenesh1_kg.1_#_24237_#_Locus1371v1rpkm127.97	1159.2	890	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Ilysp1|1537020|fgenesh1_kg.1_#_2206_#_Locus5267v1rpkm26.66	809.2	872	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Ilysp1|1600819|fgenesh1_kg.4_#_3032_#_Locus8175v1rpkm8.64	2173.3	1495	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Ilysp1|1817330|estExt_Genewise1.C_10_t10406	1311.6	1319	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Ilysp1|1722688|gm1.4965_g	978.2	966	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Ilysp1|907071|CE906864_10005	712.0	727	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Ilysp1|1577171|fgenesh1_kg.2_#_15166_#_Locus1553v1rpkm114.36	2332.4	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Ilysp1|1464374|e_gw1.1.2753.1	1632.3	1059	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Ilysp1|1723848|gm1.6125_g	827.4	862	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Ilysp1|121804|CE121597_8539	1311.8	1181	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Ilysp1|1605262|fgenesh1_kg.4_#_7475_#_Locus7401v1rpkm12.11	732.5	898	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Ilysp1|1025778|CE1025571_25996	1265.6	1061	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Ilysp1|1638241|fgenesh1_kg.7_#_5633_#_Locus1902v1rpkm95.55	1472.6	980	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Ilysp1|902827|CE902620_10589	375.4	508	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Ilysp1|1463217|e_gw1.1.564.1	1724.2	1278	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Ilysp1|1466721|e_gw1.2.2423.1	718.5	824	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Ilysp1|1518434|fgenesh1_pg.1_#_1000	1515.6	1396	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Ilysp1|1539926|fgenesh1_kg.1_#_5112_#_Locus859v1rpkm192.33	1436.1	846	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Ilysp1|1477143|e_gw1.6.802.1	1792.2	1287	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
