# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Sepsp1|697719|estExt_Genewise1.C_190030	2022.6	1602	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Sepsp1|706829|estExt_Genewise1Plus.C_60124	2115.3	2256	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Sepsp1|723329|fgenesh1_kg.22_#_98_#_Locus4104v1rpkm50.60	3165.8	1789	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Sepsp1|684947|e_gw1.26.143.1	1441.1	1255	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Missing
4466at4751	Complete	jgi|Sepsp1|738965|estExt_fgenesh1_pm.C_160010	2125.6	1900	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Sepsp1|786287|estExt_Genemark1.C_1_t10326	3066.3	1886	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Sepsp1|719014|fgenesh1_kg.5_#_214_#_Locus6664v1rpkm23.47	557.9	830	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Sepsp1|694817|estExt_Genewise1.C_90358	439.1	1010	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Sepsp1|738872|estExt_fgenesh1_pm.C_140067	798.0	815	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Sepsp1|675942|e_gw1.1.969.1	1181.9	911	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Sepsp1|736177|fgenesh1_pm.22_#_39	720.1	741	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Sepsp1|690008|estExt_Genewise1.C_1_t10078	1956.5	1426	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Sepsp1|748532|gm1.2479_g	1030.4	1257	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Sepsp1|720370|fgenesh1_kg.9_#_218_#_Locus3377v2rpkm17.40	568.3	713	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Sepsp1|698125|estExt_Genewise1.C_200222	620.2	725	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Sepsp1|786851|estExt_Genemark1.C_20349	2296.6	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Sepsp1|792187|estExt_Genemark1.C_310070	1367.0	971	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Sepsp1|738526|estExt_fgenesh1_pm.C_100044	662.7	795	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Sepsp1|737514|estExt_fgenesh1_pm.C_20037	960.2	1077	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Sepsp1|791544|estExt_Genemark1.C_250116	481.0	714	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Sepsp1|687286|e_gw1.40.30.1	981.4	1040	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Sepsp1|367214|CE367154_13103	1419.4	994	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Sepsp1|753989|gm1.7936_g	258.8	460	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Sepsp1|699625|estExt_Genewise1.C_280060	1647.1	1263	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Sepsp1|790440|estExt_Genemark1.C_180007	506.4	759	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Sepsp1|708389|estExt_Genewise1Plus.C_100064	1077.2	1394	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Sepsp1|718362|fgenesh1_kg.3_#_369_#_Locus8108v1rpkm15.30	1368.9	800	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Sepsp1|712234|estExt_Genewise1Plus.C_240031	1623.1	1328	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Sepsp1|715164|estExt_Genewise1Plus.C_450004	1100.6	883	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Sepsp1|698937|estExt_Genewise1.C_240130	486.2	802	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Sepsp1|637052|CE636992_7757	743.4	614	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Sepsp1|750246|gm1.4193_g	753.5	655	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Sepsp1|691914|estExt_Genewise1.C_3_t10346	459.5	516	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Sepsp1|697844|estExt_Genewise1.C_190163	1218.9	762	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Sepsp1|786434|estExt_Genemark1.C_1_t10487	1107.6	942	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Sepsp1|694499|estExt_Genewise1.C_80469	855.7	661	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Sepsp1|740136|estExt_fgenesh1_pm.C_460019	521.3	614	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Sepsp1|789386|estExt_Genemark1.C_120102	1197.0	826	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Sepsp1|713334|estExt_Genewise1Plus.C_300005	188.8	419	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Sepsp1|691218|estExt_Genewise1.C_2_t10390	1592.8	1154	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Sepsp1|719342|fgenesh1_kg.6_#_200_#_Locus5514v1rpkm32.75	803.9	965	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Sepsp1|703557|estExt_Genewise1Plus.C_1_t10144	671.5	873	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Sepsp1|702919|estExt_Genewise1.C_640043	856.3	732	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Sepsp1|792389|estExt_Genemark1.C_330053	214.5	458	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Sepsp1|738079|estExt_fgenesh1_pm.C_60002	1418.1	963	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Sepsp1|699420|estExt_Genewise1.C_260187	464.2	442	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Sepsp1|726054|fgenesh1_kg.42_#_54_#_Locus5661v1rpkm31.44	585.7	617	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Sepsp1|740805|estExt_fgenesh1_pg.C_20062	246.4	453	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Sepsp1|695910|estExt_Genewise1.C_130021	462.7	684	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Duplicated	jgi|Sepsp1|696850|estExt_Genewise1.C_150324	764.1	672	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
32164at4751	Duplicated	jgi|Sepsp1|694879|estExt_Genewise1.C_90426	749.4	672	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Sepsp1|740262|estExt_fgenesh1_pm.C_570005	804.5	656	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Sepsp1|711604|estExt_Genewise1Plus.C_210073	309.7	650	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Sepsp1|788934|estExt_Genemark1.C_100040	679.7	724	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Sepsp1|158629|CE158569_10303	807.2	841	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Sepsp1|710658|estExt_Genewise1Plus.C_170083	362.3	574	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	jgi|Sepsp1|748403|gm1.2350_g	843.6	606	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	jgi|Sepsp1|717732|fgenesh1_kg.2_#_289_#_Locus7904v1rpkm16.30	861.3	516	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Sepsp1|719922|fgenesh1_kg.8_#_101_#_Locus11414v1rpkm4.88	233.1	298	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	jgi|Sepsp1|725112|fgenesh1_kg.33_#_63_#_Locus6071v1rpkm27.95	326.8	483	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	jgi|Sepsp1|727133|fgenesh1_kg.61_#_17_#_Locus7676v1rpkm17.46	553.6	541	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	jgi|Sepsp1|498755|CE498695_5094	374.1	496	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	jgi|Sepsp1|700249|estExt_Genewise1.C_310174	275.4	567	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	jgi|Sepsp1|705577|estExt_Genewise1Plus.C_3_t20042	519.6	594	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	jgi|Sepsp1|710366|estExt_Genewise1Plus.C_160098	999.6	744	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	jgi|Sepsp1|745123|estExt_fgenesh1_pg.C_390035	762.4	974	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	jgi|Sepsp1|202636|CE202576_3102	650.4	823	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	jgi|Sepsp1|728455|fgenesh1_pg.3_#_20	747.4	754	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Complete	jgi|Sepsp1|736891|fgenesh1_pm.42_#_17	340.9	385	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	jgi|Sepsp1|713660|estExt_Genewise1Plus.C_320037	759.4	725	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	jgi|Sepsp1|725534|fgenesh1_kg.37_#_14_#_Locus4049v1rpkm51.58	1143.7	826	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	jgi|Sepsp1|679717|e_gw1.8.232.1	537.5	489	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	jgi|Sepsp1|722073|fgenesh1_kg.16_#_102_#_Locus8105v3rpkm1.45_PRE	745.5	607	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	jgi|Sepsp1|727107|fgenesh1_kg.60_#_11_#_Locus2362v1rpkm96.87	544.7	500	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	jgi|Sepsp1|738658|estExt_fgenesh1_pm.C_120019	926.0	649	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	jgi|Sepsp1|706971|estExt_Genewise1Plus.C_60266	540.2	448	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	jgi|Sepsp1|716821|fgenesh1_kg.1_#_85_#_Locus4223v1rpkm48.49	742.1	653	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	jgi|Sepsp1|762846|MIX7692_3853_10	744.7	741	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	jgi|Sepsp1|692577|estExt_Genewise1.C_4_t10371	847.3	722	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	jgi|Sepsp1|790888|estExt_Genemark1.C_210010	467.3	404	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	jgi|Sepsp1|555629|CE555569_2452	256.1	370	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Complete	jgi|Sepsp1|521557|CE521497_6643	330.6	554	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	jgi|Sepsp1|717519|fgenesh1_kg.2_#_76_#_Locus3189v1rpkm69.40	1006.1	763	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	jgi|Sepsp1|702586|estExt_Genewise1.C_560031	976.8	673	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	jgi|Sepsp1|681245|e_gw1.12.119.1	190.4	598	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	jgi|Sepsp1|743058|estExt_fgenesh1_pg.C_140076	839.4	684	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	jgi|Sepsp1|705705|estExt_Genewise1Plus.C_4_t10013	242.2	348	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	jgi|Sepsp1|720702|fgenesh1_kg.11_#_19_#_Locus8895v1rpkm11.93	469.5	616	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Complete	jgi|Sepsp1|723722|fgenesh1_kg.24_#_119_#_Locus10884v1rpkm5.97	161.2	369	https://www.orthodb.org/v10?query=61857at4751	Exocyst complex protein EXO70
62846at4751	Complete	jgi|Sepsp1|737315|estExt_fgenesh1_pm.C_10072	318.9	363	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	jgi|Sepsp1|719311|fgenesh1_kg.6_#_169_#_Locus6761v1rpkm22.84	882.8	714	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
