# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|ThoPMI491_1|682750|estExt_Genewise1.C_13_t10433	3193.8	3028	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|ThoPMI491_1|847408|estExt_Genemark1.C_680012	3052.7	2495	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|ThoPMI491_1|261750|CE261656_26122	3249.3	1793	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|ThoPMI491_1|226292|CE226198_7734	1815.9	1348	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|ThoPMI491_1|138802|CE138708_2885	1578.4	1699	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|ThoPMI491_1|844030|estExt_Genemark1.C_370099	2746.7	2086	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|ThoPMI491_1|833794|gm1.19233_g	3182.4	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|ThoPMI491_1|817895|gm1.3334_g	786.3	1020	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|ThoPMI491_1|720956|estExt_Genewise1Plus.C_24_t10031	788.4	1072	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|ThoPMI491_1|354132|CE354038_1830	994.3	769	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|ThoPMI491_1|790584|estExt_fgenesh1_pm.C_30138	1160.4	872	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|ThoPMI491_1|672088|e_gw1.111.35.1	801.2	909	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|ThoPMI491_1|871543|MIX21246_1146_50	2140.3	1464	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|ThoPMI491_1|387401|CE387307_5787	1267.9	1353	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|ThoPMI491_1|796571|estExt_fgenesh1_pm.C_410039	950.1	840	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|ThoPMI491_1|873656|MIX23359_698_99	653.4	676	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|ThoPMI491_1|138687|CE138593_13076	2336.8	1409	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|ThoPMI491_1|743817|fgenesh1_kg.11_#_69_#_Locus11936v1rpkm2.20	1635.3	1059	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|ThoPMI491_1|21605|CE21511_1667	838.3	810	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|ThoPMI491_1|688238|estExt_Genewise1.C_24_t10402	1359.0	1246	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|ThoPMI491_1|809835|estExt_fgenesh1_pg.C_440136	685.9	886	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|ThoPMI491_1|655863|e_gw1.38.250.1	1258.2	1054	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Duplicated	jgi|ThoPMI491_1|649094|e_gw1.23.361.1	1453.3	984	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12258at4751	Duplicated	jgi|ThoPMI491_1|840474|estExt_Genemark1.C_170145	1451.7	992	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|ThoPMI491_1|846739|estExt_Genemark1.C_600052	420.4	528	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|ThoPMI491_1|849972|estExt_Genemark1.C_1230009	1721.3	1272	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|ThoPMI491_1|545421|CE545327_3414	644.3	816	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|ThoPMI491_1|744415|fgenesh1_kg.13_#_160_#_Locus9821v1rpkm3.56	1273.2	1104	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|ThoPMI491_1|785845|fgenesh1_pm.51_#_64	1404.7	807	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|ThoPMI491_1|823549|gm1.8988_g	1703.9	1299	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|ThoPMI491_1|315281|CE315187_7562	1233.8	880	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|ThoPMI491_1|657233|e_gw1.41.232.1	629.9	786	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|ThoPMI491_1|729091|estExt_Genewise1Plus.C_490197	843.4	743	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|ThoPMI491_1|222064|CE221970_4344	884.8	605	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|ThoPMI491_1|723291|estExt_Genewise1Plus.C_300289	550.4	641	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|ThoPMI491_1|672353|e_gw1.113.64.1	1271.1	765	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|ThoPMI491_1|827072|gm1.12511_g	1272.9	933	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|ThoPMI491_1|770668|fgenesh1_pg.53_#_21	876.1	665	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|ThoPMI491_1|380052|CE379958_2812	756.9	683	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|ThoPMI491_1|746142|fgenesh1_kg.19_#_66_#_Locus1276v1rpkm98.84	1283.2	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|ThoPMI491_1|726959|estExt_Genewise1Plus.C_410155	296.2	432	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|ThoPMI491_1|823339|gm1.8778_g	1761.3	1198	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|ThoPMI491_1|432|CE338_2893	997.0	1014	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|ThoPMI491_1|804705|estExt_fgenesh1_pg.C_130215	783.1	876	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|ThoPMI491_1|845640|estExt_Genemark1.C_490151	994.1	805	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|ThoPMI491_1|74417|CE74323_3127	334.5	605	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|ThoPMI491_1|846324|estExt_Genemark1.C_550083	1504.1	954	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|ThoPMI491_1|697394|estExt_Genewise1.C_540071	496.4	505	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|ThoPMI491_1|667730|e_gw1.80.96.1	616.8	594	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|ThoPMI491_1|765727|fgenesh1_pg.24_#_144	414.5	642	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|ThoPMI491_1|658210|e_gw1.44.81.1	697.1	788	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
