# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	jgi|Botci1|12410|BC1T_09273	2356.4	1473	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Botci1|2513|BC1T_13732	3122.8	2474	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Botci1|2912|BC1T_14168	3166.8	1746	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Missing
4409at4751	Complete	jgi|Botci1|8879|BC1T_06670	1510.0	1627	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Botci1|9415|BC1T_07045	2789.8	2102	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Fragmented	jgi|Botci1|9102|BC1T_06754	1494.3	883	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Botci1|8742|BC1T_06542	784.9	912	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Botci1|4320|BC1T_03759	878.6	1169	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Botci1|1139|BC1T_12846	982.5	757	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Botci1|1835|BC1T_13197	1214.5	877	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	jgi|Botci1|14063|BC1T_10334	2168.5	1495	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Botci1|698|BC1T_03405	1152.0	1211	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Botci1|14056|BC1T_10327	985.0	906	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Botci1|14949|BC1T_10841	678.5	702	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Botci1|6777|BC1T_16097	2293.9	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Botci1|12331|BC1T_08712	1650.4	1060	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Botci1|7959|BC1T_06198	734.5	733	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Complete	jgi|Botci1|4520|BC1T_15247	740.2	886	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Botci1|5044|BC1T_04327	1167.9	970	https://www.orthodb.org/v10?query=11879at4751	HECT domain
