# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|MarPMI226|420413|gm1.1856_g	3325.0	3192	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|MarPMI226|235392|CE235140_15785	3167.7	2603	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|MarPMI226|427537|gm1.8980_g	3284.3	1826	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|MarPMI226|400404|fgenesh1_pg.2_#_435	1826.0	1351	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|MarPMI226|501929|estExt_Genewise1.C_2_t40003	1641.1	1688	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|MarPMI226|223532|CE223280_21303	2740.7	2089	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|MarPMI226|394168|fgenesh1_kg.12_#_725_#_TRINITY_DN8023_c0_g1_i1	3172.4	1885	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|MarPMI226|508948|estExt_Genewise1.C_6_t20220	837.2	935	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|MarPMI226|374344|fgenesh1_kg.2_#_980_#_TRINITY_DN7403_c0_g1_i1	882.4	1081	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|MarPMI226|412168|fgenesh1_pm.3_#_118	1008.6	778	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|MarPMI226|419036|gm1.479_g	1202.1	864	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|MarPMI226|395891|fgenesh1_kg.14_#_646_#_TRINITY_DN4566_c0_g2_i1	812.2	907	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|MarPMI226|17079|CE16827_3646	2163.9	1502	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
