# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Phlfa1|689586|e_gw1.30.157.1	2064.4	1594	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Fragmented	jgi|Phlfa1|703411|estExt_Genewise1.C_370120	976.8	1422	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Phlfa1|817824|MIX11967_41197_99	2988.0	1770	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Phlfa1|701039|estExt_Genewise1.C_220254	1430.9	1141	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Phlfa1|319218|CE318989_12967	1057.0	1573	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Phlfa1|168513|CE168284_18389	1971.1	1680	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Phlfa1|326178|CE325949_28337	3099.6	1900	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Phlfa1|794943|gm1.4261_g	558.0	863	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Fragmented	jgi|Phlfa1|530568|CE530339_11643	278.6	684	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Phlfa1|522487|CE522258_11052	693.5	748	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Phlfa1|709133|estExt_Genewise1Plus.C_70226	1132.9	873	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Phlfa1|767042|fgenesh1_kg.53_#_186_#_TRINITY_DN7252_c0_g2_i2	675.6	815	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Phlfa1|739354|fgenesh1_kg.7_#_1016_#_TRINITY_DN1893_c0_g3_i1	1914.0	1395	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Phlfa1|686900|e_gw1.19.104.1	885.4	1246	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Phlfa1|705127|estExt_Genewise1.C_540039	484.1	831	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Phlfa1|713480|estExt_Genewise1Plus.C_260040	561.5	644	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Phlfa1|604728|CE604499_40173	2274.1	1409	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Phlfa1|564762|CE564533_62299	1389.6	932	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Phlfa1|757415|fgenesh1_kg.30_#_110_#_TRINITY_DN5141_c0_g1_i3	670.2	775	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Phlfa1|754876|fgenesh1_kg.26_#_20_#_TRINITY_DN1824_c0_g1_i2	972.7	1134	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Phlfa1|852406|estExt_Genemark1.C_280068	443.4	729	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Phlfa1|686039|e_gw1.16.209.1	961.2	1013	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Phlfa1|238269|CE238040_14658	1250.3	982	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Phlfa1|287347|CE287118_11905	224.0	404	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Phlfa1|730518|fgenesh1_kg.1_#_383_#_TRINITY_DN2726_c0_g1_i3	1662.8	1257	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Phlfa1|750153|fgenesh1_kg.19_#_430_#_TRINITY_DN1267_c0_g1_i2	459.9	759	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Phlfa1|192456|CE192227_9144	1057.4	1234	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Phlfa1|801904|gm1.11222_g	1350.1	805	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Phlfa1|687767|e_gw1.23.30.1	1519.8	1342	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Phlfa1|147348|CE147119_20550	1115.8	887	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Phlfa1|527238|CE527009_12967	413.4	735	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Phlfa1|688026|e_gw1.23.149.1	740.7	641	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Phlfa1|752111|fgenesh1_kg.22_#_115_#_TRINITY_DN6788_c1_g1_i3	792.8	642	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Phlfa1|727310|fgenesh1_pg.44_#_67	418.6	502	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Phlfa1|168054|CE167825_26651	1146.0	704	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Phlfa1|684554|e_gw1.10.277.1	1085.9	887	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Phlfa1|782347|estExt_fgenesh1_pg.C_130115	848.3	649	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Phlfa1|695426|estExt_Genewise1.C_3_t10119	658.7	660	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Phlfa1|755688|fgenesh1_kg.27_#_268_#_TRINITY_DN976_c0_g2_i1	1215.9	832	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Phlfa1|736913|fgenesh1_kg.5_#_883_#_TRINITY_DN431_c9_g1_i2	246.4	429	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Phlfa1|595229|CE595000_10311	1597.1	1170	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Phlfa1|210981|CE210752_15245	772.5	927	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Phlfa1|550000|CE549771_3605	624.3	834	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Phlfa1|795701|gm1.5019_g	841.5	734	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Phlfa1|725030|fgenesh1_pg.27_#_146	200.3	575	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Phlfa1|801972|gm1.11290_g	1309.3	943	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Phlfa1|833905|MIX28048_2802_23	439.3	460	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
