# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Ophpic1|2580|rna2332	3066.9	3210	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Ophpic1|6359|rna6111	2787.0	2509	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Ophpic1|2558|rna2310	3258.8	1782	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Ophpic1|4000|rna3752	1786.4	1346	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Ophpic1|4761|rna4513	1267.0	1654	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Ophpic1|2776|rna2528	2690.8	2078	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Ophpic1|9071|rna8823	3063.1	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Ophpic1|9043|rna8795	773.1	919	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Ophpic1|4019|rna3771	758.0	1110	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Ophpic1|3344|rna3096	968.0	766	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Ophpic1|1362|rna1114	1140.2	891	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Ophpic1|1167|rna919	788.0	874	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Ophpic1|6006|rna5758	2123.2	1439	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Ophpic1|7816|rna7568	1109.3	1329	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Ophpic1|8675|rna8427	917.4	920	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Ophpic1|694|rna446	655.4	689	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Ophpic1|4736|rna4488	2275.4	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Ophpic1|1135|rna887	1620.4	1068	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Ophpic1|1396|rna1148	818.2	803	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Ophpic1|6556|rna6308	1262.8	1167	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Ophpic1|7630|rna7382	562.3	837	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Ophpic1|8338|rna8090	1208.7	987	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Ophpic1|5449|rna5201	1438.1	977	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Ophpic1|4218|rna3970	424.7	519	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Ophpic1|1324|rna1076	1580.5	1199	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Ophpic1|4773|rna4525	663.3	775	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Ophpic1|2000|rna1752	1381.1	1402	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Ophpic1|5883|rna5635	1428.8	798	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Ophpic1|3615|rna3367	1734.9	1372	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Ophpic1|8124|rna7876	1220.4	878	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Ophpic1|7868|rna7620	581.1	777	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
