# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	jgi|Lorju1|403396|gw1.12.707.1	2045.9	1496	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Lorju1|591781|estExt_Genemark1.C_140031	3197.5	2502	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Lorju1|525142|fgenesh1_pm.21_#_92	3282.3	1791	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Lorju1|274251|CE274147_15280	1857.6	1362	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Lorju1|590401|estExt_Genemark1.C_11_t10090	1615.2	1740	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Lorju1|179004|CE178900_7689	2773.0	2231	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Lorju1|590025|estExt_Genemark1.C_10_t10301	3228.9	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Lorju1|429024|e_gw1.6.548.1	858.8	961	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Lorju1|587007|estExt_Genemark1.C_5_t10336	821.7	1146	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Lorju1|468956|estExt_Genewise1.C_230102	998.9	779	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Lorju1|588186|estExt_Genemark1.C_7_t10287	1212.4	899	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Lorju1|458314|estExt_Genewise1.C_8_t30171	862.3	872	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Lorju1|594597|estExt_Genemark1.C_240090	2162.3	1551	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Lorju1|252234|CE252130_12419	1221.4	1315	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Lorju1|440429|e_gw1.15.390.1	981.5	895	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
