# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Oidma1|151081|estExt_Genewise1Plus.C_1_t30332	2510.2	1665	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Oidma1|200906|estExt_Genewise1.C_9_t10458	3178.3	2535	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Oidma1|56149|gm1.9404_g	3289.8	1789	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Oidma1|184263|estExt_Genemark1.C_190268	1839.0	1356	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Oidma1|101661|estExt_fgenesh1_pm.C_3_t10212	1642.1	1771	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Oidma1|176810|estExt_Genemark1.C_2_t30178	2759.5	2080	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Oidma1|52283|gm1.5538_g	3222.2	1881	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Oidma1|171921|estExt_Genewise1Plus.C_19_t10268	880.1	990	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Oidma1|101016|estExt_fgenesh1_pm.C_2_t10469	888.9	1095	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Oidma1|111788|e_gw1.1.3773.1	1006.9	773	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Oidma1|160182|estExt_Genewise1Plus.C_5_t10346	1173.3	888	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Oidma1|164544|estExt_Genewise1Plus.C_8_t10255	864.6	840	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Oidma1|145299|estExt_fgenesh1_pg.C_7_t10272	2155.0	1511	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Oidma1|121792|e_gw1.6.1134.1	1237.9	1233	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Oidma1|163240|estExt_Genewise1Plus.C_7_t20073	996.5	934	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Oidma1|86983|gw1.12.820.1	712.1	720	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Oidma1|159161|estExt_Genewise1Plus.C_4_t30342	2299.7	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Oidma1|145821|estExt_fgenesh1_pg.C_8_t10157	1647.3	1065	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Oidma1|134687|e_gw1.19.455.1	739.1	763	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Oidma1|177267|estExt_Genemark1.C_3_t10451	1342.5	1239	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Oidma1|179778|estExt_Genemark1.C_7_t10033	706.3	920	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Oidma1|163610|estExt_Genewise1Plus.C_7_t20467	1267.4	1043	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Oidma1|200853|estExt_Genewise1.C_9_t10399	1488.8	993	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Oidma1|147518|estExt_fgenesh1_pg.C_12_t10310	399.9	521	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Oidma1|165284|estExt_Genewise1Plus.C_8_t30029	1758.5	1296	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Oidma1|152361|estExt_Genewise1Plus.C_1_t60189	700.9	820	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Oidma1|183500|estExt_Genemark1.C_160107	1512.0	1447	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Oidma1|116870|e_gw1.4.551.1	1427.9	824	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Oidma1|164056|estExt_Genewise1Plus.C_7_t30435	1757.5	1339	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Oidma1|114266|e_gw1.2.1056.1	1085.2	758	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Oidma1|145181|estExt_fgenesh1_pg.C_7_t10147	625.9	791	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Oidma1|125328|e_gw1.8.1402.1	862.4	751	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Oidma1|101937|estExt_fgenesh1_pm.C_3_t10497	889.5	600	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Oidma1|103289|estExt_fgenesh1_pm.C_6_t10294	559.9	627	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Oidma1|187319|estExt_Genewise1.C_1_t60099	1315.7	791	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Oidma1|198631|estExt_Genewise1.C_7_t20482	1264.5	938	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Oidma1|188276|estExt_Genewise1.C_1_t80187	890.3	662	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Oidma1|186806|estExt_Genewise1.C_1_t50042	735.2	643	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Oidma1|180348|estExt_Genemark1.C_7_t20143	1299.9	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Oidma1|198386|estExt_Genewise1.C_7_t20217	275.0	491	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Oidma1|158968|estExt_Genewise1Plus.C_4_t30138	1763.5	1180	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
