# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Hesve2finisherSC|253143|Hesve1.e_gw1.3.747.1	2456.1	1601	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Hesve2finisherSC|1302862|estExt_Genewise1.C_8_t10342	2749.3	2477	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Hesve2finisherSC|1411926|estExt_Genemark1.C_670007	3082.5	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Hesve2finisherSC|355594|Hesve1.estExt_fgenesh1_pm.C_600004	1604.8	1407	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Hesve2finisherSC|1314304|estExt_Genewise1Plus.C_1_t10241	1353.0	1849	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Hesve2finisherSC|1411412|estExt_Genemark1.C_480021	2115.3	1780	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Hesve2finisherSC|1409752|estExt_Genemark1.C_270146	3134.6	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Hesve2finisherSC|1338604|fgenesh1_kg.28_#_117_#_Locus7337v1rpkm10.25	697.8	930	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Hesve2finisherSC|1322591|estExt_Genewise1Plus.C_150124	620.3	1314	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Hesve2finisherSC|1319251|estExt_Genewise1Plus.C_7_t20089	933.2	784	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Hesve2finisherSC|1377610|gm1.8382_g	1156.6	919	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Hesve2finisherSC|1362068|fgenesh1_pm.6_#_148	665.7	674	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Hesve2finisherSC|1300138|estExt_Genewise1.C_4_t10135	1972.0	1427	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Hesve2finisherSC|1361641|fgenesh1_pm.4_#_92	1121.7	1160	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Hesve2finisherSC|1340495|fgenesh1_kg.48_#_14_#_Locus5641v1rpkm20.29	586.9	850	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Hesve2finisherSC|1350324|fgenesh1_pg.64_#_6	637.3	666	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	jgi|Hesve2finisherSC|329116|Hesve1.gm1.7830_g	2117.5	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	jgi|Hesve2finisherSC|1123199|CE123095_21558	2042.5	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Hesve2finisherSC|1307071|estExt_Genewise1.C_180341	1397.7	1204	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Hesve2finisherSC|1298786|estExt_Genewise1.C_2_t10455	702.4	847	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Hesve2finisherSC|1314363|estExt_Genewise1Plus.C_1_t10308	877.8	1068	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Hesve2finisherSC|1411813|estExt_Genemark1.C_590021	469.7	880	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Duplicated	jgi|Hesve2finisherSC|1403131|estExt_Genemark1.C_1_t10022	922.6	1033	https://www.orthodb.org/v10?query=11879at4751	HECT domain
11879at4751	Duplicated	jgi|Hesve2finisherSC|1339152|fgenesh1_kg.33_#_22_#_Locus8606v1rpkm5.28	871.3	1002	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Hesve2finisherSC|1410683|estExt_Genemark1.C_370054	1484.3	1009	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Hesve2finisherSC|1300497|estExt_Genewise1.C_4_t20059	300.7	529	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Hesve2finisherSC|1323948|estExt_Genewise1Plus.C_190136	1530.8	1257	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
