# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Leptod1|343811|estExt_Genewise1.C_1120018	3371.6	3028	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Leptod1|527026|estExt_Genemark1.C_1250020	3177.7	2471	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Leptod1|77959|CE77958_8902	3289.2	1796	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Leptod1|58961|CE58960_3436	1850.8	1358	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Leptod1|520085|estExt_Genemark1.C_150002	1537.1	1687	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Leptod1|517868|estExt_Genemark1.C_30264	2808.0	2208	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Leptod1|523018|estExt_Genemark1.C_410026	3225.2	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Leptod1|298573|e_gw1.43.101.1	834.8	956	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Leptod1|518415|estExt_Genemark1.C_50098	902.4	1122	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Leptod1|312685|e_gw1.161.41.1	994.4	768	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Leptod1|356726|estExt_Genewise1Plus.C_130015	1219.5	886	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Leptod1|422939|fgenesh1_pm.19_#_123	860.6	849	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Leptod1|528860|estExt_Genemark1.C_2670013	2169.2	1546	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Leptod1|40511|CE40510_3148	1263.3	1340	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Leptod1|524847|estExt_Genemark1.C_680021	997.1	914	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Leptod1|383202|fgenesh1_kg.14_#_165_#_Locus3499v2rpkm0.96_PRE	664.0	614	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Leptod1|521134|estExt_Genemark1.C_220115	2380.0	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Leptod1|330949|estExt_Genewise1.C_190142	1644.3	1065	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Leptod1|364255|estExt_Genewise1Plus.C_430075	858.1	850	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
