# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|DiaPMI573_1|686101|MIX28727_4262_74	3239.6	3181	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|DiaPMI573_1|675722|MIX18348_12064_92	3055.6	2559	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|DiaPMI573_1|408230|e_gw1.6.136.1	3228.8	1825	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|DiaPMI573_1|158089|CE158088_8525	1801.0	1335	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|DiaPMI573_1|443845|estExt_Genewise1.C_1_t20464	1515.0	1739	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|DiaPMI573_1|402735|e_gw1.2.581.1	2763.1	2158	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|DiaPMI573_1|637562|gm1.2479_g	3177.4	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|DiaPMI573_1|628754|estExt_fgenesh1_pm.C_120223	777.7	998	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|DiaPMI573_1|568249|fgenesh1_kg.36_#_491_#_TRINITY_DN14645_c2_g13_i1	876.4	1109	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|DiaPMI573_1|226630|CE226629_12853	991.2	808	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|DiaPMI573_1|207519|CE207518_8792	1099.0	880	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|DiaPMI573_1|207342|CE207341_8424	796.8	882	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|DiaPMI573_1|714612|estExt_Genemark1.C_160290	2141.3	1491	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|DiaPMI573_1|677475|MIX20101_4275_100	1123.4	1236	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|DiaPMI573_1|711334|estExt_Genemark1.C_7_t10281	919.1	881	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|DiaPMI573_1|604924|fgenesh1_pm.19_#_215	623.8	679	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|DiaPMI573_1|4276|CE4275_16617	2336.5	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|DiaPMI573_1|212674|CE212673_17420	1622.0	1063	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|DiaPMI573_1|173278|CE173277_3022	801.7	849	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|DiaPMI573_1|702242|MIX44868_6188_86	1341.2	1203	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|DiaPMI573_1|649545|gm1.14462_g	730.3	859	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|DiaPMI573_1|545763|fgenesh1_kg.8_#_1181_#_TRINITY_DN13594_c0_g2_i2	1203.3	1054	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|DiaPMI573_1|102719|CE102718_4720	1475.2	998	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|DiaPMI573_1|52567|CE52566_4728	394.8	494	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
