# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Calmar1|583347|estExt_fgenesh1_pm.C_2350009	3212.2	3122	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Calmar1|545065|gm1.7422_g	3052.1	2592	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Calmar1|542663|gm1.5020_g	3269.3	1793	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Calmar1|502831|fgenesh1_kg.124_#_89_#_TRINITY_DN7378_c0_g2_i2	1772.3	1362	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Calmar1|456165|estExt_Genewise1Plus.C_630033	1319.6	1661	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Fragmented	jgi|Calmar1|465409|estExt_Genewise1Plus.C_3900010	2307.1	1443	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Calmar1|565946|estExt_Genemark1.C_660018	3182.3	1883	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Calmar1|538729|gm1.1086_g	835.6	957	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Calmar1|298694|CE298507_2118	828.9	1136	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Calmar1|145593|CE145406_8450	974.8	763	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Calmar1|4980|CE4793_12013	1202.3	889	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Calmar1|333812|CE333625_4588	804.0	899	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Calmar1|554292|MIX6917_1283_98	2149.7	1497	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Calmar1|556835|MIX9460_14_10	1135.8	1238	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Calmar1|18204|CE18017_2967	989.8	952	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Calmar1|558438|MIX11063_1275_36	605.3	712	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Calmar1|508669|fgenesh1_kg.206_#_3_#_TRINITY_DN3653_c0_g2_i1	2300.9	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Calmar1|496810|fgenesh1_kg.64_#_30_#_TRINITY_DN5776_c0_g1_i1	1623.9	1076	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Calmar1|544158|gm1.6515_g	837.2	837	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Calmar1|266193|CE266006_6940	1327.3	1237	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Calmar1|154077|CE153890_8739	688.8	901	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Calmar1|495186|fgenesh1_kg.52_#_5_#_TRINITY_DN5219_c0_g2_i1	1222.7	1021	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Calmar1|569638|estExt_Genemark1.C_3550006	1444.5	1005	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
