portal_id,Genome,portal_link,DMAT,HYBRID,NRPS,NRPS-Like,PKS,PKS-Like,TC,Total
Aaoar1,Aaosphaeria arxii CBS 175.79 v1.0,https://mycocosm.jgi.doe.gov/Aaoar1,2,0,7,7,16,4,5,41
Abobi1,Abortiporus biennis CCBS 521 v1.0,https://mycocosm.jgi.doe.gov/Abobi1,0,0,1,5,3,0,9,18
Abobie1,Abortiporus biennis CIRM-BRFM1778 v1.0,https://mycocosm.jgi.doe.gov/Abobie1,0,0,1,4,3,0,9,17
Abscae1,Absidia caerulea NRRL1315 v1.0,https://mycocosm.jgi.doe.gov/Abscae1,0,0,1,1,1,1,0,4
Chlpad1,Absidia padenii NRRL 2977 v1.0,https://mycocosm.jgi.doe.gov/Chlpad1,0,0,1,1,1,1,0,4
Absrep1,Absidia repens NRRL 1336 v1.0,https://mycocosm.jgi.doe.gov/Absrep1,0,0,1,1,1,1,0,4
Acain1,Acaromyces ingoldii MCA 4198 v1.0,https://mycocosm.jgi.doe.gov/Acain1,0,1,2,9,1,4,0,17
Acastr1,Acarospora strigata CBS 132363,https://mycocosm.jgi.doe.gov/Acastr1,2,2,5,4,18,3,0,34
Acema1,Acephala macrosclerotiorum EW76-UTF0540 v1.0,https://mycocosm.jgi.doe.gov/Acema1,1,3,4,11,16,5,1,41
Achstr1,Achaetomium strumarium CBS333.67 v1.0,https://mycocosm.jgi.doe.gov/Achstr1,0,2,5,1,14,2,6,30
Aciri1_iso,Acidomyces richmondensis BFW,https://mycocosm.jgi.doe.gov/Aciri1_iso,0,0,1,5,2,2,0,10
Aciri1_meta,Acidomyces richmondensis BFW,https://mycocosm.jgi.doe.gov/Aciri1_meta,0,0,1,5,1,3,0,10
Aciaci1,Acidothrix acidophila CBS 136259 v1.0,https://mycocosm.jgi.doe.gov/Aciaci1,1,2,2,8,4,2,2,21
Acral2,Acremonium alcalophilum v2.0,https://mycocosm.jgi.doe.gov/Acral2,1,3,6,6,11,2,0,29
Acrchr1,Acremonium chrysogenum ATCC 11550,https://mycocosm.jgi.doe.gov/Acrchr1,3,2,7,4,18,2,2,38
Acrst1,Acremonium strictum DS1bioAY4a v1.0,https://mycocosm.jgi.doe.gov/Acrst1,1,2,3,12,11,3,3,35
Agahy1,Agaricostilbum hyphaenes ATCC MYA-4628 v1.0,https://mycocosm.jgi.doe.gov/Agahy1,0,0,0,2,1,0,0,3
Agabi_varbisH97_2,Agaricus bisporus var bisporus (H97) v2.0,https://mycocosm.jgi.doe.gov/Agabi_varbisH97_2,2,0,0,7,2,0,6,17
Agabi_varbur_1,Agaricus bisporus var. burnettii JB137-S8,https://mycocosm.jgi.doe.gov/Agabi_varbur_1,2,0,0,7,2,0,6,17
Agrped1,Agrocybe pediades AH 40210 v1.0,https://mycocosm.jgi.doe.gov/Agrped1,1,2,1,15,5,0,11,35
Agrpra2,Agrocybe praecox OKM6292 v1.0,https://mycocosm.jgi.doe.gov/Agrpra2,2,1,1,12,3,0,10,29
Albpec1,Albatrellus peckianus DAOM 52321 v1.0,https://mycocosm.jgi.doe.gov/Albpec1,2,0,0,20,5,0,4,31
Alikh1,Aliquandostipite khaoyaiensis CBS 118232 v1.0,https://mycocosm.jgi.doe.gov/Alikh1,0,2,5,1,7,2,0,17
Allma1,Allomyces macrogynus ATCC 38327,https://mycocosm.jgi.doe.gov/Allma1,0,0,0,2,2,2,0,6
Alalt1,Alternaria alternata ATCC11680,https://mycocosm.jgi.doe.gov/Alalt1,0,1,5,7,9,2,3,27
Alalte1,Alternaria alternata ATCC66891,https://mycocosm.jgi.doe.gov/Alalte1,0,1,4,7,8,3,3,26
Aalte1,Alternaria alternata BMP0270,https://mycocosm.jgi.doe.gov/Aalte1,0,0,4,7,9,3,3,26
Altalt1,Alternaria alternata MPI-PUGE-AT-0064 v1.0,https://mycocosm.jgi.doe.gov/Altalt1,0,1,4,7,7,3,3,25
Altal1,Alternaria alternata SRC1lrK2f v1.0,https://mycocosm.jgi.doe.gov/Altal1,1,1,5,7,9,3,3,29
Altar1,Alternaria arborescens BMP0308,https://mycocosm.jgi.doe.gov/Altar1,1,0,9,6,10,3,1,30
Altbr1,Alternaria brassicicola,https://mycocosm.jgi.doe.gov/Altbr1,0,0,4,6,6,3,5,24
Albra1,Alternaria brassicicola ATCC96836,https://mycocosm.jgi.doe.gov/Albra1,0,0,4,6,6,3,5,24
Altca1,Alternaria capsici BMP0180,https://mycocosm.jgi.doe.gov/Altca1,2,1,6,6,8,3,2,28
Altcar1,Alternaria carthami BMP1963,https://mycocosm.jgi.doe.gov/Altcar1,2,1,10,8,14,2,2,39
Altci1,Alternaria citriarbusti BMP2343,https://mycocosm.jgi.doe.gov/Altci1,0,1,7,8,11,2,3,32
Altcr1,Alternaria crassa BMP0172,https://mycocosm.jgi.doe.gov/Altcr1,2,1,5,6,12,3,3,32
Altda1,Alternaria dauci BMP0167,https://mycocosm.jgi.doe.gov/Altda1,1,1,6,6,13,2,3,32
Altfr1,Alternaria fragaria BMP3062,https://mycocosm.jgi.doe.gov/Altfr1,2,1,4,7,9,3,3,29
Altga1,Alternaria gaisen BMP2338,https://mycocosm.jgi.doe.gov/Altga1,0,0,8,7,10,1,3,29
Altli1,Alternaria limoniasperae BMP2335,https://mycocosm.jgi.doe.gov/Altli1,1,1,5,7,12,2,2,30
Altlo1,Alternaria longipes BMP0313,https://mycocosm.jgi.doe.gov/Altlo1,0,0,8,8,6,3,3,28
Altma1,Alternaria macrospora BMP1949,https://mycocosm.jgi.doe.gov/Altma1,1,2,5,9,12,3,4,36
Amal3063,Alternaria mali BMP3063,https://mycocosm.jgi.doe.gov/Amal3063,0,1,4,7,9,3,3,27
Amal3064,Alternaria mali BMP3064,https://mycocosm.jgi.doe.gov/Amal3064,1,1,7,8,8,1,2,28
Altpo1,Alternaria porri BMP0178,https://mycocosm.jgi.doe.gov/Altpo1,1,1,11,7,9,2,3,34
Altro1,Alternaria rosae MPI-PUGE-AT-0040 v1.0,https://mycocosm.jgi.doe.gov/Altro1,1,1,4,6,12,2,1,27
Altso1,Alternaria solani BMP0185,https://mycocosm.jgi.doe.gov/Altso1,2,0,8,6,14,1,2,33
Altsp012_1,Alternaria sp. UNIPAMPA012 v1.0,https://mycocosm.jgi.doe.gov/Altsp012_1,0,1,6,5,8,2,2,24
Altsp017_1,Alternaria sp. UNIPAMPA017 v1.0,https://mycocosm.jgi.doe.gov/Altsp017_1,1,1,3,5,9,3,1,23
Altta1,Alternaria tangelonis BMP2327,https://mycocosm.jgi.doe.gov/Altta1,1,1,5,8,10,3,3,31
Altte1,Alternaria tenuissima BMP0304,https://mycocosm.jgi.doe.gov/Altte1,1,1,5,7,9,3,3,29
Alttom1,Alternaria tomatophila BMP2032,https://mycocosm.jgi.doe.gov/Alttom1,2,0,9,8,14,4,2,39
Amamu1,Amanita muscaria Koide v1.0,https://mycocosm.jgi.doe.gov/Amamu1,1,0,0,2,3,0,10,16
Amaapr1,Amanita muscaria var. formosa 2016PMI152 v1.0,https://mycocosm.jgi.doe.gov/Amaapr1,1,0,0,2,2,0,8,13
Amarub1,Amanita rubescens Přilba v1.0,https://mycocosm.jgi.doe.gov/Amarub1,1,0,0,2,3,0,5,11
Amath1,Amanita thiersii Skay4041 v1.0,https://mycocosm.jgi.doe.gov/Amath1,1,0,0,3,2,1,5,12
