# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Hyafin1|548485|CE548386_10508	2941.2	2374	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Hyafin1|622830|CE622731_30233	3185.9	2479	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Hyafin1|853251|fgenesh1_pg.25_#_155	3259.8	1791	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Hyafin1|925413|gm1.5306_g	1839.6	1358	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Hyafin1|931032|gm1.10925_g	1687.9	1729	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Hyafin1|758734|e_gw1.23.366.1	2798.9	2169	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Hyafin1|876969|fgenesh1_kg.11_#_454_#_TRINITY_DN5428_c0_g1_i2	3225.7	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Hyafin1|826685|estExt_Genewise1Plus.C_540058	871.7	959	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Hyafin1|993738|MIX32895_309_8	913.8	1068	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Hyafin1|769000|e_gw1.70.51.1	994.8	767	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Hyafin1|978302|MIX17459_18458_86	1201.7	881	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Hyafin1|755312|e_gw1.14.211.1	868.4	879	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Hyafin1|350238|CE350139_5167	2170.2	1524	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Hyafin1|897031|fgenesh1_kg.47_#_195_#_TRINITY_DN11022_c0_g2_i2	1229.1	1291	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Hyafin1|770845|e_gw1.85.14.1	1007.0	944	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Hyafin1|450427|CE450328_7703	710.2	739	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Hyafin1|872230|fgenesh1_kg.6_#_1233_#_TRINITY_DN11858_c3_g9_i1	2368.1	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Hyafin1|748053|e_gw1.2.401.1	1618.3	1027	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Hyafin1|642635|CE642536_17411	863.0	846	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Hyafin1|490253|CE490154_14542	1359.3	1242	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Hyafin1|332447|CE332348_5957	736.2	912	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Hyafin1|922468|gm1.2361_g	1262.6	1038	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Hyafin1|886532|fgenesh1_kg.24_#_209_#_TRINITY_DN3607_c0_g1_i2	1493.7	996	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Hyafin1|869586|fgenesh1_kg.5_#_50_#_TRINITY_DN11605_c1_g1_i1	428.7	513	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Hyafin1|865254|fgenesh1_kg.2_#_52_#_TRINITY_DN10000_c0_g1_i1	1696.2	1278	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Hyafin1|906178|fgenesh1_kg.83_#_120_#_TRINITY_DN10009_c0_g1_i1	671.9	799	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Hyafin1|128141|CE128042_8536	1541.1	1532	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Hyafin1|495540|CE495441_46271	1436.2	860	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Hyafin1|751827|e_gw1.7.484.1	1775.3	1337	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Hyafin1|864871|fgenesh1_kg.1_#_1834_#_TRINITY_DN12225_c0_g3_i11	1259.4	878	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Hyafin1|784775|estExt_Genewise1.C_8_t10248	637.3	779	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Hyafin1|865534|fgenesh1_kg.2_#_332_#_TRINITY_DN7981_c0_g1_i2	872.6	748	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Hyafin1|24090|CE23991_24603	889.1	600	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Hyafin1|884243|fgenesh1_kg.21_#_255_#_TRINITY_DN12325_c0_g1_i1	567.2	633	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Hyafin1|912383|fgenesh1_kg.122_#_64_#_TRINITY_DN11791_c2_g5_i2	1316.6	761	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Hyafin1|557819|CE557720_13465	1268.2	930	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Hyafin1|929183|gm1.9076_g	893.3	650	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Hyafin1|977862|MIX17019_4733_88	778.5	679	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Hyafin1|82493|CE82394_18738	1303.7	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Hyafin1|636265|CE636166_15019	277.2	440	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Hyafin1|441423|CE441324_12739	1764.9	1169	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Hyafin1|975916|MIX15073_39761_89	1035.4	1028	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Hyafin1|765529|e_gw1.49.136.1	824.8	857	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Hyafin1|889853|fgenesh1_kg.30_#_266_#_TRINITY_DN9480_c0_g2_i1	1003.2	741	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Duplicated	jgi|Hyafin1|868920|fgenesh1_kg.4_#_706_#_TRINITY_DN8221_c0_g2_i1	337.8	561	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
25161at4751	Duplicated	jgi|Hyafin1|1499|CE1400_12459	302.2	611	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Hyafin1|137932|CE137833_14983	1512.8	944	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Hyafin1|1014157|estExt_fgenesh1_pm.C_120073	509.4	587	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Hyafin1|771982|e_gw1.94.86.1	687.5	624	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Hyafin1|354091|CE353992_3479	411.2	590	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Hyafin1|874498|fgenesh1_kg.8_#_590_#_TRINITY_DN10394_c0_g1_i2	797.9	775	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Hyafin1|563932|CE563833_24258	851.6	673	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Hyafin1|305243|CE305144_9629	905.1	689	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Hyafin1|926118|gm1.6011_g	446.6	727	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Hyafin1|854967|fgenesh1_pg.38_#_84	837.0	761	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Hyafin1|174243|CE174144_9987	1075.3	876	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Hyafin1|144510|CE144411_3271	501.1	681	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
