# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Missing
771at4751	Complete	jgi|LecAK0013_1|476748|estExt_fgenesh1_pg.C_2_t10139	3104.9	2517	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|LecAK0013_1|33527|CE32889_57474	3237.7	1787	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|LecAK0013_1|471401|estExt_fgenesh1_pm.C_4_t10106	1810.2	1374	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|LecAK0013_1|380895|estExt_Genewise1Plus.C_3_t50450	1576.5	1755	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|LecAK0013_1|332842|e_gw1.1.4726.1	2740.0	2156	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|LecAK0013_1|403443|fgenesh1_kg.4_#_1661_#_TRINITY_DN2762_c0_g1_i1	3088.4	1881	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|LecAK0013_1|476697|estExt_fgenesh1_pg.C_2_t10083	843.8	989	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|LecAK0013_1|341437|e_gw1.4.1264.1	864.7	1087	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|LecAK0013_1|333221|e_gw1.1.2365.1	988.0	785	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|LecAK0013_1|380397|estExt_Genewise1Plus.C_3_t40405	1136.9	871	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|LecAK0013_1|337931|e_gw1.2.1039.1	807.3	876	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|LecAK0013_1|346230|e_gw1.7.800.1	2166.0	1522	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|LecAK0013_1|417814|fgenesh1_pg.3_#_424	1165.2	1279	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|LecAK0013_1|483217|estExt_fgenesh1_pg.C_180097	952.9	938	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|LecAK0013_1|347505|e_gw1.8.16.1	631.9	656	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|LecAK0013_1|401657|fgenesh1_kg.3_#_2537_#_TRINITY_DN370_c0_g1_i1	2256.9	1402	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|LecAK0013_1|398528|fgenesh1_kg.2_#_2673_#_TRINITY_DN2035_c0_g1_i1	1625.7	1136	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|LecAK0013_1|429665|gm1.5828_g	837.0	850	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|LecAK0013_1|429284|gm1.5447_g	1360.7	1191	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|LecAK0013_1|95698|CE95060_2619	646.3	858	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|LecAK0013_1|340391|e_gw1.3.1256.1	1229.1	1109	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|LecAK0013_1|401112|fgenesh1_kg.3_#_1992_#_TRINITY_DN7362_c0_g1_i1	1462.5	1002	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|LecAK0013_1|347235|e_gw1.8.248.1	416.1	548	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|LecAK0013_1|417290|fgenesh1_pg.2_#_1319	1715.5	1264	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|LecAK0013_1|385647|estExt_Genewise1Plus.C_6_t30171	667.3	806	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|LecAK0013_1|363362|estExt_Genewise1.C_4_t40161	1471.9	1434	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|LecAK0013_1|341123|e_gw1.4.1537.1	1350.6	808	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|LecAK0013_1|374101|estExt_Genewise1Plus.C_1_t60036	1748.0	1289	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|LecAK0013_1|446383|fgenesh1_pm.1_#_785	1239.9	879	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|LecAK0013_1|386243|estExt_Genewise1Plus.C_7_t10377	618.8	772	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|LecAK0013_1|398805|fgenesh1_kg.2_#_2950_#_TRINITY_DN383_c0_g1_i1	865.3	747	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|LecAK0013_1|449631|fgenesh1_pm.4_#_210	890.3	599	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|LecAK0013_1|344161|e_gw1.5.1081.1	563.6	628	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|LecAK0013_1|426342|gm1.2505_g	1304.4	804	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
