# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Glalo1|5679|GLAREA_12499m.01	3360.5	3049	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Glalo1|11961|GLAREA_11420m.01	3137.1	2486	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Glalo1|10535|GLAREA_03052m.01	3114.3	1733	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Glalo1|2289|GLAREA_10791m.01	1841.5	1353	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Glalo1|11697|GLAREA_02083m.01	1679.5	1795	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Glalo1|2057|GLAREA_10558m.01	2800.7	2161	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Glalo1|11509|GLAREA_01895m.01	3209.0	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Glalo1|9579|GLAREA_04804m.01	821.7	976	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Glalo1|1153|GLAREA_05466m.01	869.3	1111	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Glalo1|12338|GLAREA_11797m.01	995.1	818	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Glalo1|6034|GLAREA_03383m.01	1219.4	894	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Glalo1|2158|GLAREA_10659m.01	849.9	871	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Glalo1|749|GLAREA_05061m.01	2154.5	1529	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Glalo1|7267|GLAREA_00109m.01	1185.6	1253	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Glalo1|11545|GLAREA_01931m.01	962.2	964	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Glalo1|8080|GLAREA_00924m.01	687.6	694	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Glalo1|7559|GLAREA_00403m.01	2365.6	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Glalo1|9437|GLAREA_04662m.01	1630.7	1054	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Glalo1|3248|GLAREA_06902m.01	845.9	852	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Glalo1|7944|GLAREA_00788m.01	1359.3	1196	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Glalo1|2575|GLAREA_10127m.01	740.8	885	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Glalo1|10055|GLAREA_02571m.01	1267.6	1064	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Glalo1|11990|GLAREA_11449m.01	1470.6	991	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Glalo1|12951|GLAREA_08509m.01	406.0	513	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Glalo1|12681|GLAREA_08238m.01	1698.3	1299	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
