# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Neobo1|627658|fgenesh1_kg.10_#_6_#_TRINITY_DN8694_c0_g2_i1	3336.4	3098	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Neobo1|678718|estExt_Genemark1.C_130052	3143.4	2523	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Neobo1|124030|CE123429_52006	3229.3	1782	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Neobo1|126884|CE126283_33498	1835.1	1359	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Neobo1|163908|CE163307_5035	1640.6	1716	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Neobo1|646455|fgenesh1_kg.93_#_60_#_TRINITY_DN3254_c0_g1_i1	2786.9	2113	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Neobo1|5941|CE5340_16615	3205.6	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Neobo1|638962|fgenesh1_kg.40_#_228_#_TRINITY_DN14600_c0_g1_i1	859.3	949	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Neobo1|321602|CE321001_11763	907.1	1092	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Neobo1|676693|estExt_Genemark1.C_20225	1003.5	766	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Duplicated	jgi|Neobo1|181309|CE180708_5689	1172.7	894	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6377at4751	Duplicated	jgi|Neobo1|524074|e_gw1.80.67.1	1130.6	873	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Neobo1|649177|fgenesh1_kg.123_#_77_#_TRINITY_DN1485_c0_g2_i1	815.7	842	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Neobo1|90593|CE89992_3987	2171.8	1501	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Neobo1|717394|MIX14850_5670_21	1275.9	1315	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Neobo1|546966|estExt_Genewise1.C_150272	990.9	914	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Neobo1|257983|CE257382_8002	723.1	772	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Neobo1|270663|CE270062_71360	2327.9	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Neobo1|311148|CE310547_17203	1639.5	1059	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Neobo1|8981|CE8380_11403	849.0	875	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Neobo1|634973|fgenesh1_kg.27_#_144_#_TRINITY_DN6119_c0_g2_i1	1327.1	1185	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Neobo1|394661|CE394060_7973	732.4	890	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Neobo1|248455|CE247854_43732	1279.2	1029	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Neobo1|629868|fgenesh1_kg.14_#_13_#_TRINITY_DN6299_c0_g1_i1	1483.6	983	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Neobo1|635305|fgenesh1_kg.28_#_122_#_TRINITY_DN8821_c0_g7_i1	382.4	509	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Neobo1|310995|CE310394_18081	1732.4	1270	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Neobo1|633100|fgenesh1_kg.21_#_279_#_TRINITY_DN9324_c1_g1_i2	718.7	824	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Neobo1|31608|CE31007_14459	1521.4	1499	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Neobo1|737624|estExt_fgenesh1_pg.C_170054	1442.4	849	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Neobo1|543574|estExt_Genewise1.C_70015	1794.9	1311	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Neobo1|510998|e_gw1.16.243.1	1241.5	880	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Neobo1|578927|estExt_Genewise1Plus.C_90355	646.1	791	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Neobo1|632998|fgenesh1_kg.21_#_177_#_TRINITY_DN2744_c0_g1_i1	852.7	751	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Neobo1|629308|fgenesh1_kg.12_#_580_#_TRINITY_DN14593_c0_g1_i1	889.4	633	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Neobo1|583418|estExt_Genewise1Plus.C_240255	562.9	641	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Neobo1|635518|fgenesh1_kg.29_#_38_#_TRINITY_DN16842_c0_g1_i1	1277.1	797	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Neobo1|516886|e_gw1.37.78.1	1266.1	929	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Neobo1|640912|fgenesh1_kg.50_#_64_#_TRINITY_DN16917_c0_g1_i1	884.7	652	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Neobo1|296158|CE295557_11420	763.8	683	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Neobo1|589481|estExt_Genewise1Plus.C_550029	1292.6	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Neobo1|630650|fgenesh1_kg.15_#_393_#_TRINITY_DN1363_c0_g2_i1	298.2	467	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Neobo1|225385|CE224784_17953	1759.7	1181	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Neobo1|505420|e_gw1.3.19.1	1028.1	1024	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Neobo1|736750|estExt_fgenesh1_pg.C_110053	788.0	875	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Neobo1|646570|fgenesh1_kg.94_#_65_#_TRINITY_DN10449_c0_g2_i1	1006.1	745	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Neobo1|545467|estExt_Genewise1.C_110148	317.7	699	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Neobo1|67422|CE66821_8594	1510.8	947	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Neobo1|635635|fgenesh1_kg.29_#_155_#_TRINITY_DN2852_c0_g1_i1	515.8	556	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Neobo1|544287|estExt_Genewise1.C_8_t10370	668.4	610	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Neobo1|752261|estExt_fgenesh1_pm.C_420058	448.8	675	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Neobo1|627600|fgenesh1_kg.9_#_523_#_TRINITY_DN7957_c0_g1_i1	740.8	797	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Neobo1|406740|CE406139_38635	864.9	668	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Neobo1|506659|e_gw1.5.36.1	887.6	681	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Neobo1|212124|CE211523_15073	408.5	703	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Neobo1|698101|fgenesh1_pm.111_#_23	832.7	759	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Neobo1|736074|estExt_fgenesh1_pg.C_70100	1080.2	886	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Neobo1|668578|gm1.9056_g	509.6	651	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	jgi|Neobo1|630889|fgenesh1_kg.16_#_154_#_TRINITY_DN16739_c0_g1_i1	936.0	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	jgi|Neobo1|321193|CE320592_12298	875.4	514	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Neobo1|108418|CE107817_1693	294.0	482	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	jgi|Neobo1|627012|fgenesh1_kg.8_#_558_#_TRINITY_DN19005_c0_g2_i1	545.7	554	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	jgi|Neobo1|690664|fgenesh1_pm.8_#_18	663.1	635	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	jgi|Neobo1|528510|e_gw1.122.110.1	406.7	513	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	jgi|Neobo1|587251|estExt_Genewise1Plus.C_420075	260.9	531	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	jgi|Neobo1|304884|CE304283_14993	602.8	618	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	jgi|Neobo1|621693|fgenesh1_kg.1_#_654_#_TRINITY_DN7165_c0_g2_i1	1041.7	775	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	jgi|Neobo1|680750|estExt_Genemark1.C_300108	1190.4	1069	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	jgi|Neobo1|555630|estExt_Genewise1.C_500188	877.6	892	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	jgi|Neobo1|694465|fgenesh1_pm.42_#_37	975.0	759	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Complete	jgi|Neobo1|520210|e_gw1.52.130.1	305.5	416	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	jgi|Neobo1|604917|fgenesh1_pg.1_#_206	836.7	653	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	jgi|Neobo1|630487|fgenesh1_kg.15_#_230_#_TRINITY_DN4557_c0_g1_i1	1247.0	856	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	jgi|Neobo1|707876|MIX5332_15081_83	680.4	483	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	jgi|Neobo1|661692|gm1.2170_g	868.2	621	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	jgi|Neobo1|649000|fgenesh1_kg.122_#_50_#_TRINITY_DN4387_c0_g1_i1	596.8	494	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	jgi|Neobo1|515140|e_gw1.30.127.1	953.0	692	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	jgi|Neobo1|636705|fgenesh1_kg.33_#_58_#_TRINITY_DN7205_c0_g1_i1	566.5	437	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	jgi|Neobo1|555596|estExt_Genewise1.C_500148	856.5	636	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	jgi|Neobo1|590110|estExt_Genewise1Plus.C_590089	985.1	835	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	jgi|Neobo1|638282|fgenesh1_kg.38_#_140_#_TRINITY_DN8076_c0_g3_i2	919.8	726	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	jgi|Neobo1|638831|fgenesh1_kg.40_#_97_#_TRINITY_DN2660_c0_g2_i1	485.4	426	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	jgi|Neobo1|717897|MIX15353_3294_96	438.4	426	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Complete	jgi|Neobo1|629601|fgenesh1_kg.13_#_212_#_TRINITY_DN2528_c0_g3_i1	449.2	553	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	jgi|Neobo1|176824|CE176223_48170	1082.4	765	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	jgi|Neobo1|635123|fgenesh1_kg.27_#_294_#_TRINITY_DN7896_c0_g9_i1	1043.4	686	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	jgi|Neobo1|669621|gm1.10099_g	359.6	565	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	jgi|Neobo1|622110|fgenesh1_kg.2_#_33_#_TRINITY_DN10341_c0_g1_i1	876.9	725	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	jgi|Neobo1|606431|fgenesh1_pg.7_#_73	323.0	392	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	jgi|Neobo1|509867|e_gw1.12.105.1	669.9	626	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
61857at4751	Complete	jgi|Neobo1|537627|e_gw1.341.27.1	347.1	446	https://www.orthodb.org/v10?query=61857at4751	Exocyst complex protein EXO70
62846at4751	Complete	jgi|Neobo1|543905|estExt_Genewise1.C_70380	411.7	424	https://www.orthodb.org/v10?query=62846at4751	Ribosome biogenesis protein tsr1
63635at4751	Complete	jgi|Neobo1|229763|CE229162_18209	955.5	715	https://www.orthodb.org/v10?query=63635at4751	AP-2 complex subunit alpha
63838at4751	Complete	jgi|Neobo1|226969|CE226368_14139	385.7	427	https://www.orthodb.org/v10?query=63838at4751	AP complex subunit beta
64002at4751	Complete	jgi|Neobo1|514647|e_gw1.28.119.1	601.1	649	https://www.orthodb.org/v10?query=64002at4751	Transcription initiation factor TFIID subunit 1
64498at4751	Complete	jgi|Neobo1|631577|fgenesh1_kg.17_#_316_#_TRINITY_DN6901_c2_g3_i1	851.4	526	https://www.orthodb.org/v10?query=64498at4751	glucosamine-fructose-6-phosphate aminotransferase
