# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Pilidi1|404709|estExt_Genewise1Plus.C_250037	3251.0	3169	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Pilidi1|398166|estExt_Genewise1.C_2830001	3047.9	2485	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Pilidi1|484154|gm1.5967_g	3249.8	1789	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Pilidi1|478518|gm1.331_g	1783.9	1339	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Pilidi1|433299|fgenesh1_kg.64_#_76_#_TRINITY_DN3346_c0_g2_i1	1326.2	1554	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Pilidi1|224376|CE224215_4746	2729.4	2156	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Pilidi1|484720|gm1.6533_g	3165.3	1892	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Pilidi1|359671|e_gw1.6.171.1	756.1	955	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Pilidi1|502241|estExt_Genemark1.C_20141	893.2	1096	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Pilidi1|368234|e_gw1.67.20.1	989.2	805	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Pilidi1|483397|gm1.5210_g	1203.8	891	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Pilidi1|422357|fgenesh1_kg.7_#_30_#_TRINITY_DN4402_c0_g1_i3	777.9	868	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Pilidi1|481263|gm1.3076_g	2142.6	1498	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Pilidi1|487278|gm1.9091_g	1106.5	1178	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Pilidi1|484314|gm1.6127_g	907.8	916	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Pilidi1|123799|CE123638_1622	620.7	711	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Pilidi1|482564|gm1.4377_g	2353.7	1407	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Pilidi1|210873|CE210712_7966	1634.3	1063	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Pilidi1|485474|gm1.7287_g	805.9	844	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Pilidi1|459050|fgenesh1_pm.19_#_3	1329.3	1254	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Pilidi1|375118|e_gw1.181.34.1	699.2	880	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Pilidi1|193190|CE193029_9624	1216.3	1067	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Pilidi1|486537|gm1.8350_g	1470.9	1000	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Pilidi1|363554|e_gw1.26.73.1	401.3	497	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Pilidi1|478240|gm1.53_g	1673.4	1290	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Pilidi1|2276|CE2115_3335	605.7	763	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Pilidi1|480588|gm1.2401_g	1448.0	1457	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Pilidi1|484190|gm1.6003_g	1433.2	800	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Pilidi1|375980|e_gw1.206.10.1	1754.1	1339	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Pilidi1|377290|e_gw1.253.6.1	1239.8	880	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Pilidi1|429151|fgenesh1_kg.36_#_103_#_TRINITY_DN3472_c0_g3_i1	556.6	787	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Pilidi1|371494|e_gw1.108.45.1	858.9	817	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Pilidi1|480692|gm1.2505_g	869.9	592	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Pilidi1|366251|e_gw1.48.17.1	547.9	630	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Pilidi1|379220|e_gw1.369.11.1	1265.9	827	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Pilidi1|193358|CE193197_2574	1264.9	932	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Pilidi1|473167|estExt_fgenesh1_pg.C_380017	872.6	658	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Pilidi1|479097|gm1.910_g	748.5	704	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Pilidi1|481115|gm1.2928_g	1271.7	834	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Pilidi1|372145|e_gw1.119.58.1	286.3	459	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Pilidi1|481302|gm1.3115_g	1739.4	1175	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Pilidi1|481962|gm1.3775_g	966.9	1050	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Pilidi1|364275|e_gw1.32.5.1	772.4	863	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Pilidi1|371424|e_gw1.107.49.1	962.7	840	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Pilidi1|400603|estExt_Genewise1Plus.C_20183	317.2	567	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Pilidi1|362403|e_gw1.19.10.1	1520.4	947	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Pilidi1|359386|e_gw1.4.264.1	450.5	578	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Pilidi1|370263|e_gw1.90.71.1	645.4	604	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Pilidi1|216399|CE216238_1125	402.0	623	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Pilidi1|375119|e_gw1.181.40.1	722.3	804	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	jgi|Pilidi1|487649|gm1.9462_g	861.7	668	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	jgi|Pilidi1|360053|e_gw1.7.166.1	893.8	701	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Complete	jgi|Pilidi1|450974|fgenesh1_pg.18_#_77	323.7	638	https://www.orthodb.org/v10?query=34223at4751	Nucleoporin, Nup133/Nup155-like, C-terminal
34706at4751	Complete	jgi|Pilidi1|278318|CE278157_7372	743.4	731	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	jgi|Pilidi1|443521|fgenesh1_kg.220_#_21_#_TRINITY_DN1472_c1_g1_i1	1061.6	873	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
36610at4751	Complete	jgi|Pilidi1|450002|fgenesh1_pg.7_#_47	485.3	612	https://www.orthodb.org/v10?query=36610at4751	Tubulin-specific chaperone D
37028at4751	Complete	jgi|Pilidi1|487328|gm1.9141_g	941.9	605	https://www.orthodb.org/v10?query=37028at4751	Cobalamin-independent methionine synthase
37573at4751	Complete	jgi|Pilidi1|457186|fgenesh1_pg.350_#_3	844.8	518	https://www.orthodb.org/v10?query=37573at4751	Helicase, C-terminal
37642at4751	Complete	jgi|Pilidi1|406421|estExt_Genewise1Plus.C_390041	243.3	418	https://www.orthodb.org/v10?query=37642at4751	RNB-domain-containing protein
38031at4751	Complete	jgi|Pilidi1|484951|gm1.6764_g	472.9	540	https://www.orthodb.org/v10?query=38031at4751	Cap binding protein
38184at4751	Complete	jgi|Pilidi1|506059|estExt_Genemark1.C_660045	748.1	619	https://www.orthodb.org/v10?query=38184at4751	AP-3 complex subunit delta
39833at4751	Complete	jgi|Pilidi1|93222|CE93061_1968	401.9	450	https://www.orthodb.org/v10?query=39833at4751	WD40-repeat-containing domain
43842at4751	Complete	jgi|Pilidi1|473730|estExt_fgenesh1_pg.C_520004	133.2	537	https://www.orthodb.org/v10?query=43842at4751	Armadillo-type fold
46090at4751	Complete	jgi|Pilidi1|360377|e_gw1.8.199.1	578.3	618	https://www.orthodb.org/v10?query=46090at4751	ARM repeat-containing protein
46098at4751	Complete	jgi|Pilidi1|444077|fgenesh1_kg.235_#_2_#_TRINITY_DN2909_c0_g3_i1	1045.9	761	https://www.orthodb.org/v10?query=46098at4751	P-loop containing nucleoside triphosphate hydrolase protein
46119at4751	Complete	jgi|Pilidi1|432969|fgenesh1_kg.61_#_136_#_TRINITY_DN3745_c0_g2_i1	1138.6	1079	https://www.orthodb.org/v10?query=46119at4751	WD40/YVTN repeat-like-containing domain superfamily
46666at4751	Complete	jgi|Pilidi1|338750|gw1.230.13.1	840.1	804	https://www.orthodb.org/v10?query=46666at4751	Winged helix-like DNA-binding domain superfamily
46752at4751	Complete	jgi|Pilidi1|369877|e_gw1.86.42.1	941.8	760	https://www.orthodb.org/v10?query=46752at4751	GPI ethanolamine phosphate transferase 3
46918at4751	Complete	jgi|Pilidi1|443564|fgenesh1_kg.221_#_33_#_TRINITY_DN6215_c0_g2_i1	345.9	467	https://www.orthodb.org/v10?query=46918at4751	Tetratricopeptide repeat
47592at4751	Complete	jgi|Pilidi1|373141|e_gw1.138.1.1	792.4	647	https://www.orthodb.org/v10?query=47592at4751	Eukaryotic translation initiation factor 3 subunit C
48708at4751	Complete	jgi|Pilidi1|77323|CE77162_11679	1129.9	794	https://www.orthodb.org/v10?query=48708at4751	Leucyl-tRNA synthetase
49476at4751	Complete	jgi|Pilidi1|486003|gm1.7816_g	666.1	494	https://www.orthodb.org/v10?query=49476at4751	Dynamin, GTPase domain
49967at4751	Complete	jgi|Pilidi1|461069|fgenesh1_pm.71_#_17	841.3	617	https://www.orthodb.org/v10?query=49967at4751	Vacuole morphology and inheritance protein 14
50786at4751	Complete	jgi|Pilidi1|364899|e_gw1.37.123.1	575.3	490	https://www.orthodb.org/v10?query=50786at4751	Eukaryotic translation initiation factor 3 subunit B
50835at4751	Complete	jgi|Pilidi1|367281|e_gw1.58.30.1	940.8	657	https://www.orthodb.org/v10?query=50835at4751	Alanine--tRNA ligase
52541at4751	Complete	jgi|Pilidi1|436323|fgenesh1_kg.92_#_11_#_TRINITY_DN3995_c0_g1_i1	558.2	448	https://www.orthodb.org/v10?query=52541at4751	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
52909at4751	Complete	jgi|Pilidi1|502790|estExt_Genemark1.C_70082	844.2	658	https://www.orthodb.org/v10?query=52909at4751	26S proteasome regulatory subunit RPN1
53270at4751	Complete	jgi|Pilidi1|429082|fgenesh1_kg.36_#_34_#_TRINITY_DN3608_c0_g1_i3	970.2	830	https://www.orthodb.org/v10?query=53270at4751	UDP-glucose
54252at4751	Complete	jgi|Pilidi1|444627|fgenesh1_kg.252_#_33_#_TRINITY_DN4181_c0_g1_i1	907.3	721	https://www.orthodb.org/v10?query=54252at4751	26S proteasome regulatory subunit RPN2
54919at4751	Complete	jgi|Pilidi1|34072|CE33911_8635	469.5	440	https://www.orthodb.org/v10?query=54919at4751	Cysteinyl-tRNA synthetase
56395at4751	Complete	jgi|Pilidi1|497112|MIX9368_406_16	415.0	436	https://www.orthodb.org/v10?query=56395at4751	Spindle pole body component
56432at4751	Complete	jgi|Pilidi1|370228|e_gw1.90.70.1	442.9	533	https://www.orthodb.org/v10?query=56432at4751	putative exocyst complex component sec8
56729at4751	Complete	jgi|Pilidi1|365039|e_gw1.38.86.1	1086.3	765	https://www.orthodb.org/v10?query=56729at4751	Coatomer subunit beta
57081at4751	Complete	jgi|Pilidi1|364717|e_gw1.35.46.1	992.3	686	https://www.orthodb.org/v10?query=57081at4751	Splicing factor 3B subunit 1
58127at4751	Complete	jgi|Pilidi1|442584|fgenesh1_kg.196_#_14_#_TRINITY_DN6063_c0_g3_i1	337.4	577	https://www.orthodb.org/v10?query=58127at4751	K Homology domain, type 1
59795at4751	Complete	jgi|Pilidi1|219487|CE219326_12347	873.4	705	https://www.orthodb.org/v10?query=59795at4751	Coatomer subunit gamma
61411at4751	Complete	jgi|Pilidi1|107905|CE107744_6499	279.0	406	https://www.orthodb.org/v10?query=61411at4751	WD40-repeat-containing domain
61438at4751	Complete	jgi|Pilidi1|166464|CE166303_5286	672.8	629	https://www.orthodb.org/v10?query=61438at4751	Pep3/Vps18/deep orange
