# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	jgi|Rhesp1|526081|fgenesh1_pm.7_#_368	1836.4	1482	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Rhesp1|166431|CE166234_25446	3186.3	2477	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Rhesp1|20285|CE20088_25025	3284.8	1799	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Rhesp1|182555|CE182358_10967	1844.9	1357	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Rhesp1|143343|CE143146_1705	1534.4	1764	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Rhesp1|210701|CE210504_5724	2805.6	2226	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Rhesp1|296094|CE295897_9319	3229.3	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Rhesp1|541083|estExt_fgenesh1_pg.C_15_t10267	858.8	975	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Rhesp1|422217|estExt_Genewise1.C_3_t30378	901.5	1140	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Rhesp1|527665|fgenesh1_pm.11_#_83	998.0	770	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Rhesp1|496359|fgenesh1_kg.4_#_1565_#_TRINITY_DN959_c0_g2_i1	1228.2	891	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Rhesp1|525071|fgenesh1_pm.5_#_445	852.9	849	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Rhesp1|417745|estExt_Genewise1.C_1_t30240	2170.5	1536	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Rhesp1|540530|estExt_fgenesh1_pg.C_14_t10254	1263.5	1344	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Rhesp1|444915|estExt_Genewise1Plus.C_1_t20484	1000.0	943	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Rhesp1|409879|e_gw1.16.117.1	696.5	694	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Rhesp1|472950|fgenesh1_pg.2_#_627	2348.0	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Rhesp1|235426|CE235229_10365	1642.0	1069	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Rhesp1|464335|estExt_Genewise1Plus.C_15_t20226	858.2	851	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
