# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Ilyrob1|526198|gm1.1078_g	3332.1	3164	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Ilyrob1|585655|estExt_Genemark1.C_4_t10350	3157.9	2487	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Ilyrob1|210829|CE210828_77986	3241.0	1777	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Ilyrob1|23023|CE23022_9824	1821.0	1357	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Ilyrob1|378132|estExt_Genewise1.C_1_t20279	1631.1	1696	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Ilyrob1|451969|fgenesh1_kg.9_#_1074_#_TRINITY_DN100_c0_g1_i1	2753.4	2089	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Ilyrob1|460408|fgenesh1_kg.24_#_263_#_TRINITY_DN12668_c1_g1_i1	3188.0	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Ilyrob1|445388|fgenesh1_kg.4_#_1023_#_TRINITY_DN16635_c0_g1_i1	857.1	959	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Ilyrob1|337621|e_gw1.1.1271.1	883.3	1039	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Ilyrob1|74146|CE74145_10457	1008.5	772	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Ilyrob1|526339|gm1.1219_g	1158.7	891	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Ilyrob1|452902|fgenesh1_kg.11_#_22_#_TRINITY_DN158_c0_g2_i1	809.1	872	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Ilyrob1|531886|gm1.6766_g	2171.4	1495	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Ilyrob1|415354|estExt_Genewise1Plus.C_5_t10442	1311.4	1324	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Ilyrob1|531873|gm1.6753_g	983.7	964	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Ilyrob1|584735|estExt_Genemark1.C_3_t10304	712.5	732	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Ilyrob1|354416|e_gw1.12.534.1	2331.6	1408	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Ilyrob1|453013|fgenesh1_kg.11_#_133_#_TRINITY_DN4734_c0_g1_i1	1633.0	1061	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Ilyrob1|498234|fgenesh1_pm.24_#_161	822.6	858	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Ilyrob1|337277|e_gw1.1.2115.1	1311.0	1178	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Ilyrob1|517545|estExt_fgenesh1_pg.C_8_t20022	731.3	898	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Ilyrob1|530936|gm1.5816_g	1266.0	1071	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Ilyrob1|416757|estExt_Genewise1Plus.C_6_t20400	1472.5	980	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Ilyrob1|412003|estExt_Genewise1Plus.C_3_t10419	377.9	508	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Ilyrob1|533181|gm1.8061_g	1725.0	1278	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Ilyrob1|354624|e_gw1.12.525.1	718.1	824	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
