# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Atrsp2|1358027|estExt_Genemark1.C_8090002	1313.6	2159	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Fragmented	jgi|Atrsp2|1289238|fgenesh1_kg.603_#_1_#_Locus14631v2rpkm13.71	599.8	854	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Duplicated	jgi|Atrsp2|1314236|estExt_fgenesh1_pm.C_4940001	3093.9	1774	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	jgi|Atrsp2|1357719|estExt_Genemark1.C_7330005	2785.4	1570	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Atrsp2|1241238|estExt_Genewise1.C_1160006	1505.0	1311	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Missing
4466at4751	Complete	jgi|Atrsp2|1328718|gm1.957_g	1891.6	1614	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Atrsp2|1346260|estExt_Genemark1.C_200053	3097.0	1891	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Fragmented	jgi|Atrsp2|1326093|estExt_fgenesh1_pg.C_6950002	232.4	679	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Atrsp2|1303399|fgenesh1_pg.517_#_1	694.7	746	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Atrsp2|1332162|gm1.4401_g	1156.1	864	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Atrsp2|778605|CE778468_4429	653.1	847	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Atrsp2|1352070|estExt_Genemark1.C_2200012	1930.6	1403	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Atrsp2|1226282|e_gw1.356.27.1	872.2	1366	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	jgi|Atrsp2|368384|CE368247_1378	445.0	577	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Atrsp2|1246373|estExt_Genewise1.C_2750034	530.4	597	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Atrsp2|1353496|estExt_Genemark1.C_2960004	2270.6	1410	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Atrsp2|1321019|estExt_fgenesh1_pg.C_2110010	1137.1	805	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Fragmented	jgi|Atrsp2|1344729|gm1.16968_g	63.6	88	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Atrsp2|1350299|estExt_Genemark1.C_1430010	969.8	1163	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Atrsp2|1329879|gm1.2118_g	401.6	738	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Atrsp2|385732|CE385595_20657	911.1	988	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Atrsp2|1352331|estExt_Genemark1.C_2310019	1192.3	992	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Atrsp2|1278371|fgenesh1_kg.55_#_12_#_Locus20179v1rpkm5.98	230.5	425	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Atrsp2|1307195|fgenesh1_pm.16_#_12	1686.7	1247	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Atrsp2|941066|CE940929_4395	470.0	739	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Atrsp2|1351940|estExt_Genemark1.C_2140007	1101.8	1310	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Atrsp2|1318009|estExt_fgenesh1_pg.C_790022	1362.2	803	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Missing
14523at4751	Duplicated	jgi|Atrsp2|1353642|estExt_Genemark1.C_3040007	1072.0	888	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14523at4751	Duplicated	jgi|Atrsp2|1213025|e_gw1.32.20.1	965.3	886	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Atrsp2|2102|CE1965_4869	386.0	1125	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Atrsp2|1219446|e_gw1.150.6.1	696.1	641	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Atrsp2|1248648|estExt_Genewise1.C_3750004	756.0	576	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Duplicated	jgi|Atrsp2|1286509|fgenesh1_kg.373_#_9_#_Locus11297v1rpkm27.90	461.7	533	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
18809at4751	Duplicated	jgi|Atrsp2|1355116|estExt_Genemark1.C_4090012	461.5	533	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Atrsp2|1346956|estExt_Genemark1.C_360017	1196.8	771	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Atrsp2|1292088|fgenesh1_pg.6_#_29	1030.1	918	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Atrsp2|375796|CE375659_9212	864.6	667	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Missing
22982at4751	Complete	jgi|Atrsp2|1347660|estExt_Genemark1.C_550038	1501.3	1033	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Duplicated	jgi|Atrsp2|1226348|e_gw1.359.8.1	212.7	425	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
22992at4751	Duplicated	jgi|Atrsp2|574426|CE574289_5055	209.7	393	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Atrsp2|1358085|estExt_Genemark1.C_8270004	1551.5	1163	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Fragmented	jgi|Atrsp2|1284337|fgenesh1_kg.251_#_11_#_Locus9433v1rpkm39.00	241.2	184	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Atrsp2|1225310|e_gw1.318.17.1	669.8	809	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Atrsp2|1284860|fgenesh1_kg.276_#_2_#_Locus15381v1rpkm14.05	831.0	722	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Atrsp2|1318702|estExt_fgenesh1_pg.C_1040019	197.2	540	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Atrsp2|1220396|e_gw1.174.9.1	1366.4	953	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Atrsp2|1239887|estExt_Genewise1.C_860043	436.8	459	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Missing
31256at4751	Missing
31324at4751	Complete	jgi|Atrsp2|1345638|estExt_Genemark1.C_90042	489.4	696	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Duplicated	jgi|Atrsp2|1353817|estExt_Genemark1.C_3140008	722.7	666	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
32164at4751	Duplicated	jgi|Atrsp2|1356209|estExt_Genemark1.C_5120005	710.2	665	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
