# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	jgi|MelPMI1271_1|303174|e_gw1.98.58.1	2351.7	1502	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|MelPMI1271_1|510350|MIX38051_5413_70	3185.9	2479	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|MelPMI1271_1|477057|MIX4758_10321_98	3284.2	1791	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|MelPMI1271_1|152953|CE152874_10568	1841.2	1362	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|MelPMI1271_1|520648|estExt_Genemark1.C_720015	1683.1	1730	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|MelPMI1271_1|458987|gm1.3794_g	2796.9	2196	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|MelPMI1271_1|496618|MIX24319_4372_90	3225.5	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|MelPMI1271_1|426058|fgenesh1_pm.9_#_116	868.8	959	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|MelPMI1271_1|485157|MIX12858_1181_86	909.1	1068	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|MelPMI1271_1|470320|gm1.15127_g	994.0	767	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|MelPMI1271_1|521857|estExt_Genemark1.C_950032	1203.5	889	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|MelPMI1271_1|288444|e_gw1.15.345.1	868.4	879	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|MelPMI1271_1|477791|MIX5492_521_65	2167.5	1525	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|MelPMI1271_1|373029|fgenesh1_pg.3_#_172	1279.1	1329	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|MelPMI1271_1|473621|MIX1322_911_93	1007.7	953	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|MelPMI1271_1|293591|e_gw1.36.210.1	708.7	738	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|MelPMI1271_1|315485|estExt_Genewise1.C_2_t20166	2369.4	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|MelPMI1271_1|280972|e_gw1.1.1155.1	1618.3	1027	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|MelPMI1271_1|521666|estExt_Genemark1.C_920017	862.4	846	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|MelPMI1271_1|509503|MIX37204_166_48	1362.6	1242	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|MelPMI1271_1|102190|CE102111_1770	738.9	899	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
