# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Chalo1|310556|gw1.14.1426.1	2060.1	1643	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Chalo1|388117|estExt_Genewise1.C_18_t10059	3188.5	2522	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Chalo1|375038|estExt_Genewise1.C_9_t10326	3274.5	1792	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Chalo1|541050|estExt_fgenesh1_pm.C_3_t20121	1848.8	1365	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Chalo1|360395|estExt_Genewise1.C_1_t40360	1677.3	1795	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Chalo1|365985|estExt_Genewise1.C_4_t20428	2806.8	2199	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Chalo1|338984|e_gw1.9.1276.1	3225.4	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Chalo1|335020|e_gw1.7.1678.1	853.5	882	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Chalo1|553599|estExt_fgenesh1_pg.C_3_t20141	899.8	1081	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Chalo1|339134|e_gw1.9.1299.1	994.2	766	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Chalo1|403843|estExt_Genewise1Plus.C_6_t40078	1213.2	882	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Chalo1|340874|e_gw1.10.672.1	860.0	857	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Chalo1|485739|estExt_Genemark1.C_12_t20285	2165.8	1526	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Chalo1|501850|fgenesh1_pm.5_#_620	1284.1	1325	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Chalo1|493490|fgenesh1_pm.12_#_473	1003.1	947	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Chalo1|346879|e_gw1.13.130.1	708.7	725	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Chalo1|425046|fgenesh1_kg.1_#_319_#_Locus2787v1rpkm75.26	2384.1	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Chalo1|559050|estExt_fgenesh1_pg.C_10_t10437	1643.6	1078	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Chalo1|503342|fgenesh1_pm.7_#_328	862.3	842	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Chalo1|322345|e_gw1.1.524.1	1371.8	1245	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Chalo1|344921|e_gw1.12.1555.1	740.0	896	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Chalo1|323841|e_gw1.2.2581.1	1268.9	1038	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Chalo1|431501|fgenesh1_kg.18_#_374_#_Locus5130v1rpkm34.89	1489.2	992	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Chalo1|560894|estExt_fgenesh1_pg.C_13_t10248	422.4	550	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Chalo1|376514|estExt_Genewise1.C_10_t10183	1769.8	1291	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Chalo1|490233|estExt_Genemark1.C_200411	670.4	791	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Chalo1|464505|gm1.6816_g	1542.7	1486	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Chalo1|425346|fgenesh1_kg.1_#_619_#_Locus3122v1rpkm66.16	1438.6	824	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Chalo1|395458|estExt_Genewise1Plus.C_2_t30388	1778.7	1307	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
