# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Hymvar1|514695|estExt_fgenesh1_pg.C_100125	3358.0	3064	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Hymvar1|569850|estExt_Genemark1.C_370085	3184.2	2514	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Hymvar1|526845|gm1.4982_g	3287.8	1790	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Hymvar1|531561|gm1.9698_g	1859.6	1365	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Hymvar1|526134|gm1.4271_g	1680.5	1723	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Hymvar1|523081|gm1.1218_g	2785.8	2158	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Hymvar1|373646|e_gw1.9.749.1	3222.5	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Hymvar1|443824|estExt_Genewise1.C_4_t20074	862.3	980	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Hymvar1|382954|e_gw1.22.147.1	885.7	1104	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Hymvar1|365171|e_gw1.2.1394.1	994.1	767	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Hymvar1|364297|e_gw1.1.1363.1	1211.7	887	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Hymvar1|420716|fgenesh1_kg.33_#_63_#_TRINITY_DN8006_c0_g1_i3	854.4	843	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Hymvar1|592|CE591_2181	2163.2	1522	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Hymvar1|529325|gm1.7462_g	1298.9	1309	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Hymvar1|558542|estExt_Genemark1.C_1_t10028	996.6	903	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Hymvar1|238126|CE238125_5002	692.0	723	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Hymvar1|422706|fgenesh1_kg.39_#_127_#_TRINITY_DN956_c0_g1_i1	2378.5	1406	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
