# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Botbo1|100629|e_gw1.2.1146.1	3049.3	2839	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Botbo1|142580|estExt_fgenesh1_pg.C_2_t10469	2695.7	2396	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Botbo1|173284|gm1.4656_g	3187.6	1777	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Botbo1|39565|fgenesh1_kg.110_#_28_#_Locus2275v1rpkm82.87	1650.8	1411	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Botbo1|33227|fgenesh1_kg.25_#_29_#_Locus6223v1rpkm21.37	1532.4	1769	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Botbo1|102112|e_gw1.3.137.1	2422.4	1995	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Botbo1|100863|e_gw1.2.849.1	3148.7	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Botbo1|27103|fgenesh1_kg.2_#_575_#_Locus5844v1rpkm24.30	698.4	872	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Botbo1|144461|estExt_fgenesh1_pg.C_100049	660.1	1106	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Botbo1|358112|CE164609_18010	877.6	782	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Botbo1|119152|e_gw1.79.89.1	1198.1	902	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Botbo1|633335|MIX15408_1215_12	706.2	820	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Botbo1|189909|estExt_Genemark1.C_420033	2050.9	1440	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Botbo1|188831|estExt_Genemark1.C_300023	1299.6	1338	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Botbo1|147488|estExt_fgenesh1_pg.C_450060	800.0	872	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Botbo1|31664|fgenesh1_kg.16_#_64_#_Locus4493v1rpkm37.21	696.1	715	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Botbo1|154276|estExt_Genewise1Plus.C_5_t20138	2298.4	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Botbo1|103245|e_gw1.5.292.1	1484.0	969	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Botbo1|177733|gm1.9105_g	779.4	912	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Botbo1|65417|estExt_fgenesh1_pm.C_160003	1179.9	1224	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Botbo1|164385|estExt_Genewise1Plus.C_560096	621.7	855	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Botbo1|113987|e_gw1.39.66.1	1138.7	1042	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Botbo1|123724|estExt_Genewise1.C_1_t20395	1506.5	998	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Botbo1|28439|fgenesh1_kg.5_#_20_#_Locus6373v1rpkm20.21	345.0	529	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Botbo1|29264|fgenesh1_kg.6_#_409_#_Locus5088v1rpkm30.84	1690.5	1284	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
